workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,8,128,375.99,406.28,356.24,19.61,100.0,226.06,140.95,85.34,602.73,461.56,0.0
A,orig,2d,pread,5,128,177.58,178.89,175.93,1.21,100.0,1865.68,139.40,1727.31,2043.26,1903.79,0.0
A,orig,2e_K10,async,8,128,361.88,392.93,355.26,15.98,100.0,236.88,140.44,96.52,596.41,456.21,0.0
A,orig,2e_K10,pread,5,128,178.26,179.58,175.35,1.64,100.0,2646.74,139.49,2508.58,2825.82,2687.66,0.0
A,orig,baseline,baseline,5,128,488.75,513.91,486.65,12.05,0.0,0.00,0.00,0.00,488.75,488.75,0.0
A,orig,layers_5,async,8,128,364.78,384.42,351.65,12.40,100.0,207.63,138.94,69.27,574.76,434.05,0.0
A,orig,layers_5,pread,5,128,172.07,172.29,168.92,1.61,100.0,570.80,137.87,432.93,743.09,605.22,0.0
C,orig,2d,async,8,128,655.50,657.54,650.82,2.27,100.0,206.47,138.67,67.52,861.15,723.15,0.0
C,orig,2d,pread,5,128,646.21,654.03,644.58,4.16,100.0,492.76,138.60,354.30,1138.30,1000.26,0.0
C,orig,2e_K10,async,8,128,176.28,180.76,174.38,2.17,100.0,219.19,139.06,79.73,396.09,256.57,0.0
C,orig,2e_K10,pread,5,128,171.18,172.40,170.44,0.72,100.0,1343.48,137.36,1204.73,1514.66,1376.97,0.0
C,orig,baseline,baseline,5,128,1061.69,1071.00,1049.98,7.52,0.0,0.00,0.00,0.00,1061.69,1061.69,0.0
C,orig,layers_5,async,8,128,1031.93,1037.57,1024.75,3.88,100.0,208.62,139.58,69.67,1240.42,1101.63,0.0
C,orig,layers_5,pread,5,128,1035.94,1045.99,901.72,55.14,100.0,582.55,139.65,441.91,1616.17,1482.65,0.0
