seed,workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
1,A,orig,baseline,baseline,128,1,1,0.00,0.00,532.32,0.00,0.00,0.00,532.32,532.32,2.09,180.00,270.00,1.17,56175368
1,B,orig,baseline,baseline,128,1,1,0.00,0.00,740.00,0.00,0.00,0.00,740.00,740.00,2.22,181.00,273.00,1.16,56176532
1,C,orig,baseline,baseline,128,1,1,0.00,0.00,1009.50,0.00,0.00,0.00,1009.50,1009.50,1.59,24.00,25.00,1.16,56177360
1,A,orig,learned_markov_14,pread,128,1,1,0.00,100.00,353.55,1406.58,182.45,1224.13,1760.13,1577.68,2.12,178.00,282.00,1.16,56177684
1,A,orig,learned_markov_14,async,128,1,1,0.00,100.00,370.91,261.14,181.43,79.71,632.05,450.62,2.13,178.00,282.00,1.16,56193988
1,A,orig,learned_markov_28,pread,128,1,1,0.00,100.00,412.04,2754.79,180.51,2574.28,3166.83,2986.32,2.14,178.00,285.00,1.16,56193236
1,A,orig,learned_markov_28,async,128,1,1,0.00,100.00,361.81,271.16,173.19,97.96,632.97,459.77,2.13,178.00,286.00,1.16,56194948
1,A,orig,2f_top14,pread,128,1,1,0.00,100.00,355.51,1432.11,183.90,1248.22,1787.62,1603.73,2.14,182.00,281.00,1.16,56217676
1,A,orig,2f_top14,async,128,1,1,0.00,100.00,403.41,266.64,185.79,80.85,670.05,484.26,2.12,182.00,281.00,1.16,56218212
1,A,orig,2f_top28,pread,128,1,1,0.00,100.00,358.04,2592.08,181.49,2410.59,2950.12,2768.63,2.17,183.00,288.00,1.16,56214856
1,A,orig,2f_top28,async,128,1,1,0.00,100.00,339.09,274.83,174.44,100.39,613.92,439.48,2.20,183.00,288.00,1.16,56222896
1,A,orig,2e_K10,pread,128,1,1,0.00,100.00,181.67,2685.69,185.50,2500.19,2867.36,2681.86,2.15,181.00,287.00,1.16,56223860
1,A,orig,2e_K10,async,128,1,1,0.00,100.00,356.68,281.32,183.00,98.31,638.00,454.99,2.11,181.00,287.00,1.16,56224264
1,B,orig,learned_markov_14,pread,128,1,1,0.00,100.00,409.40,1474.83,227.16,1247.67,1884.23,1657.07,2.23,181.00,278.00,1.16,56201812
1,B,orig,learned_markov_14,async,128,1,1,0.00,100.00,401.22,308.28,228.61,79.67,709.50,480.89,2.21,181.00,278.00,1.16,56202388
1,B,orig,learned_markov_28,pread,128,1,1,0.00,100.00,408.95,2551.25,186.42,2364.83,2960.20,2773.78,2.19,180.00,281.00,1.16,56202812
1,B,orig,learned_markov_28,async,128,1,1,0.00,100.00,418.07,289.48,186.56,102.92,707.55,520.99,2.20,180.00,281.00,1.14,56203136
1,B,orig,2f_top14,pread,128,1,1,0.00,100.00,409.68,1426.11,182.37,1243.74,1835.79,1653.42,2.20,181.00,277.00,1.14,56203908
1,B,orig,2f_top14,async,128,1,1,0.00,100.00,403.01,268.50,184.84,83.67,671.51,486.68,2.20,181.00,277.00,1.14,56202528
1,B,orig,2f_top28,pread,128,1,1,0.00,100.00,410.42,2535.24,139.36,2395.88,2945.66,2806.30,2.21,181.00,280.00,1.14,56203956
1,B,orig,2f_top28,async,128,1,1,0.00,100.00,407.63,239.75,139.53,100.22,647.38,507.85,2.13,181.00,279.00,1.14,56201876
1,B,orig,2e_K10,pread,128,1,1,0.00,100.00,401.46,2716.32,181.60,2534.72,3117.78,2936.18,2.20,180.00,284.00,1.14,56202368
1,B,orig,2e_K10,async,128,1,1,0.00,100.00,400.06,287.22,181.50,105.72,687.28,505.78,2.15,181.00,280.00,1.14,56200616
1,C,orig,learned_markov_14,pread,128,1,1,0.00,100.00,183.08,1213.34,190.16,1023.18,1396.42,1206.26,1.63,21.00,28.00,1.14,56186492
1,C,orig,learned_markov_14,async,128,1,1,0.00,100.00,182.27,260.56,181.35,79.21,442.83,261.48,1.59,22.00,27.00,1.14,56186064
1,C,orig,learned_markov_28,pread,128,1,1,0.00,100.00,182.21,1260.61,188.63,1071.97,1442.82,1254.18,1.59,20.00,29.00,1.14,56186176
1,C,orig,learned_markov_28,async,128,1,1,0.00,100.00,178.82,284.94,189.67,95.28,463.76,274.10,1.61,21.00,28.00,1.14,56186524
1,C,orig,2f_top14,pread,128,1,1,0.00,100.00,181.77,1253.08,146.74,1106.35,1434.85,1288.12,1.60,21.00,28.00,1.14,56186732
1,C,orig,2f_top14,async,128,1,1,0.00,100.00,177.90,232.85,152.63,80.22,410.75,258.12,1.60,22.00,27.00,1.14,56180336
1,C,orig,2f_top28,pread,128,1,1,0.00,100.00,183.82,1167.46,102.43,1065.03,1351.28,1248.85,1.61,20.00,29.00,1.14,56181416
1,C,orig,2f_top28,async,128,1,1,0.00,100.00,180.43,251.45,154.80,96.65,431.88,277.08,1.60,21.00,28.00,1.14,56181604
1,C,orig,2e_K10,pread,128,1,1,0.00,100.00,179.32,1326.26,138.99,1187.27,1505.58,1366.59,1.60,22.00,28.00,1.14,56181580
1,C,orig,2e_K10,async,128,1,1,0.00,100.00,179.08,218.51,138.06,80.45,397.59,259.53,1.60,22.00,27.00,1.14,56162296
1,A,orig,baseline,baseline,128,2,0,0.00,0.00,513.01,0.00,0.00,0.00,513.01,513.01,2.17,180.00,270.00,1.13,56170284
1,B,orig,baseline,baseline,128,2,0,0.00,0.00,733.86,0.00,0.00,0.00,733.86,733.86,2.17,181.00,273.00,1.13,56170436
1,C,orig,baseline,baseline,128,2,0,0.00,0.00,1074.94,0.00,0.00,0.00,1074.94,1074.94,1.66,24.00,25.00,1.13,56171060
1,A,orig,learned_markov_14,pread,128,2,0,0.00,100.00,407.00,1420.91,171.37,1249.54,1827.91,1656.54,2.12,178.00,282.00,1.13,56172812
1,A,orig,learned_markov_14,async,128,2,0,0.00,100.00,357.23,248.27,169.00,79.27,605.50,436.50,2.15,178.00,282.00,1.13,56173060
1,A,orig,learned_markov_28,pread,128,2,0,0.00,100.00,407.06,2674.38,131.34,2543.04,3081.44,2950.10,2.11,178.00,285.00,1.13,56172988
1,A,orig,learned_markov_28,async,128,2,0,0.00,100.00,408.72,227.42,128.25,99.17,636.14,507.89,2.12,178.00,286.00,1.13,56174396
1,A,orig,2f_top14,pread,128,2,0,0.00,100.00,389.29,1381.84,130.21,1251.62,1771.13,1640.91,2.16,182.00,281.00,1.13,56174980
1,A,orig,2f_top14,async,128,2,0,0.00,100.00,353.36,218.46,136.53,81.93,571.82,435.29,2.15,182.00,281.00,1.13,56176056
1,A,orig,2f_top28,pread,128,2,0,0.00,100.00,329.04,2599.22,129.75,2469.46,2928.26,2798.50,2.18,183.00,288.00,1.13,56166756
1,A,orig,2f_top28,async,128,2,0,0.00,100.00,365.12,243.57,138.29,105.28,608.69,470.40,2.20,183.00,288.00,1.13,56108688
1,A,orig,2e_K10,pread,128,2,0,0.00,100.00,188.32,2635.87,128.69,2507.18,2824.19,2695.50,2.17,181.00,287.00,1.13,56053796
1,A,orig,2e_K10,async,128,2,0,0.00,100.00,359.48,238.93,136.64,102.29,598.41,461.77,2.22,181.00,287.00,1.13,56128596
1,B,orig,learned_markov_14,pread,128,2,0,0.00,100.00,413.77,1351.91,130.34,1221.57,1765.68,1635.34,2.22,181.00,278.00,1.13,56131384
1,B,orig,learned_markov_14,async,128,2,0,0.00,100.00,406.63,209.49,129.63,79.86,616.12,486.49,2.22,181.00,278.00,1.12,56133764
1,B,orig,learned_markov_28,pread,128,2,0,0.00,100.00,416.03,2503.93,129.56,2374.36,2919.96,2790.39,2.23,180.00,281.00,1.12,56129984
1,B,orig,learned_markov_28,async,128,2,0,0.00,100.00,411.52,231.79,130.74,101.05,643.31,512.57,2.21,180.00,281.00,1.12,56122216
1,B,orig,2f_top14,pread,128,2,0,0.00,100.00,411.37,1374.30,129.61,1244.69,1785.67,1656.06,2.20,181.00,277.00,1.12,56129948
1,B,orig,2f_top14,async,128,2,0,0.00,100.00,413.83,210.41,129.31,81.09,624.24,494.92,2.19,181.00,277.00,1.12,56129384
1,B,orig,2f_top28,pread,128,2,0,0.00,100.00,412.16,2601.92,131.68,2470.24,3014.08,2882.40,2.16,181.00,279.00,1.12,56130100
1,B,orig,2f_top28,async,128,2,0,0.00,100.00,404.47,232.53,129.25,103.27,637.00,507.74,2.15,181.00,279.00,1.12,56133668
1,B,orig,2e_K10,pread,128,2,0,0.00,100.00,412.97,2824.01,172.43,2651.57,3236.98,3064.54,2.21,180.00,283.00,1.12,56133900
1,B,orig,2e_K10,async,128,2,0,0.00,100.00,408.18,281.47,175.84,105.63,689.65,513.81,2.21,181.00,280.00,1.12,56133196
1,C,orig,learned_markov_14,pread,128,2,0,0.00,100.00,177.75,1542.71,135.93,1406.78,1720.46,1584.53,1.61,21.00,28.00,1.12,56137112
1,C,orig,learned_markov_14,async,128,2,0,0.00,100.00,180.34,208.05,127.82,80.23,388.39,260.57,1.61,22.00,27.00,1.12,56137440
