workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,10,128,518.10,581.24,511.83,29.18,100.0,229.47,129.55,100.32,749.99,619.66,0.0
A,orig,2e_K10,pread,10,128,516.23,590.21,494.94,39.40,100.0,2717.89,130.15,2584.97,3235.30,3102.79,0.0
A,orig,2f_top14,async,10,128,551.09,584.81,512.21,33.90,100.0,209.94,129.53,80.47,761.74,632.83,0.0
A,orig,2f_top14,pread,10,128,556.21,600.59,511.48,35.37,100.0,1386.11,130.25,1252.40,1953.42,1823.17,0.0
A,orig,2f_top28,async,10,128,550.53,603.34,481.44,38.56,100.0,231.89,131.31,100.59,780.28,650.14,0.0
A,orig,2f_top28,pread,10,128,521.24,577.54,478.31,29.28,100.0,2593.84,130.05,2460.80,3116.15,2984.59,0.0
A,orig,baseline,baseline,10,128,844.01,877.22,777.63,30.41,0.0,0.00,0.00,0.00,844.01,844.01,0.0
A,orig,learned_markov_14,async,10,128,565.52,587.03,511.21,34.43,100.0,224.74,141.69,83.34,789.46,647.91,0.0
A,orig,learned_markov_14,pread,10,128,557.94,584.49,513.98,28.34,100.0,1396.70,141.80,1254.82,1957.86,1814.93,0.0
A,orig,learned_markov_28,async,10,128,521.20,586.93,516.74,32.29,100.0,231.30,129.97,101.33,753.92,622.50,0.0
A,orig,learned_markov_28,pread,10,128,520.74,587.07,513.25,33.22,100.0,2671.02,129.80,2541.28,3201.96,3073.03,0.0
B,orig,2e_K10,async,10,128,658.47,671.76,501.66,49.79,100.0,229.59,129.93,100.63,887.43,759.84,0.0
B,orig,2e_K10,pread,10,128,650.10,665.66,600.97,20.67,100.0,2706.21,130.50,2571.34,3352.93,3222.68,0.0
B,orig,2f_top14,async,10,128,632.65,664.25,498.42,44.99,100.0,212.69,130.41,82.44,845.07,715.22,0.0
B,orig,2f_top14,pread,10,128,640.08,666.05,530.16,40.47,100.0,1378.57,129.38,1248.15,2015.68,1884.56,0.0
B,orig,2f_top28,async,10,128,637.31,670.13,496.34,48.57,100.0,232.70,130.98,100.55,874.03,736.88,0.0
B,orig,2f_top28,pread,10,128,634.41,666.26,628.05,15.24,100.0,2550.68,130.31,2420.09,3188.75,3058.09,0.0
B,orig,baseline,baseline,10,128,969.77,998.74,868.82,45.28,0.0,0.00,0.00,0.00,969.77,969.77,0.0
B,orig,learned_markov_14,async,10,128,631.08,670.70,527.50,39.77,100.0,213.17,130.28,81.91,847.01,713.74,0.0
B,orig,learned_markov_14,pread,10,128,621.97,635.08,566.37,20.96,100.0,1374.16,129.87,1244.97,1987.76,1855.66,0.0
B,orig,learned_markov_28,async,10,128,520.08,560.70,496.37,20.23,100.0,231.05,129.53,100.59,758.61,620.50,0.0
B,orig,learned_markov_28,pread,10,128,549.80,572.70,507.87,20.69,100.0,2578.73,130.12,2449.49,3128.17,2998.22,0.0
C,orig,2e_K10,async,10,128,550.28,654.03,532.01,43.88,100.0,210.50,129.36,79.41,761.98,629.82,0.0
C,orig,2e_K10,pread,10,128,563.10,635.41,528.90,34.98,100.0,1285.82,131.19,1154.41,1849.88,1719.56,0.0
C,orig,2f_top14,async,10,128,553.56,669.33,509.69,54.32,100.0,210.96,130.58,79.06,767.79,633.60,0.0
C,orig,2f_top14,pread,10,128,581.52,618.36,511.97,33.15,100.0,1162.22,129.19,1032.72,1719.01,1589.52,0.0
C,orig,2f_top28,async,10,128,552.90,589.68,534.26,19.78,100.0,225.57,130.32,96.08,780.15,649.86,0.0
C,orig,2f_top28,pread,10,128,590.45,686.12,558.28,48.56,100.0,1177.32,130.01,1047.25,1759.81,1629.30,0.0
C,orig,baseline,baseline,10,128,956.57,1012.26,907.99,38.38,0.0,0.00,0.00,0.00,956.57,956.57,0.0
C,orig,learned_markov_14,async,10,128,550.94,593.06,513.54,25.48,100.0,208.32,128.98,79.33,761.38,633.04,0.0
C,orig,learned_markov_14,pread,10,128,562.29,594.87,536.79,16.34,100.0,1151.93,129.71,1023.74,1726.42,1597.57,0.0
C,orig,learned_markov_28,async,10,128,555.73,667.60,533.06,55.81,100.0,226.09,130.01,96.07,792.31,655.94,0.0
C,orig,learned_markov_28,pread,10,128,567.03,668.25,524.69,48.96,100.0,1170.87,129.55,1040.43,1744.80,1610.63,0.0
