workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,914.18,0.00,0.00,0.00,914.18,914.18,2.15,186.00,273.00,1.14,55775264
B,orig,baseline,baseline,128,1,1,0.00,0.00,555.48,0.00,0.00,0.00,555.48,555.48,2.23,183.00,271.00,1.14,55777560
C,orig,baseline,baseline,128,1,1,0.00,0.00,882.80,0.00,0.00,0.00,882.80,882.80,1.57,19.00,30.00,1.13,55777980
A,orig,learned_markov_14,pread,128,1,1,0.00,100.00,571.27,1349.96,183.43,1166.53,1921.23,1737.80,2.16,188.00,277.00,1.13,55777648
A,orig,learned_markov_14,async,128,1,1,0.00,100.00,567.23,261.23,182.19,79.04,828.46,646.27,2.09,188.00,277.00,1.13,55777300
A,orig,learned_markov_28,pread,128,1,1,0.00,100.00,567.89,2604.19,181.83,2422.36,3172.08,2990.25,2.16,188.00,279.00,1.13,55771416
A,orig,learned_markov_28,async,128,1,1,0.00,100.00,569.33,283.71,183.13,100.58,853.04,669.91,2.14,188.00,278.00,1.13,55773684
A,orig,2f_top14,pread,128,1,1,0.00,100.00,572.14,1372.66,182.86,1189.80,1944.80,1761.94,2.11,186.00,286.00,1.13,55774592
A,orig,2f_top14,async,128,1,1,0.00,100.00,569.05,255.89,175.86,80.03,824.94,649.08,2.12,186.00,286.00,1.13,55775540
A,orig,2f_top28,pread,128,1,1,0.00,100.00,565.14,2647.74,229.41,2418.32,3212.88,2983.46,2.09,186.00,302.00,1.13,55775660
A,orig,2f_top28,async,128,1,1,0.00,100.00,497.22,325.61,228.42,97.19,822.83,594.41,2.09,187.00,301.00,1.13,55776952
A,orig,2e_K10,pread,128,1,1,0.00,100.00,567.82,2683.89,180.33,2503.57,3251.71,3071.39,2.11,185.00,297.00,1.13,55777384
A,orig,2e_K10,async,128,1,1,0.00,100.00,595.22,283.26,182.65,100.61,878.48,695.83,2.12,186.00,292.00,1.13,55777628
B,orig,learned_markov_14,pread,128,1,1,0.00,100.00,628.49,1434.37,183.81,1250.55,2062.86,1879.04,2.15,180.00,287.00,1.13,55779316
B,orig,learned_markov_14,async,128,1,1,0.00,100.00,573.35,265.93,183.88,82.04,839.28,655.39,2.20,180.00,287.00,1.13,55779128
B,orig,learned_markov_28,pread,128,1,1,0.00,100.00,530.79,2482.78,140.52,2342.25,3013.57,2873.04,2.18,180.00,289.00,1.13,55778772
B,orig,learned_markov_28,async,128,1,1,0.00,100.00,569.24,247.67,140.00,107.66,816.91,676.90,2.14,180.00,288.00,1.13,55780348
B,orig,2f_top14,pread,128,1,1,0.00,100.00,562.92,1286.43,104.11,1182.32,1849.35,1745.24,2.12,179.00,288.00,1.12,55780276
B,orig,2f_top14,async,128,1,1,0.00,100.00,571.38,233.14,150.90,82.23,804.52,653.61,2.17,179.00,287.00,1.12,55779832
B,orig,2f_top28,pread,128,1,1,0.00,100.00,530.02,2504.50,104.43,2400.07,3034.52,2930.09,2.15,179.00,290.00,1.12,55780672
B,orig,2f_top28,async,128,1,1,0.00,100.00,559.69,256.74,153.35,103.39,816.43,663.08,2.24,179.00,290.00,1.12,55781288
B,orig,2e_K10,pread,128,1,1,0.00,100.00,533.40,2740.72,177.60,2563.12,3274.12,3096.52,2.22,178.00,294.00,1.12,55806836
B,orig,2e_K10,async,128,1,1,0.00,100.00,537.63,270.29,171.67,98.61,807.92,636.24,2.20,179.00,291.00,1.12,55808936
C,orig,learned_markov_14,pread,128,1,1,0.00,100.00,178.06,1213.73,180.22,1033.51,1391.79,1211.57,1.56,17.00,34.00,1.12,55809552
C,orig,learned_markov_14,async,128,1,1,0.00,100.00,176.89,260.01,179.44,80.57,436.90,257.46,1.57,18.00,35.00,1.12,55809912
C,orig,learned_markov_28,pread,128,1,1,0.00,100.00,179.73,1467.48,101.12,1366.36,1647.21,1546.09,1.56,16.00,34.00,1.12,55810380
C,orig,learned_markov_28,async,128,1,1,0.00,100.00,184.59,251.60,153.75,97.85,436.19,282.44,1.57,17.00,34.00,1.12,55810896
C,orig,2f_top14,pread,128,1,1,0.00,100.00,207.04,1207.79,152.37,1055.42,1414.83,1262.46,1.57,17.00,34.00,1.12,55810456
C,orig,2f_top14,async,128,1,1,0.00,100.00,181.47,230.07,152.31,77.77,411.54,259.24,1.58,18.00,35.00,1.12,55810064
C,orig,2f_top28,pread,128,1,1,0.00,100.00,180.14,1173.07,102.71,1070.36,1353.21,1250.50,1.58,16.00,34.00,1.12,55808500
C,orig,2f_top28,async,128,1,1,0.00,100.00,185.33,247.44,151.81,95.63,432.77,280.96,1.56,17.00,34.00,1.12,55812664
C,orig,2e_K10,pread,128,1,1,0.00,100.00,178.76,1267.96,151.05,1116.91,1446.72,1295.67,1.57,17.00,36.00,1.12,55813580
C,orig,2e_K10,async,128,1,1,0.00,100.00,181.18,232.43,151.59,80.84,413.61,262.02,1.58,18.00,35.00,1.12,55813840
A,orig,baseline,baseline,128,2,0,0.00,0.00,905.29,0.00,0.00,0.00,905.29,905.29,2.15,186.00,273.00,1.12,55814300
B,orig,baseline,baseline,128,2,0,0.00,0.00,553.91,0.00,0.00,0.00,553.91,553.91,2.21,183.00,271.00,1.11,55814552
C,orig,baseline,baseline,128,2,0,0.00,0.00,883.08,0.00,0.00,0.00,883.08,883.08,1.59,19.00,30.00,1.11,55814932
A,orig,learned_markov_14,pread,128,2,0,0.00,100.00,560.69,1332.91,143.26,1189.65,1893.60,1750.34,2.14,188.00,277.00,1.11,55814048
A,orig,learned_markov_14,async,128,2,0,0.00,100.00,499.06,218.95,139.07,79.88,718.01,578.94,2.09,188.00,277.00,1.11,55814100
A,orig,learned_markov_28,pread,128,2,0,0.00,100.00,566.63,2598.09,142.77,2455.32,3164.72,3021.95,2.15,188.00,279.00,1.11,55780460
A,orig,learned_markov_28,async,128,2,0,0.00,100.00,571.09,244.88,139.69,105.19,815.97,676.28,2.14,188.00,278.00,1.11,55785932
A,orig,2f_top14,pread,128,2,0,0.00,100.00,568.71,1329.12,142.37,1186.75,1897.83,1755.46,2.15,186.00,286.00,1.11,55787404
A,orig,2f_top14,async,128,2,0,0.00,100.00,565.78,222.52,140.94,81.58,788.30,647.36,2.12,186.00,286.00,1.11,55787340
A,orig,2f_top28,pread,128,2,0,0.00,100.00,498.28,2558.23,139.41,2418.82,3056.51,2917.10,2.08,186.00,302.00,1.11,55788360
A,orig,2f_top28,async,128,2,0,0.00,100.00,564.14,240.72,139.32,101.40,804.86,665.54,2.10,187.00,301.00,1.11,55788240
