seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
1,A,orig,2e_K10,async,10,128,357.44,419.52,325.39,28.15,100.0,231.53,130.63,100.64,588.45,458.18,0.0
1,A,orig,2e_K10,pread,10,128,181.81,187.83,170.56,4.60,100.0,2614.54,129.56,2486.62,2794.54,2666.62,0.0
1,A,orig,2f_top14,async,10,128,361.39,386.84,334.20,16.96,100.0,215.41,133.50,81.12,583.18,445.94,0.0
1,A,orig,2f_top14,pread,10,128,387.16,403.62,372.80,10.05,100.0,1352.14,129.84,1221.17,1745.86,1615.04,0.0
1,A,orig,2f_top28,async,10,128,362.09,395.59,331.83,21.03,100.0,230.89,129.79,100.77,598.88,465.19,0.0
1,A,orig,2f_top28,pread,10,128,357.50,411.84,325.39,31.90,100.0,2559.38,129.45,2431.26,2888.22,2759.65,0.0
1,A,orig,baseline,baseline,10,128,510.44,513.83,445.25,19.82,0.0,0.00,0.00,0.00,510.44,510.44,0.0
1,A,orig,learned_markov_14,async,10,128,354.54,388.87,324.70,23.29,100.0,251.24,171.35,79.97,604.23,434.21,0.0
1,A,orig,learned_markov_14,pread,10,128,359.19,408.05,327.21,35.04,100.0,1396.95,171.62,1222.48,1756.59,1581.97,0.0
1,A,orig,learned_markov_28,async,10,128,359.29,408.26,354.17,22.59,100.0,229.31,129.69,99.67,592.12,459.63,0.0
1,A,orig,learned_markov_28,pread,10,128,359.52,408.18,355.59,24.07,100.0,2667.81,128.97,2538.65,3033.89,2902.72,0.0
1,B,orig,2e_K10,async,10,128,409.56,415.36,402.13,4.29,100.0,275.77,175.31,99.78,686.89,511.10,0.0
1,B,orig,2e_K10,pread,10,128,410.86,432.03,405.06,11.03,100.0,2821.58,173.93,2648.98,3234.12,3060.39,0.0
1,B,orig,2f_top14,async,10,128,411.70,437.97,398.95,13.63,100.0,210.94,129.61,81.19,625.38,492.02,0.0
1,B,orig,2f_top14,pread,10,128,412.62,420.03,409.63,3.48,100.0,1394.22,130.91,1263.31,1808.89,1679.22,0.0
1,B,orig,2f_top28,async,10,128,409.44,416.19,404.47,3.56,100.0,229.36,129.95,99.31,639.52,508.96,0.0
1,B,orig,2f_top28,pread,10,128,413.04,422.74,402.08,6.56,100.0,2566.73,130.11,2437.79,2978.88,2849.93,0.0
1,B,orig,baseline,baseline,10,128,737.77,747.45,731.60,5.79,0.0,0.00,0.00,0.00,737.77,737.77,0.0
1,B,orig,learned_markov_14,async,10,128,412.73,418.15,404.62,4.69,100.0,211.33,130.42,80.40,627.09,495.17,0.0
1,B,orig,learned_markov_14,pread,10,128,411.40,448.36,403.46,16.08,100.0,1404.60,129.80,1275.28,1814.26,1684.68,0.0
1,B,orig,learned_markov_28,async,10,128,412.94,420.03,404.20,4.33,100.0,229.99,130.68,98.15,642.65,512.21,0.0
1,B,orig,learned_markov_28,pread,10,128,406.53,415.24,400.07,5.56,100.0,2467.49,129.63,2335.41,2867.89,2738.24,0.0
1,C,orig,2e_K10,async,10,128,181.49,182.97,178.24,1.65,100.0,208.73,129.25,79.78,390.06,260.50,0.0
1,C,orig,2e_K10,pread,10,128,179.68,183.02,176.92,1.91,100.0,1335.41,129.87,1206.47,1513.03,1384.08,0.0
1,C,orig,2f_top14,async,10,128,180.62,200.16,175.80,10.43,100.0,209.36,129.49,79.66,391.56,260.23,0.0
1,C,orig,2f_top14,pread,10,128,180.06,185.02,177.85,2.45,100.0,1236.47,130.37,1104.73,1418.29,1286.55,0.0
1,C,orig,2f_top28,async,10,128,180.33,193.59,177.99,6.07,100.0,223.37,128.59,95.28,406.10,276.15,0.0
1,C,orig,2f_top28,pread,10,128,179.88,186.78,177.57,3.60,100.0,1225.68,128.87,1098.93,1405.56,1278.99,0.0
1,C,orig,baseline,baseline,10,128,1072.51,1092.00,1068.08,10.12,0.0,0.00,0.00,0.00,1072.51,1072.51,0.0
1,C,orig,learned_markov_14,async,10,128,180.61,185.91,177.28,2.82,100.0,208.20,129.04,78.67,389.60,260.77,0.0
1,C,orig,learned_markov_14,pread,10,128,179.26,187.88,177.75,3.75,100.0,1221.00,130.60,1088.69,1400.99,1267.76,0.0
1,C,orig,learned_markov_28,async,10,128,179.87,184.04,176.36,2.43,100.0,227.34,130.31,96.28,406.75,276.17,0.0
1,C,orig,learned_markov_28,pread,10,128,180.56,184.32,177.12,2.12,100.0,1196.35,129.49,1067.58,1376.36,1247.59,0.0
2,A,orig,2e_K10,async,10,128,518.10,581.24,511.83,29.18,100.0,229.47,129.55,100.32,749.99,619.66,0.0
2,A,orig,2e_K10,pread,10,128,516.23,590.21,494.94,39.40,100.0,2717.89,130.15,2584.97,3235.30,3102.79,0.0
2,A,orig,2f_top14,async,10,128,551.09,584.81,512.21,33.90,100.0,209.94,129.53,80.47,761.74,632.83,0.0
2,A,orig,2f_top14,pread,10,128,556.21,600.59,511.48,35.37,100.0,1386.11,130.25,1252.40,1953.42,1823.17,0.0
2,A,orig,2f_top28,async,10,128,550.53,603.34,481.44,38.56,100.0,231.89,131.31,100.59,780.28,650.14,0.0
2,A,orig,2f_top28,pread,10,128,521.24,577.54,478.31,29.28,100.0,2593.84,130.05,2460.80,3116.15,2984.59,0.0
2,A,orig,baseline,baseline,10,128,844.01,877.22,777.63,30.41,0.0,0.00,0.00,0.00,844.01,844.01,0.0
