workload,test_seed,first_op_covered,hot_leaf_used_pct,precision_pct
A,1,0,100,43
A,2,0,100,43
A,3,0,100,43
A,4,0,100,43
A,5,0,100,43
A,6,0,100,43
A,7,0,100,43
A,8,0,100,43
A,9,0,100,43
A,10,0,100,43
B,1,0,100,43
B,2,0,100,43
B,3,0,100,43
B,4,0,100,43
B,5,0,100,43
B,6,0,100,43
B,7,0,100,43
B,8,0,100,43
B,9,0,100,43
B,10,0,100,43
C,1,1,100,100
C,2,0,100,100
C,3,1,100,100
C,4,1,100,100
C,5,0,100,100
C,6,0,100,100
C,7,0,100,100
C,8,1,100,100
C,9,1,100,100
C,10,1,100,100
