workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,lp_sorted,pread,128,1,1,0.00,100.00,103.51,106831.22,124.28,106706.93,106934.73,106810.44,1.73,0.00,1653.00,1.11,56939592
YC,orig,lp_sorted,async,128,1,1,0.00,100.00,97.11,42310.79,115.88,42194.91,42407.90,42292.02,1.76,0.00,1653.00,1.11,56942988
YC,orig,lp_shuf,pread,128,1,1,0.00,100.00,122.57,1567785.71,80.85,1567704.86,1567908.28,1567827.43,1.92,0.00,1653.00,1.11,56929144
YC,orig,lp_shuf,async,128,1,1,0.00,100.00,102.07,41184.24,81.72,41102.51,41286.31,41204.58,1.73,0.00,1653.00,1.11,56928984
YC,orig,lp_sorted,pread,128,2,0,0.00,100.00,110.08,104268.04,78.57,104189.47,104378.12,104299.55,1.72,0.00,1653.00,1.11,56836964
YC,orig,lp_shuf,pread,128,2,0,0.00,100.00,118.85,1560295.02,84.18,1560210.85,1560413.87,1560329.70,1.94,0.00,1653.00,1.10,56930412
YC,orig,lp_sorted,pread,128,3,0,0.00,100.00,107.00,98457.85,86.06,98371.79,98564.85,98478.79,1.74,0.00,1653.00,1.10,56931292
YC,orig,lp_shuf,pread,128,3,0,0.00,100.00,109.93,1566849.44,84.14,1566765.30,1566959.37,1566875.23,1.99,0.00,1653.00,1.10,56936172
YC,orig,lp_sorted,pread,128,4,0,0.00,100.00,101.18,101697.91,85.29,101612.62,101799.09,101713.80,1.73,0.00,1653.00,1.10,56936520
YC,orig,lp_shuf,pread,128,4,0,0.00,100.00,119.69,1562121.09,82.15,1562038.93,1562240.78,1562158.62,1.98,0.00,1653.00,1.09,56936920
YC,orig,lp_sorted,pread,128,5,0,0.00,100.00,106.43,98454.95,83.63,98371.32,98561.38,98477.75,1.72,0.00,1653.00,1.09,56937480
YC,orig,lp_shuf,pread,128,5,0,0.00,100.00,124.10,1567088.97,77.70,1567011.28,1567213.07,1567135.38,1.96,0.00,1653.00,1.09,56941944
YC,orig,lp_sorted,pread,128,6,0,0.00,100.00,109.82,101104.09,84.85,101019.24,101213.91,101129.06,1.71,0.00,1653.00,1.09,56943508
YC,orig,lp_shuf,pread,128,6,0,0.00,100.00,114.98,1566270.99,77.88,1566193.11,1566385.97,1566308.09,1.97,0.00,1653.00,1.08,56942568
YC,orig,lp_sorted,pread,128,7,0,0.00,100.00,109.42,101525.78,85.49,101440.29,101635.20,101549.71,1.71,0.00,1653.00,1.08,56943948
YC,orig,lp_shuf,pread,128,7,0,0.00,100.00,119.29,1570258.86,78.63,1570180.23,1570378.15,1570299.52,2.00,0.00,1653.00,1.08,56943644
YC,orig,lp_sorted,pread,128,8,0,0.00,100.00,106.35,106671.69,86.41,106585.28,106778.04,106691.63,1.75,0.00,1653.00,1.08,56943440
YC,orig,lp_shuf,pread,128,8,0,0.00,100.00,121.16,1564848.75,84.68,1564764.07,1564969.91,1564885.23,1.97,0.00,1653.00,1.08,56945244
YC,orig,lp_sorted,pread,128,9,0,0.00,100.00,105.47,102667.31,78.35,102588.96,102772.78,102694.43,1.72,0.00,1653.00,1.08,56945480
YC,orig,lp_shuf,pread,128,9,0,0.00,100.00,121.92,1567331.30,85.06,1567246.24,1567453.22,1567368.16,1.99,0.00,1653.00,1.08,56948120
YC,orig,lp_sorted,pread,128,10,0,0.00,100.00,103.86,104241.21,85.57,104155.64,104345.07,104259.50,1.74,0.00,1653.00,1.08,56952104
YC,orig,lp_shuf,pread,128,10,0,0.00,100.00,111.10,1567501.21,84.45,1567416.76,1567612.31,1567527.86,1.95,0.00,1653.00,1.08,56947116
YC,orig,lp_sorted,pread,128,11,0,0.00,100.00,99.88,99276.01,86.56,99189.45,99375.89,99289.33,1.72,0.00,1653.00,1.08,56947964
YC,orig,lp_shuf,pread,128,11,0,0.00,100.00,121.71,1564491.64,79.01,1564412.63,1564613.35,1564534.34,1.97,0.00,1653.00,1.07,56947648
