workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YC,orig,2d,async,10,128,665.41,671.33,631.22,13.70,100.0,341.29,141.95,199.19,1003.82,862.17,0.0
YC,orig,2d,pread,10,128,633.30,640.19,629.84,3.70,100.0,8134.98,142.29,7993.02,8768.72,8626.76,0.0
YC,orig,2e_K10,async,10,128,661.32,666.87,528.39,39.90,100.0,355.31,142.34,213.17,1016.08,873.69,0.0
YC,orig,2e_K10,pread,10,128,661.49,664.49,598.65,20.40,100.0,9049.85,143.01,8902.67,9702.56,9556.26,0.0
YC,orig,2e_K500,async,10,128,650.90,693.69,577.87,43.87,100.0,1157.18,143.05,1015.53,1807.57,1665.95,0.0
YC,orig,2e_K500,pread,10,128,653.79,656.92,586.30,26.96,100.0,51789.57,143.40,51645.04,52443.99,52299.46,0.0
YC,orig,2f_slru,async,10,128,101.72,103.19,99.23,1.23,100.0,42086.55,142.54,41943.48,42187.56,42044.49,0.0
YC,orig,2f_slru,pread,10,128,106.42,111.46,100.42,3.56,100.0,103392.11,142.27,103248.65,103502.46,103359.01,0.0
YC,orig,2f_top14,async,10,128,632.46,637.25,597.88,16.90,100.0,226.22,142.30,84.27,859.43,717.26,0.0
YC,orig,2f_top14,pread,10,128,634.89,664.04,570.56,29.76,100.0,1418.93,142.58,1276.38,2052.25,1910.28,0.0
YC,orig,2f_top28,async,10,128,619.71,639.60,599.33,16.57,100.0,246.75,142.73,104.25,866.00,722.52,0.0
YC,orig,2f_top28,pread,10,128,631.68,636.04,496.26,40.99,100.0,2607.77,143.13,2463.33,3210.62,3066.07,0.0
YC,orig,baseline,baseline,10,128,1123.12,1150.63,1065.89,26.20,0.0,0.00,0.00,0.00,1123.12,1123.12,0.0
YC,orig,layers_5,async,10,128,1091.42,1097.56,1060.34,15.03,100.0,212.58,142.66,70.30,1302.78,1160.86,0.0
YC,orig,layers_5,pread,10,128,1077.59,1115.73,956.14,43.89,100.0,586.38,142.19,444.42,1662.12,1519.26,0.0
YC,orig,layers_92,async,10,128,632.72,661.25,629.56,11.84,100.0,342.54,141.76,199.35,972.91,830.12,0.0
YC,orig,layers_92,pread,10,128,635.51,650.55,631.23,7.89,100.0,8062.88,141.99,7921.94,8697.49,8556.56,0.0
