workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,learned_markov_14,pread,128,1,1,0.00,100.00,993.05,1380.29,123.64,1256.65,2373.34,2249.70,6.18,1116.00,1489.00,1.08,56943680
YC,orig,learned_markov_14,async,128,1,1,0.00,100.00,924.87,174.03,85.25,88.78,1098.90,1013.65,5.80,1116.00,1489.00,1.08,56945068
YC,orig,learned_markov_28,pread,128,1,1,0.00,100.00,912.76,2545.41,79.47,2465.94,3458.17,3378.70,5.86,1116.00,1504.00,1.08,56946340
YC,orig,learned_markov_28,async,128,1,1,0.00,100.00,957.53,184.13,78.67,105.46,1141.66,1062.99,6.19,1116.00,1504.00,1.08,56946276
YC,orig,learned_markov_14,pread,128,2,0,0.00,100.00,965.10,1366.77,79.50,1287.27,2331.87,2252.37,6.18,1116.00,1489.00,1.08,56947452
YC,orig,learned_markov_14,async,128,2,0,0.00,100.00,988.74,163.28,78.18,85.10,1152.02,1073.84,6.16,1116.00,1489.00,1.08,56948116
YC,orig,learned_markov_28,pread,128,2,0,0.00,100.00,918.53,2508.34,77.28,2431.07,3426.87,3349.60,5.86,1116.00,1504.00,1.08,56948684
YC,orig,learned_markov_28,async,128,2,0,0.00,100.00,982.31,185.35,79.12,106.23,1167.66,1088.54,5.98,1116.00,1504.00,1.08,56950548
YC,orig,learned_markov_14,pread,128,3,0,0.00,100.00,901.73,1357.31,78.24,1279.07,2259.04,2180.80,5.96,1116.00,1489.00,1.08,56948828
YC,orig,learned_markov_14,async,128,3,0,0.00,100.00,957.68,162.79,81.58,81.20,1120.47,1038.88,6.23,1116.00,1489.00,1.08,56954148
YC,orig,learned_markov_28,pread,128,3,0,0.00,100.00,962.51,2551.29,88.48,2462.82,3513.80,3425.33,6.18,1116.00,1504.00,1.08,56955172
YC,orig,learned_markov_28,async,128,3,0,0.00,100.00,922.56,180.70,78.50,102.20,1103.26,1024.76,5.77,1116.00,1504.00,1.08,56956076
YC,orig,learned_markov_14,pread,128,4,0,0.00,100.00,906.02,1354.59,79.40,1275.19,2260.61,2181.21,5.69,1116.00,1489.00,1.08,56955848
YC,orig,learned_markov_14,async,128,4,0,0.00,100.00,920.25,161.16,78.09,83.08,1081.41,1003.33,5.73,1116.00,1489.00,1.08,56956340
YC,orig,learned_markov_28,pread,128,4,0,0.00,100.00,914.21,2529.15,83.26,2445.90,3443.36,3360.11,5.74,1116.00,1504.00,1.08,56956856
YC,orig,learned_markov_28,async,128,4,0,0.00,100.00,981.54,184.08,78.21,105.87,1165.62,1087.41,5.87,1116.00,1504.00,1.07,56957788
YC,orig,learned_markov_14,pread,128,5,0,0.00,100.00,989.98,1367.66,89.10,1278.56,2357.64,2268.54,6.15,1116.00,1489.00,1.07,56956608
YC,orig,learned_markov_14,async,128,5,0,0.00,100.00,984.07,162.08,78.46,83.63,1146.15,1067.70,6.19,1116.00,1489.00,1.07,56957428
YC,orig,learned_markov_28,pread,128,5,0,0.00,100.00,1055.97,2581.46,78.96,2502.50,3637.43,3558.47,6.21,1116.00,1504.00,1.07,56958876
YC,orig,learned_markov_28,async,128,5,0,0.00,100.00,960.00,193.16,86.79,106.37,1153.16,1066.37,6.19,1116.00,1504.00,1.07,56959108
