workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,baseline,baseline,128,1,1,0.00,0.00,611.75,0.00,0.00,0.00,611.75,611.75,6.06,1123.00,1472.00,1.05,56937144
YC,orig,2d,pread,128,1,1,0.00,100.00,379.99,8269.74,181.81,8087.93,8649.73,8467.92,6.10,1120.00,1541.00,1.05,56937312
YC,orig,2d,async,128,1,1,0.00,100.00,401.12,380.02,180.61,199.41,781.14,600.53,5.76,1121.00,1539.00,1.05,56939756
YC,orig,2e_K10,pread,128,1,1,0.00,100.00,180.87,9038.90,183.82,8855.08,9219.77,9035.95,5.97,1122.00,1543.00,1.05,56939032
YC,orig,2e_K10,async,128,1,1,0.00,100.00,181.65,392.52,175.31,217.21,574.17,398.86,6.08,1123.00,1541.00,1.05,56939484
YC,orig,2e_K500,pread,128,1,1,0.00,100.00,186.60,51528.29,188.38,51339.91,51714.89,51526.51,5.75,1107.00,1739.00,1.05,56940612
YC,orig,2e_K500,async,128,1,1,0.00,100.00,184.00,1210.49,185.98,1024.52,1394.49,1208.52,5.94,1111.00,1731.00,1.05,56941068
YC,orig,2f_slru,pread,128,1,1,0.00,100.00,104.95,103990.52,141.85,103848.67,104095.47,103953.62,1.73,0.00,1653.00,1.05,56940836
YC,orig,2f_slru,async,128,1,1,0.00,100.00,99.64,42114.57,140.88,41973.69,42214.21,42073.33,1.73,0.00,1653.00,1.05,56937160
YC,orig,2f_top14,pread,128,1,1,0.00,100.00,410.51,1402.68,142.31,1260.37,1813.19,1670.88,6.20,1124.00,1494.00,1.05,56942680
YC,orig,2f_top14,async,128,1,1,0.00,100.00,407.96,227.63,143.29,84.34,635.59,492.30,6.15,1124.00,1494.00,1.05,56943188
YC,orig,2f_top28,pread,128,1,1,0.00,100.00,397.61,2610.30,181.67,2428.62,3007.91,2826.23,5.77,1125.00,1503.00,1.05,56943908
YC,orig,2f_top28,async,128,1,1,0.00,100.00,401.20,285.69,182.29,103.39,686.89,504.59,5.84,1125.00,1503.00,1.05,56944488
YC,orig,layers_5,pread,128,1,1,0.00,100.00,570.76,498.93,61.41,437.52,1069.69,1008.28,6.03,1124.00,1471.00,1.05,56943824
YC,orig,layers_5,async,128,1,1,0.00,100.00,599.36,249.48,179.49,69.99,848.84,669.35,5.99,1125.00,1470.00,1.05,56945004
YC,orig,layers_92,pread,128,1,1,0.00,100.00,403.73,8082.03,138.72,7943.31,8485.76,8347.04,5.79,1120.00,1542.00,1.05,56945472
YC,orig,layers_92,async,128,1,1,0.00,100.00,400.56,333.64,137.60,196.04,734.20,596.60,6.02,1121.00,1539.00,1.05,56946016
YC,orig,baseline,baseline,128,2,0,0.00,0.00,607.35,0.00,0.00,0.00,607.35,607.35,6.21,1123.00,1472.00,1.05,56944704
YC,orig,2d,pread,128,2,0,0.00,100.00,476.43,8064.39,136.28,7928.11,8540.82,8404.54,5.87,1120.00,1543.00,1.05,56947000
YC,orig,2d,async,128,2,0,0.00,100.00,407.30,339.98,139.98,200.00,747.28,607.30,5.86,1121.00,1539.00,1.05,56948628
YC,orig,2e_K10,pread,128,2,0,0.00,100.00,180.53,8992.79,130.41,8862.38,9173.32,9042.91,6.16,1122.00,1543.00,1.05,56948008
YC,orig,2e_K10,async,128,2,0,0.00,100.00,180.66,346.76,130.04,216.72,527.42,397.38,5.83,1123.00,1540.00,1.05,56948048
YC,orig,2e_K500,pread,128,2,0,0.00,100.00,181.87,51783.56,73.68,51709.88,51965.43,51891.75,5.82,1107.00,1736.00,1.12,56949012
YC,orig,2e_K500,async,128,2,0,0.00,100.00,181.13,1131.38,128.92,1002.45,1312.51,1183.58,5.95,1111.00,1732.00,1.12,56949100
YC,orig,2f_slru,pread,128,2,0,0.00,100.00,105.78,104559.82,132.58,104427.24,104665.60,104533.02,1.72,0.00,1653.00,1.12,56949076
YC,orig,2f_slru,async,128,2,0,0.00,100.00,99.02,42031.76,129.94,41901.82,42130.78,42000.84,1.73,0.00,1653.00,1.12,56946228
YC,orig,2f_top14,pread,128,2,0,0.00,100.00,404.94,1388.25,136.05,1252.20,1793.19,1657.14,6.20,1124.00,1494.00,1.12,56964264
YC,orig,2f_top14,async,128,2,0,0.00,100.00,407.00,215.07,130.21,84.87,622.07,491.87,6.16,1124.00,1494.00,1.12,56966236
YC,orig,2f_top28,pread,128,2,0,0.00,100.00,393.33,2546.73,129.07,2417.65,2940.06,2810.98,5.74,1125.00,1503.00,1.12,56969220
YC,orig,2f_top28,async,128,2,0,0.00,100.00,405.49,231.62,129.07,102.55,637.11,508.04,6.25,1125.00,1503.00,1.12,56969804
YC,orig,layers_5,pread,128,2,0,0.00,100.00,598.88,562.70,127.85,434.85,1161.58,1033.73,6.01,1124.00,1471.00,1.12,56969920
YC,orig,layers_5,async,128,2,0,0.00,100.00,565.47,196.96,127.66,69.30,762.43,634.77,5.72,1125.00,1470.00,1.11,56970476
YC,orig,layers_92,pread,128,2,0,0.00,100.00,401.54,7991.77,129.34,7862.43,8393.31,8263.97,6.05,1120.00,1543.00,1.11,56971152
YC,orig,layers_92,async,128,2,0,0.00,100.00,408.15,327.76,129.45,198.31,735.91,606.46,6.02,1121.00,1539.00,1.11,56971240
