seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
1,YC,orig,2d,async,10,128,664.12,671.32,604.45,21.45,100.0,343.02,142.06,201.23,1007.08,864.90,0.0
1,YC,orig,2d,pread,10,128,638.69,666.00,600.58,21.78,100.0,8143.03,142.24,8002.27,8793.62,8649.05,0.0
1,YC,orig,2e_K10,async,10,128,638.65,664.78,601.10,18.29,100.0,358.81,142.36,217.83,999.62,857.47,0.0
1,YC,orig,2e_K10,pread,10,128,650.07,666.26,529.49,50.50,100.0,8897.54,142.43,8756.23,9548.22,9405.80,0.0
1,YC,orig,2e_K500,async,10,128,665.41,670.08,633.47,13.91,100.0,1149.61,142.06,1007.44,1811.02,1668.67,0.0
1,YC,orig,2e_K500,pread,10,128,668.95,671.56,607.98,18.36,100.0,51840.82,141.91,51698.12,52506.58,52365.28,0.0
1,YC,orig,2f_slru,async,10,128,101.19,104.85,97.61,2.18,100.0,42249.65,141.39,42108.25,42352.14,42210.74,0.0
1,YC,orig,2f_slru,pread,10,128,114.69,120.56,100.28,6.86,100.0,102222.50,141.81,102080.03,102332.95,102190.48,0.0
1,YC,orig,2f_top14,async,10,128,664.20,667.68,633.78,13.85,100.0,225.99,142.16,83.63,890.73,748.94,0.0
1,YC,orig,2f_top14,pread,10,128,645.97,664.22,539.53,35.22,100.0,1405.73,142.04,1262.17,2050.76,1909.92,0.0
1,YC,orig,2f_top28,async,10,128,651.52,668.42,531.16,39.29,100.0,246.68,142.19,104.12,896.88,756.04,0.0
1,YC,orig,2f_top28,pread,10,128,655.36,668.08,605.56,19.00,100.0,2596.96,141.59,2454.47,3240.11,3098.26,0.0
1,YC,orig,baseline,baseline,10,128,1028.08,1056.19,858.74,56.75,0.0,0.00,0.00,0.00,1028.08,1028.08,0.0
1,YC,orig,layers_5,async,10,128,996.83,1042.52,854.11,54.08,100.0,212.54,142.47,69.84,1209.78,1067.03,0.0
1,YC,orig,layers_5,pread,10,128,1025.78,1051.32,993.40,17.88,100.0,582.00,143.97,438.88,1606.80,1464.02,0.0
1,YC,orig,layers_92,async,10,128,634.36,666.54,528.12,47.89,100.0,341.38,141.97,199.26,976.18,833.97,0.0
1,YC,orig,layers_92,pread,10,128,637.21,669.11,528.42,49.67,100.0,8162.12,143.62,8012.13,8801.86,8653.75,0.0
1,YC,orig,lp_shuf,pread,10,128,121.59,124.68,114.11,3.45,100.0,1573039.99,76.17,1572963.17,1573162.88,1573086.05,0.0
1,YC,orig,lp_sorted,pread,10,128,107.02,112.95,101.81,3.48,100.0,104499.05,77.21,104421.24,104602.68,104524.86,0.0
1,YC,orig,learned_markov_14,async,10,128,636.14,672.47,532.23,40.60,100.0,169.58,85.09,84.34,806.91,720.00,0.0
1,YC,orig,learned_markov_14,pread,10,128,649.25,672.20,529.71,41.89,100.0,1357.22,82.82,1276.30,1994.38,1912.67,0.0
1,YC,orig,learned_markov_28,async,10,128,661.43,668.64,528.12,52.61,100.0,184.09,78.55,103.72,842.13,763.92,0.0
1,YC,orig,learned_markov_28,pread,10,128,663.96,668.97,593.49,23.05,100.0,2532.08,84.59,2450.60,3178.61,3093.35,0.0
2,YC,orig,2d,async,10,128,572.77,580.95,503.65,21.63,100.0,372.55,173.61,198.56,947.17,772.20,0.0
2,YC,orig,2d,pread,10,128,571.50,578.14,497.50,29.99,100.0,8183.01,173.12,8011.45,8734.07,8561.20,0.0
2,YC,orig,2e_K10,async,10,128,574.21,603.79,565.62,14.98,100.0,388.32,172.53,214.54,964.24,791.72,0.0
2,YC,orig,2e_K10,pread,10,128,575.30,580.57,501.98,22.44,100.0,8998.75,173.34,8826.78,9571.37,9399.26,0.0
2,YC,orig,2e_K500,async,10,128,549.13,551.20,547.54,1.30,100.0,1188.78,173.05,1015.86,1736.59,1564.22,0.0
2,YC,orig,2e_K500,pread,10,128,552.54,561.39,548.14,4.53,100.0,51829.29,175.00,51652.46,52383.75,52206.92,0.0
2,YC,orig,2f_slru,async,10,128,101.65,110.09,99.01,3.81,100.0,42155.44,172.86,41984.18,42255.50,42084.25,0.0
2,YC,orig,2f_slru,pread,10,128,107.00,112.14,100.71,3.47,100.0,102440.02,174.01,102265.23,102549.32,102374.52,0.0
2,YC,orig,2f_top14,async,10,128,500.90,565.30,476.72,30.21,100.0,257.13,171.77,85.17,758.45,586.08,0.0
2,YC,orig,2f_top14,pread,10,128,498.17,567.34,469.59,30.44,100.0,1449.31,172.91,1277.20,1948.24,1775.37,0.0
2,YC,orig,2f_top28,async,10,128,496.10,550.81,474.48,27.26,100.0,279.99,174.03,105.76,776.20,602.18,0.0
2,YC,orig,2f_top28,pread,10,128,497.95,564.37,471.21,34.12,100.0,2650.69,174.16,2475.12,3159.55,2985.97,0.0
2,YC,orig,baseline,baseline,10,128,532.76,583.98,524.12,23.08,0.0,0.00,0.00,0.00,532.76,532.76,0.0
2,YC,orig,layers_5,async,10,128,495.80,561.26,462.93,33.41,100.0,243.44,172.44,70.96,738.20,567.34,0.0
2,YC,orig,layers_5,pread,10,128,494.21,533.01,463.04,21.08,100.0,611.01,172.88,438.62,1106.95,933.23,0.0
2,YC,orig,layers_92,async,10,128,575.00,578.64,570.16,2.62,100.0,374.69,173.70,200.37,948.44,774.34,0.0
2,YC,orig,layers_92,pread,10,128,571.76,575.69,501.82,25.41,100.0,8186.51,173.71,8011.15,8755.66,8582.65,0.0
2,YC,orig,lp_shuf,pread,10,128,120.39,125.16,112.00,3.85,100.0,1570046.77,82.60,1569968.06,1570166.62,1570087.91,0.0
2,YC,orig,lp_sorted,pread,10,128,106.41,109.50,100.78,2.60,100.0,104085.96,84.39,103998.04,104193.11,104105.19,0.0
2,YC,orig,learned_markov_14,async,10,128,502.61,564.84,477.39,31.50,100.0,167.49,85.08,84.47,670.54,587.75,0.0
2,YC,orig,learned_markov_14,pread,10,128,501.72,551.85,478.77,24.26,100.0,1364.42,85.44,1279.89,1862.91,1781.01,0.0
2,YC,orig,learned_markov_28,async,10,128,495.98,533.21,478.53,18.03,100.0,188.40,84.63,104.28,683.06,599.20,0.0
2,YC,orig,learned_markov_28,pread,10,128,500.05,549.82,477.74,22.77,100.0,2518.34,84.74,2435.89,3027.77,2946.14,0.0
3,YC,orig,2d,async,10,128,461.09,488.77,428.31,22.58,100.0,373.70,170.06,204.47,829.93,660.60,0.0
3,YC,orig,2d,pread,10,128,464.87,514.90,428.94,33.10,100.0,8098.43,169.87,7927.68,8564.97,8395.50,0.0
3,YC,orig,2e_K10,async,10,128,464.21,485.20,427.52,16.90,100.0,390.44,169.26,220.28,850.96,682.24,0.0
3,YC,orig,2e_K10,pread,10,128,467.66,497.01,429.03,24.59,100.0,8911.83,168.83,8740.35,9368.38,9198.69,0.0
3,YC,orig,2e_K500,async,10,128,500.75,521.57,490.65,10.59,100.0,1195.56,170.50,1023.87,1692.57,1522.34,0.0
3,YC,orig,2e_K500,pread,10,128,501.39,507.13,491.13,4.86,100.0,51832.98,169.21,51664.43,52329.64,52161.10,0.0
3,YC,orig,2f_slru,async,10,128,102.01,106.69,100.52,2.08,100.0,42180.60,169.28,42012.61,42282.38,42114.62,0.0
3,YC,orig,2f_slru,pread,10,128,107.97,112.56,104.51,2.58,100.0,102950.30,169.50,102780.68,103060.38,102890.76,0.0
3,YC,orig,2f_top14,async,10,128,466.67,494.70,435.69,21.18,100.0,253.48,169.17,84.25,720.54,550.98,0.0
3,YC,orig,2f_top14,pread,10,128,493.76,499.66,468.63,9.01,100.0,1412.84,169.02,1243.53,1907.51,1738.23,0.0
3,YC,orig,2f_top28,async,10,128,494.88,500.31,465.23,13.65,100.0,272.90,169.72,103.56,768.42,598.91,0.0
3,YC,orig,2f_top28,pread,10,128,490.83,496.72,431.23,20.60,100.0,2601.45,169.65,2429.89,3085.32,2916.51,0.0
3,YC,orig,baseline,baseline,10,128,887.63,919.93,868.09,15.76,0.0,0.00,0.00,0.00,887.63,887.63,0.0
3,YC,orig,layers_5,async,10,128,846.91,885.22,781.49,37.56,100.0,239.16,169.11,69.75,1085.61,916.30,0.0
3,YC,orig,layers_5,pread,10,128,886.75,896.60,815.71,23.85,100.0,610.44,169.81,440.86,1495.35,1326.86,0.0
3,YC,orig,layers_92,async,10,128,464.63,467.21,433.67,9.49,100.0,373.50,169.06,204.14,836.01,667.30,0.0
3,YC,orig,layers_92,pread,10,128,464.90,475.34,432.40,16.10,100.0,8095.05,169.69,7922.91,8550.58,8381.14,0.0
3,YC,orig,lp_shuf,pread,10,128,119.33,125.05,113.91,3.66,100.0,1568751.71,84.84,1568668.66,1568870.93,1568787.88,0.0
3,YC,orig,lp_sorted,pread,10,128,109.16,116.02,96.41,5.52,100.0,102724.08,86.17,102635.88,102834.77,102746.57,0.0
3,YC,orig,learned_markov_14,async,10,128,467.15,497.33,437.50,19.14,100.0,166.51,81.47,84.20,636.96,551.07,0.0
3,YC,orig,learned_markov_14,pread,10,128,480.83,502.41,436.41,24.35,100.0,1329.70,85.28,1243.66,1798.12,1714.61,0.0
3,YC,orig,learned_markov_28,async,10,128,495.91,500.48,463.60,12.54,100.0,189.11,85.68,102.79,685.39,599.02,0.0
3,YC,orig,learned_markov_28,pread,10,128,468.37,533.15,436.76,32.09,100.0,2508.41,85.32,2425.39,2980.56,2895.38,0.0
4,YC,orig,2d,async,10,128,655.23,658.24,646.14,3.37,100.0,342.59,142.82,199.97,997.43,854.58,0.0
4,YC,orig,2d,pread,10,128,653.74,656.66,605.55,14.58,100.0,8123.26,142.95,7979.57,8778.20,8634.51,0.0
4,YC,orig,2e_K10,async,10,128,657.31,681.92,652.54,13.43,100.0,361.04,142.26,218.57,1017.87,875.25,0.0
4,YC,orig,2e_K10,pread,10,128,654.25,663.07,647.04,5.07,100.0,8923.85,142.09,8794.14,9581.90,9452.66,0.0
4,YC,orig,2e_K500,async,10,128,183.87,240.00,181.59,29.44,100.0,1157.68,142.81,1015.68,1344.53,1202.51,0.0
4,YC,orig,2e_K500,pread,10,128,183.59,185.40,181.28,1.41,100.0,51722.76,142.44,51580.12,51904.29,51761.65,0.0
4,YC,orig,2f_slru,async,10,128,102.28,104.51,97.24,2.11,100.0,42117.60,142.34,41973.31,42219.54,42074.88,0.0
4,YC,orig,2f_slru,pread,10,128,107.78,111.00,106.35,1.71,100.0,102945.12,142.62,102801.76,103052.27,102908.90,0.0
