seed,workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
1,YCh01,orig,baseline,baseline,128,1,1,0.00,0.00,852.25,0.00,0.00,0.00,852.25,852.25,6.03,1099.00,1323.00,1.22,55727776
1,YCh01,orig,2d,pread,128,1,1,0.00,100.00,497.44,8068.30,186.60,7881.70,8565.74,8379.14,5.98,1098.00,1375.00,1.22,55727332
1,YCh01,orig,2d,async,128,1,1,0.00,100.00,505.61,360.66,154.92,205.74,866.27,711.35,5.87,1098.00,1375.00,1.22,55727276
1,YCh01,orig,2e_K10,pread,128,1,1,0.00,100.00,477.59,9126.48,185.20,8941.28,9604.07,9418.87,6.07,1097.00,1385.00,1.22,55727612
1,YCh01,orig,2e_K10,async,128,1,1,0.00,100.00,568.97,364.81,150.68,214.12,933.78,783.09,6.01,1097.00,1385.00,1.22,55728580
1,YCh01,orig,2e_K500,pread,128,1,1,0.00,100.00,551.87,55130.16,185.24,54944.92,55682.03,55496.79,5.66,1090.00,1580.00,1.22,55728356
1,YCh01,orig,2e_K500,async,128,1,1,0.00,100.00,459.99,1232.32,156.56,1075.75,1692.31,1535.74,5.85,1101.00,1538.00,1.20,55729764
1,YCh01,orig,2f_slru,pread,128,1,1,0.00,100.00,114.47,105442.04,183.49,105258.56,105556.51,105373.03,1.66,0.00,1652.00,1.20,55729164
1,YCh01,orig,2f_slru,async,128,1,1,0.00,100.00,101.73,42095.39,151.25,41944.13,42197.12,42045.86,1.70,13.00,1651.00,1.20,55725564
1,YCh01,orig,2f_top14,pread,128,1,1,0.00,100.00,1034.14,1405.45,185.67,1219.78,2439.59,2253.92,6.14,1104.00,1330.00,1.20,55729712
1,YCh01,orig,2f_top14,async,128,1,1,0.00,100.00,819.83,226.78,144.61,82.17,1046.61,902.00,5.68,1104.00,1330.00,1.20,55730360
1,YCh01,orig,2f_top28,pread,128,1,1,0.00,100.00,853.74,2545.62,143.26,2402.37,3399.36,3256.11,5.93,1102.00,1345.00,1.20,55731800
1,YCh01,orig,2f_top28,async,128,1,1,0.00,100.00,853.60,256.60,152.08,104.53,1110.20,958.13,6.02,1102.00,1345.00,1.20,55732024
1,YCh01,orig,layers_5,pread,128,1,1,0.00,100.00,923.96,580.45,143.31,437.14,1504.41,1361.10,5.97,1099.00,1325.00,1.20,55732252
1,YCh01,orig,layers_5,async,128,1,1,0.00,100.00,957.56,225.57,153.13,72.45,1183.13,1030.01,6.10,1099.00,1325.00,1.20,55725724
1,YCh01,orig,layers_92,pread,128,1,1,0.00,100.00,495.07,7967.58,184.81,7782.77,8462.65,8277.84,5.80,1098.00,1375.00,1.18,55723624
1,YCh01,orig,layers_92,async,128,1,1,0.00,100.00,494.62,386.66,186.11,200.55,881.28,695.17,5.89,1098.00,1375.00,1.18,55725396
1,YCh01,orig,baseline,baseline,128,2,0,0.00,0.00,915.49,0.00,0.00,0.00,915.49,915.49,6.09,1099.00,1323.00,1.18,55725984
1,YCh01,orig,2d,pread,128,2,0,0.00,100.00,563.22,8248.42,157.36,8091.06,8811.64,8654.28,6.06,1098.00,1375.00,1.18,55720792
1,YCh01,orig,2d,async,128,2,0,0.00,100.00,492.63,356.24,146.56,209.68,848.87,702.31,5.67,1098.00,1375.00,1.18,55729128
