workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCh01,orig,lp_sorted,pread,128,1,1,0.00,100.00,113.39,102570.78,80.72,102490.05,102684.17,102603.44,1.67,0.00,1652.00,1.09,55545276
YCh01,orig,lp_sorted,async,128,1,1,0.00,100.00,102.75,42011.09,90.41,41920.68,42113.84,42023.43,1.71,13.00,1651.00,1.09,55544080
YCh01,orig,lp_shuf,pread,128,1,1,0.00,100.00,165.68,1755708.60,91.96,1755616.64,1755874.28,1755782.32,1.87,0.00,1654.00,1.17,53961584
YCh01,orig,lp_shuf,async,128,1,1,0.00,100.00,124.61,41770.21,102.85,41667.35,41894.82,41791.96,1.78,13.00,1651.00,1.17,53359440
YCh01,orig,lp_sorted,pread,128,2,0,0.00,100.00,121.66,165738.23,107.66,165630.57,165859.89,165752.23,1.82,0.00,1652.00,1.17,52543768
YCh01,orig,lp_shuf,pread,128,2,0,0.00,100.00,141.49,1625116.79,103.47,1625013.32,1625258.28,1625154.81,1.76,0.00,1654.00,1.17,54553464
YCh01,orig,lp_sorted,pread,128,3,0,0.00,100.00,115.07,103544.30,78.50,103465.80,103659.37,103580.87,1.68,0.00,1652.00,1.17,55058380
YCh01,orig,lp_shuf,pread,128,3,0,0.00,100.00,124.78,1562578.24,85.88,1562492.36,1562703.02,1562617.14,1.90,0.00,1654.00,1.15,55088636
YCh01,orig,lp_sorted,pread,128,4,0,0.00,100.00,114.44,101107.56,78.19,101029.37,101222.00,101143.81,1.67,0.00,1652.00,1.15,55090260
YCh01,orig,lp_shuf,pread,128,4,0,0.00,100.00,131.24,1561106.02,78.70,1561027.33,1561237.26,1561158.57,1.94,0.00,1654.00,1.15,55115256
YCh01,orig,lp_sorted,pread,128,5,0,0.00,100.00,114.11,105802.21,85.75,105716.46,105916.32,105830.57,1.70,0.00,1652.00,1.15,55116356
YCh01,orig,lp_shuf,pread,128,5,0,0.00,100.00,124.24,1563222.07,83.97,1563138.10,1563346.31,1563262.34,1.89,0.00,1654.00,1.14,55146136
YCh01,orig,lp_sorted,pread,128,6,0,0.00,100.00,108.29,103167.54,86.22,103081.32,103275.83,103189.61,1.64,0.00,1652.00,1.14,55155760
YCh01,orig,lp_shuf,pread,128,6,0,0.00,100.00,122.41,1557887.90,87.08,1557800.81,1558010.31,1557923.22,1.90,0.00,1654.00,1.14,55229984
YCh01,orig,lp_sorted,pread,128,7,0,0.00,100.00,108.91,105296.31,78.52,105217.79,105405.22,105326.70,1.66,0.00,1652.00,1.14,55249204
YCh01,orig,lp_shuf,pread,128,7,0,0.00,100.00,119.19,1565027.31,86.08,1564941.23,1565146.50,1565060.42,1.86,0.00,1654.00,1.13,55312748
YCh01,orig,lp_sorted,pread,128,8,0,0.00,100.00,113.84,104369.88,79.73,104290.15,104483.72,104403.99,1.67,0.00,1652.00,1.13,55314568
YCh01,orig,lp_shuf,pread,128,8,0,0.00,100.00,127.46,1560572.01,84.74,1560487.27,1560699.47,1560614.73,1.90,0.00,1654.00,1.13,55363648
YCh01,orig,lp_sorted,pread,128,9,0,0.00,100.00,107.37,101219.87,85.28,101134.59,101327.24,101241.96,1.67,0.00,1652.00,1.13,55375880
YCh01,orig,lp_shuf,pread,128,9,0,0.00,100.00,120.80,1566721.00,79.63,1566641.37,1566841.80,1566762.17,1.92,0.00,1654.00,1.13,55418892
YCh01,orig,lp_sorted,pread,128,10,0,0.00,100.00,111.08,105104.15,78.97,105025.18,105215.23,105136.26,1.69,0.00,1652.00,1.13,55419024
YCh01,orig,lp_shuf,pread,128,10,0,0.00,100.00,127.29,1562930.59,78.85,1562851.75,1563057.88,1562979.04,1.90,0.00,1654.00,1.12,55471568
YCh01,orig,lp_sorted,pread,128,11,0,0.00,100.00,100.84,106252.68,85.54,106167.14,106353.52,106267.98,1.78,0.00,1652.00,1.12,55484572
YCh01,orig,lp_shuf,pread,128,11,0,0.00,100.00,129.21,1559923.81,84.32,1559839.50,1560053.02,1559968.71,1.89,0.00,1654.00,1.12,55511756
