workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YCh01,orig,2d,async,10,128,554.46,561.30,489.77,20.01,100.0,345.09,141.96,201.44,898.84,753.77,0.0
YCh01,orig,2d,pread,10,128,556.00,561.64,548.28,4.16,100.0,8093.66,142.75,7947.81,8646.52,8500.03,0.0
YCh01,orig,2e_K10,async,10,128,551.85,572.61,548.63,9.42,100.0,359.42,140.67,218.00,912.27,773.12,0.0
YCh01,orig,2e_K10,pread,10,128,551.67,561.82,490.30,19.64,100.0,8969.95,143.17,8827.08,9521.90,9379.76,0.0
YCh01,orig,2e_K500,async,10,128,551.80,709.34,547.67,84.27,100.0,1169.57,142.21,1027.36,1726.12,1583.18,0.0
YCh01,orig,2e_K500,pread,10,128,555.32,718.99,550.07,85.95,100.0,54825.21,141.74,54683.46,55383.67,55241.93,0.0
YCh01,orig,2f_slru,async,10,128,104.25,128.30,101.43,13.01,100.0,42292.49,141.72,42150.00,42395.92,42253.43,0.0
YCh01,orig,2f_slru,pread,10,128,110.20,135.93,108.02,12.80,100.0,102736.20,141.76,102591.07,102849.11,102703.99,0.0
YCh01,orig,2f_top14,async,10,128,556.33,624.19,541.72,28.72,100.0,226.74,141.82,85.52,784.66,642.50,0.0
YCh01,orig,2f_top14,pread,10,128,555.00,618.08,549.82,33.70,100.0,1386.61,142.44,1245.26,1941.06,1798.86,0.0
YCh01,orig,2f_top28,async,10,128,550.91,603.53,546.45,26.50,100.0,246.10,140.92,104.67,800.66,656.08,0.0
YCh01,orig,2f_top28,pread,10,128,552.18,592.94,548.38,20.96,100.0,2525.41,141.47,2383.97,3075.93,2934.47,0.0
YCh01,orig,baseline,baseline,10,128,1062.85,1068.71,933.26,53.74,0.0,0.00,0.00,0.00,1062.85,1062.85,0.0
YCh01,orig,layers_5,async,10,128,1027.58,1033.35,961.52,31.19,100.0,211.87,141.53,70.49,1235.50,1097.44,0.0
YCh01,orig,layers_5,pread,10,128,1030.34,1041.48,900.22,46.30,100.0,577.87,141.64,437.23,1611.47,1470.41,0.0
YCh01,orig,layers_92,async,10,128,551.93,556.38,547.66,3.21,100.0,348.52,141.28,209.16,899.92,760.99,0.0
YCh01,orig,layers_92,pread,10,128,549.85,556.05,486.86,25.37,100.0,8125.71,141.37,7988.10,8646.62,8508.65,0.0
