workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCh01,orig,learned_markov_14,pread,128,1,1,0.00,100.00,799.90,1325.08,79.62,1245.46,2124.98,2045.36,6.15,1126.00,1242.00,1.08,55683304
YCh01,orig,learned_markov_14,async,128,1,1,0.00,100.00,794.46,178.37,89.52,88.85,972.83,883.31,6.17,1126.00,1242.00,1.08,55683652
YCh01,orig,learned_markov_28,pread,128,1,1,0.00,100.00,794.88,2385.43,80.48,2304.95,3180.31,3099.83,5.89,1124.00,1254.00,1.08,55709988
YCh01,orig,learned_markov_28,async,128,1,1,0.00,100.00,787.84,185.48,81.22,104.26,973.32,892.10,5.93,1124.00,1254.00,1.08,55692120
YCh01,orig,learned_markov_14,pread,128,2,0,0.00,100.00,803.76,1333.59,81.70,1251.88,2137.35,2055.64,6.19,1126.00,1242.00,1.08,55701332
YCh01,orig,learned_markov_14,async,128,2,0,0.00,100.00,796.31,165.91,79.23,86.68,962.22,882.99,5.99,1126.00,1242.00,1.08,55702172
YCh01,orig,learned_markov_28,pread,128,2,0,0.00,100.00,794.64,2396.74,90.45,2306.28,3191.38,3100.92,6.06,1124.00,1254.00,1.08,55705848
YCh01,orig,learned_markov_28,async,128,2,0,0.00,100.00,791.48,187.89,83.71,104.19,979.37,895.67,6.14,1124.00,1254.00,1.08,55704816
YCh01,orig,learned_markov_14,pread,128,3,0,0.00,100.00,797.88,1330.39,78.87,1251.52,2128.27,2049.40,6.15,1126.00,1242.00,1.08,55705192
YCh01,orig,learned_markov_14,async,128,3,0,0.00,100.00,801.05,172.84,87.47,85.38,973.89,886.43,6.16,1126.00,1242.00,1.08,55706608
YCh01,orig,learned_markov_28,pread,128,3,0,0.00,100.00,793.48,2462.19,85.52,2376.67,3255.67,3170.15,6.16,1124.00,1254.00,1.08,55709188
YCh01,orig,learned_markov_28,async,128,3,0,0.00,100.00,793.73,194.38,83.22,111.17,988.11,904.90,5.73,1124.00,1254.00,1.07,55700704
YCh01,orig,learned_markov_14,pread,128,4,0,0.00,100.00,728.62,1327.08,83.56,1243.53,2055.70,1972.15,5.70,1126.00,1242.00,1.07,55701492
YCh01,orig,learned_markov_14,async,128,4,0,0.00,100.00,790.14,172.03,85.44,86.59,962.17,876.73,5.86,1126.00,1242.00,1.07,55701492
YCh01,orig,learned_markov_28,pread,128,4,0,0.00,100.00,793.44,2376.61,86.30,2290.30,3170.05,3083.74,5.99,1124.00,1254.00,1.07,55701636
YCh01,orig,learned_markov_28,async,128,4,0,0.00,100.00,797.94,187.10,84.11,102.99,985.04,900.93,6.12,1124.00,1254.00,1.07,55697792
YCh01,orig,learned_markov_14,pread,128,5,0,0.00,100.00,794.38,1299.14,77.94,1221.20,2093.52,2015.58,6.10,1126.00,1242.00,1.07,55704092
YCh01,orig,learned_markov_14,async,128,5,0,0.00,100.00,795.40,164.19,77.77,86.42,959.59,881.82,6.09,1126.00,1242.00,1.07,55703988
YCh01,orig,learned_markov_28,pread,128,5,0,0.00,100.00,794.24,2391.61,86.63,2304.97,3185.85,3099.21,5.87,1124.00,1254.00,1.07,55704532
YCh01,orig,learned_markov_28,async,128,5,0,0.00,100.00,801.59,193.13,85.65,107.48,994.72,909.07,6.02,1124.00,1254.00,1.06,55705936
YCh01,orig,learned_markov_14,pread,128,6,0,0.00,100.00,781.59,1313.98,85.91,1228.07,2095.57,2009.66,6.05,1126.00,1242.00,1.06,55707092
