workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCh01,orig,baseline,baseline,128,1,1,0.00,0.00,834.12,0.00,0.00,0.00,834.12,834.12,5.64,1092.00,1253.00,1.05,55719608
YCh01,orig,2d,pread,128,1,1,0.00,100.00,385.62,8010.33,143.59,7866.74,8395.95,8252.36,6.01,1099.00,1285.00,1.05,55705596
YCh01,orig,2d,async,128,1,1,0.00,100.00,405.03,348.06,142.60,205.46,753.09,610.49,6.02,1099.00,1286.00,1.05,55703736
YCh01,orig,2e_K10,pread,128,1,1,0.00,100.00,430.67,8984.98,183.78,8801.20,9415.65,9231.87,5.99,1098.00,1289.00,1.05,55704052
YCh01,orig,2e_K10,async,128,1,1,0.00,100.00,436.16,404.93,183.59,221.34,841.09,657.50,6.13,1098.00,1288.00,1.05,55704876
YCh01,orig,2e_K500,pread,128,1,1,0.00,100.00,434.14,54399.67,243.04,54156.63,54833.81,54590.77,5.66,1087.00,1486.00,1.05,55709496
YCh01,orig,2e_K500,async,128,1,1,0.00,100.00,428.95,1197.62,185.76,1011.86,1626.57,1440.81,5.98,1099.00,1437.00,1.05,55696272
YCh01,orig,2f_slru,pread,128,1,1,0.00,100.00,112.20,104733.86,185.61,104548.25,104846.06,104660.45,1.67,0.00,1653.00,1.05,55696244
YCh01,orig,2f_slru,async,128,1,1,0.00,100.00,113.06,42093.81,180.91,41912.90,42206.87,42025.96,1.72,12.00,1652.00,1.05,55692316
YCh01,orig,2f_top14,pread,128,1,1,0.00,100.00,390.12,1411.92,140.38,1271.54,1802.04,1661.66,5.83,1098.00,1258.00,1.04,55698288
YCh01,orig,2f_top14,async,128,1,1,0.00,100.00,394.30,224.29,140.16,84.13,618.59,478.43,5.96,1098.00,1258.00,1.04,55699968
YCh01,orig,2f_top28,pread,128,1,1,0.00,100.00,494.04,2543.32,182.86,2360.46,3037.36,2854.50,6.05,1096.00,1267.00,1.04,55699624
YCh01,orig,2f_top28,async,128,1,1,0.00,100.00,430.24,291.64,183.76,107.87,721.88,538.11,6.05,1096.00,1267.00,1.04,55698180
YCh01,orig,layers_5,pread,128,1,1,0.00,100.00,849.59,626.84,185.60,441.24,1476.43,1290.83,6.10,1092.00,1255.00,1.04,55698928
YCh01,orig,layers_5,async,128,1,1,0.00,100.00,816.71,273.76,181.98,91.78,1090.47,908.49,6.06,1092.00,1255.00,1.04,55700612
YCh01,orig,layers_92,pread,128,1,1,0.00,100.00,425.30,8169.68,181.65,7988.02,8594.98,8413.32,5.66,1099.00,1286.00,1.04,55699932
YCh01,orig,layers_92,async,128,1,1,0.00,100.00,426.09,398.65,186.38,212.27,824.74,638.36,5.88,1099.00,1285.00,1.04,55705180
YCh01,orig,baseline,baseline,128,2,0,0.00,0.00,909.98,0.00,0.00,0.00,909.98,909.98,6.03,1092.00,1253.00,1.04,55707292
YCh01,orig,2d,pread,128,2,0,0.00,100.00,472.11,8156.92,184.09,7972.84,8629.03,8444.95,6.11,1099.00,1286.00,1.04,55709240
YCh01,orig,2d,async,128,2,0,0.00,100.00,391.47,384.84,182.08,202.76,776.31,594.23,5.73,1099.00,1286.00,1.04,55714244
YCh01,orig,2e_K10,pread,128,2,0,0.00,100.00,388.95,8899.04,172.14,8726.90,9287.99,9115.85,5.84,1098.00,1288.00,1.04,55713296
YCh01,orig,2e_K10,async,128,2,0,0.00,100.00,426.55,385.32,173.18,212.15,811.87,638.70,6.03,1098.00,1288.00,1.04,55714468
YCh01,orig,2e_K500,pread,128,2,0,0.00,100.00,433.69,54547.78,174.21,54373.57,54981.47,54807.26,5.97,1087.00,1486.00,1.04,55716564
YCh01,orig,2e_K500,async,128,2,0,0.00,100.00,489.78,1198.67,173.24,1025.44,1688.45,1515.22,5.83,1099.00,1440.00,1.04,55717368
YCh01,orig,2f_slru,pread,128,2,0,0.00,100.00,112.31,104772.13,173.69,104598.45,104884.44,104710.76,1.66,0.00,1653.00,1.04,55717052
