workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCh01,orig,baseline,baseline,128,1,1,0.00,0.00,859.00,0.00,0.00,0.00,859.00,859.00,5.96,1117.00,1214.00,1.23,55698332
YCh01,orig,2d,pread,128,1,1,0.00,100.00,467.35,8085.23,152.24,7932.99,8552.58,8400.34,6.09,1123.00,1260.00,1.23,55699568
YCh01,orig,2d,async,128,1,1,0.00,100.00,451.85,358.19,155.32,202.87,810.04,654.72,6.12,1124.00,1258.00,1.23,55699720
YCh01,orig,2e_K10,pread,128,1,1,0.00,100.00,490.00,9008.91,154.68,8854.22,9498.91,9344.22,5.95,1123.00,1263.00,1.23,55700208
YCh01,orig,2e_K10,async,128,1,1,0.00,100.00,464.75,374.10,157.56,216.55,838.85,681.30,5.86,1124.00,1261.00,1.21,55701016
YCh01,orig,2e_K500,pread,128,1,1,0.00,100.00,492.97,54411.72,153.91,54257.81,54904.69,54750.78,5.92,1104.00,1440.00,1.21,55701872
YCh01,orig,2e_K500,async,128,1,1,0.00,100.00,500.28,1115.62,141.31,974.31,1615.90,1474.59,5.95,1112.00,1406.00,1.21,55705352
YCh01,orig,2f_slru,pread,128,1,1,0.00,100.00,114.72,105124.34,152.12,104972.22,105239.06,105086.94,1.68,0.00,1653.00,1.21,55705676
YCh01,orig,2f_slru,async,128,1,1,0.00,100.00,103.09,42149.23,155.80,41993.43,42252.32,42096.52,1.71,9.00,1650.00,1.21,55703000
YCh01,orig,2f_top14,pread,128,1,1,0.00,100.00,462.18,1398.57,150.79,1247.78,1860.75,1709.96,5.80,1119.00,1220.00,1.21,55707148
YCh01,orig,2f_top14,async,128,1,1,0.00,100.00,493.41,244.78,154.78,90.00,738.19,583.41,6.11,1119.00,1220.00,1.21,55707552
YCh01,orig,2f_top28,pread,128,1,1,0.00,100.00,490.88,2456.85,150.94,2305.91,2947.73,2796.79,5.83,1119.00,1240.00,1.21,55710920
YCh01,orig,2f_top28,async,128,1,1,0.00,100.00,462.85,260.64,153.89,106.75,723.49,569.60,6.03,1119.00,1241.00,1.21,55712992
YCh01,orig,layers_5,pread,128,1,1,0.00,100.00,820.11,577.10,139.28,437.81,1397.21,1257.92,6.02,1116.00,1214.00,1.19,55716452
YCh01,orig,layers_5,async,128,1,1,0.00,100.00,846.10,210.40,139.27,71.12,1056.50,917.22,6.06,1116.00,1213.00,1.19,55716780
YCh01,orig,layers_92,pread,128,1,1,0.00,100.00,469.93,8106.96,152.59,7954.37,8576.89,8424.30,6.16,1123.00,1261.00,1.19,55711480
YCh01,orig,layers_92,async,128,1,1,0.00,100.00,466.93,357.28,153.26,204.02,824.21,670.95,6.12,1124.00,1258.00,1.19,55724392
YCh01,orig,baseline,baseline,128,2,0,0.00,0.00,887.66,0.00,0.00,0.00,887.66,887.66,5.89,1117.00,1214.00,1.19,55726364
YCh01,orig,2d,pread,128,2,0,0.00,100.00,491.05,8094.74,143.51,7951.23,8585.79,8442.28,6.10,1123.00,1261.00,1.19,55728420
YCh01,orig,2d,async,128,2,0,0.00,100.00,491.79,342.50,144.14,198.36,834.29,690.15,6.11,1124.00,1257.00,1.19,55728352
YCh01,orig,2e_K10,pread,128,2,0,0.00,100.00,463.17,8979.80,141.25,8838.55,9442.97,9301.72,5.85,1123.00,1264.00,1.19,55730320
YCh01,orig,2e_K10,async,128,2,0,0.00,100.00,470.44,358.73,141.43,217.31,829.17,687.75,6.10,1124.00,1262.00,1.17,55729960
YCh01,orig,2e_K500,pread,128,2,0,0.00,100.00,499.32,54843.31,144.12,54699.19,55342.63,55198.51,5.99,1104.00,1444.00,1.17,55730440
YCh01,orig,2e_K500,async,128,2,0,0.00,100.00,490.92,1138.60,140.34,998.26,1629.52,1489.18,5.85,1112.00,1406.00,1.17,55732096
YCh01,orig,2f_slru,pread,128,2,0,0.00,100.00,109.79,113960.20,141.69,113818.51,114069.99,113928.30,1.65,0.00,1653.00,1.17,55731152
YCh01,orig,2f_slru,async,128,2,0,0.00,100.00,101.73,42174.88,147.94,42026.94,42276.61,42128.67,1.68,9.00,1650.00,1.17,55728492
YCh01,orig,2f_top14,pread,128,2,0,0.00,100.00,450.82,1425.57,132.97,1292.60,1876.39,1743.42,6.12,1119.00,1220.00,1.17,55731080
YCh01,orig,2f_top14,async,128,2,0,0.00,100.00,644.64,224.58,141.36,83.23,869.22,727.87,5.82,1119.00,1220.00,1.17,55731640
YCh01,orig,2f_top28,pread,128,2,0,0.00,100.00,499.75,2440.97,140.75,2300.21,2940.72,2799.96,5.98,1119.00,1240.00,1.17,55731388
YCh01,orig,2f_top28,async,128,2,0,0.00,100.00,511.69,243.68,141.00,102.67,755.37,614.36,5.97,1119.00,1240.00,1.17,55732628
YCh01,orig,layers_5,pread,128,2,0,0.00,100.00,844.36,626.67,141.02,485.65,1471.03,1330.01,6.07,1116.00,1214.00,1.16,55734860
YCh01,orig,layers_5,async,128,2,0,0.00,100.00,909.96,217.74,146.41,71.33,1127.70,981.29,5.97,1116.00,1213.00,1.16,55738940
YCh01,orig,layers_92,pread,128,2,0,0.00,100.00,489.90,8186.24,144.59,8041.65,8676.14,8531.55,6.09,1123.00,1261.00,1.16,55740648
YCh01,orig,layers_92,async,128,2,0,0.00,100.00,493.40,349.19,147.97,201.22,842.59,694.62,6.07,1124.00,1257.00,1.16,55741728
YCh01,orig,baseline,baseline,128,3,0,0.00,0.00,886.48,0.00,0.00,0.00,886.48,886.48,6.02,1117.00,1214.00,1.16,55735868
YCh01,orig,2d,pread,128,3,0,0.00,100.00,452.87,8185.31,142.00,8043.31,8638.18,8496.18,6.10,1123.00,1259.00,1.16,55742296
YCh01,orig,2d,async,128,3,0,0.00,100.00,496.89,414.62,142.52,272.10,911.51,768.99,6.13,1124.00,1258.00,1.16,55743328
YCh01,orig,2e_K10,pread,128,3,0,0.00,100.00,467.54,8988.32,140.21,8848.10,9455.86,9315.64,5.99,1123.00,1264.00,1.16,55743888
YCh01,orig,2e_K10,async,128,3,0,0.00,100.00,493.78,361.25,142.52,218.73,855.03,712.51,6.08,1124.00,1261.00,1.16,55742932
YCh01,orig,2e_K500,pread,128,3,0,0.00,100.00,496.77,54527.89,142.55,54385.34,55024.66,54882.11,5.79,1104.00,1439.00,1.15,55743516
YCh01,orig,2e_K500,async,128,3,0,0.00,100.00,496.02,1127.42,142.16,985.26,1623.44,1481.28,6.01,1112.00,1410.00,1.15,55745060
