seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
1,YCh01,orig,2d,async,10,128,498.63,565.25,477.67,29.72,100.0,348.49,146.82,200.70,847.67,700.67,0.0
1,YCh01,orig,2d,pread,10,128,515.48,565.02,496.36,28.79,100.0,8227.44,151.38,8082.35,8754.05,8607.36,0.0
1,YCh01,orig,2e_K10,async,10,128,501.81,570.90,473.47,31.05,100.0,370.74,148.17,219.25,871.79,730.42,0.0
1,YCh01,orig,2e_K10,pread,10,128,502.26,569.21,491.64,29.91,100.0,9014.64,151.37,8861.42,9516.90,9363.69,0.0
1,YCh01,orig,2e_K500,async,10,128,485.88,550.61,467.34,33.50,100.0,1173.54,152.51,1015.29,1690.61,1525.82,0.0
1,YCh01,orig,2e_K500,pread,10,128,588.59,601.02,465.15,48.73,100.0,55201.42,148.96,55054.18,55708.83,55561.58,0.0
1,YCh01,orig,2f_slru,async,10,128,104.16,131.91,100.48,14.51,100.0,42029.49,150.97,41879.56,42132.84,41983.11,0.0
1,YCh01,orig,2f_slru,pread,10,128,114.83,127.10,106.92,6.78,100.0,104103.45,152.12,103954.96,104220.80,104072.32,0.0
1,YCh01,orig,2f_top14,async,10,128,944.11,996.79,859.87,46.54,100.0,237.66,151.37,86.09,1178.55,1027.68,0.0
1,YCh01,orig,2f_top14,pread,10,128,940.76,1002.23,859.54,42.24,100.0,1422.16,149.16,1274.46,2371.24,2218.93,0.0
1,YCh01,orig,2f_top28,async,10,128,855.92,947.87,827.31,39.39,100.0,253.38,150.53,103.89,1122.81,961.95,0.0
1,YCh01,orig,2f_top28,pread,10,128,895.53,1544.66,853.23,331.99,100.0,2567.47,147.78,2422.24,3458.93,3310.28,0.0
1,YCh01,orig,baseline,baseline,10,128,905.81,962.37,887.16,28.40,0.0,0.00,0.00,0.00,905.81,905.81,0.0
1,YCh01,orig,layers_5,async,10,128,854.47,978.73,801.89,54.84,100.0,216.99,147.03,70.26,1072.45,925.11,0.0
1,YCh01,orig,layers_5,pread,10,128,882.67,1021.53,820.35,68.56,100.0,589.20,151.63,438.31,1474.76,1323.53,0.0
1,YCh01,orig,layers_92,async,10,128,537.03,567.14,495.64,26.54,100.0,382.77,180.61,201.09,917.39,735.81,0.0
1,YCh01,orig,layers_92,pread,10,128,501.81,558.40,474.51,28.01,100.0,8170.93,181.49,7988.49,8669.93,8491.81,0.0
1,YCh01,orig,lp_shuf,pread,10,128,126.03,136.88,119.19,6.05,100.0,1562754.42,84.53,1562672.06,1562880.45,1562798.09,0.0
1,YCh01,orig,lp_sorted,pread,10,128,112.46,118.69,100.84,5.34,100.0,104737.01,82.50,104657.66,104849.48,104770.12,0.0
1,YCh01,orig,learned_markov_14,async,10,128,887.38,973.96,845.90,42.42,100.0,163.43,78.88,84.56,1050.76,972.43,0.0
1,YCh01,orig,learned_markov_14,pread,10,128,884.70,986.49,814.14,54.17,100.0,1326.50,84.47,1245.76,2205.64,2123.44,0.0
1,YCh01,orig,learned_markov_28,async,10,128,938.62,1027.54,851.06,58.98,100.0,186.83,82.31,104.84,1125.44,1043.80,0.0
1,YCh01,orig,learned_markov_28,pread,10,128,902.23,1021.59,845.86,55.48,100.0,2503.99,84.68,2418.36,3403.39,3322.11,0.0
2,YCh01,orig,2d,async,10,128,554.46,561.30,489.77,20.01,100.0,345.09,141.96,201.44,898.84,753.77,0.0
2,YCh01,orig,2d,pread,10,128,556.00,561.64,548.28,4.16,100.0,8093.66,142.75,7947.81,8646.52,8500.03,0.0
2,YCh01,orig,2e_K10,async,10,128,551.85,572.61,548.63,9.42,100.0,359.42,140.67,218.00,912.27,773.12,0.0
2,YCh01,orig,2e_K10,pread,10,128,551.67,561.82,490.30,19.64,100.0,8969.95,143.17,8827.08,9521.90,9379.76,0.0
2,YCh01,orig,2e_K500,async,10,128,551.80,709.34,547.67,84.27,100.0,1169.57,142.21,1027.36,1726.12,1583.18,0.0
2,YCh01,orig,2e_K500,pread,10,128,555.32,718.99,550.07,85.95,100.0,54825.21,141.74,54683.46,55383.67,55241.93,0.0
2,YCh01,orig,2f_slru,async,10,128,104.25,128.30,101.43,13.01,100.0,42292.49,141.72,42150.00,42395.92,42253.43,0.0
2,YCh01,orig,2f_slru,pread,10,128,110.20,135.93,108.02,12.80,100.0,102736.20,141.76,102591.07,102849.11,102703.99,0.0
2,YCh01,orig,2f_top14,async,10,128,556.33,624.19,541.72,28.72,100.0,226.74,141.82,85.52,784.66,642.50,0.0
2,YCh01,orig,2f_top14,pread,10,128,555.00,618.08,549.82,33.70,100.0,1386.61,142.44,1245.26,1941.06,1798.86,0.0
2,YCh01,orig,2f_top28,async,10,128,550.91,603.53,546.45,26.50,100.0,246.10,140.92,104.67,800.66,656.08,0.0
2,YCh01,orig,2f_top28,pread,10,128,552.18,592.94,548.38,20.96,100.0,2525.41,141.47,2383.97,3075.93,2934.47,0.0
2,YCh01,orig,baseline,baseline,10,128,1062.85,1068.71,933.26,53.74,0.0,0.00,0.00,0.00,1062.85,1062.85,0.0
2,YCh01,orig,layers_5,async,10,128,1027.58,1033.35,961.52,31.19,100.0,211.87,141.53,70.49,1235.50,1097.44,0.0
2,YCh01,orig,layers_5,pread,10,128,1030.34,1041.48,900.22,46.30,100.0,577.87,141.64,437.23,1611.47,1470.41,0.0
2,YCh01,orig,layers_92,async,10,128,551.93,556.38,547.66,3.21,100.0,348.52,141.28,209.16,899.92,760.99,0.0
2,YCh01,orig,layers_92,pread,10,128,549.85,556.05,486.86,25.37,100.0,8125.71,141.37,7988.10,8646.62,8508.65,0.0
2,YCh01,orig,lp_shuf,pread,10,128,122.50,126.09,119.12,2.23,100.0,1563488.14,85.45,1563402.31,1563610.89,1563525.07,0.0
2,YCh01,orig,lp_sorted,pread,10,128,113.27,120.92,106.75,4.05,100.0,103102.99,85.57,103016.60,103214.85,103128.47,0.0
2,YCh01,orig,learned_markov_14,async,10,128,551.41,553.87,488.01,24.56,100.0,165.42,80.87,84.00,716.90,634.67,0.0
2,YCh01,orig,learned_markov_14,pread,10,128,552.59,658.06,549.18,57.23,100.0,1362.09,117.07,1247.67,1916.99,1814.36,0.0
2,YCh01,orig,learned_markov_28,async,10,128,551.43,557.99,548.14,3.49,100.0,189.47,85.02,104.59,741.33,657.15,0.0
2,YCh01,orig,learned_markov_28,pread,10,128,551.77,561.98,491.62,19.24,100.0,2459.13,89.47,2356.02,3000.22,2897.96,0.0
3,YCh01,orig,2d,async,10,128,579.61,643.80,551.49,30.86,100.0,381.79,177.89,202.37,961.42,783.90,0.0
3,YCh01,orig,2d,pread,10,128,601.39,607.16,539.01,25.59,100.0,8127.75,177.28,7950.15,8705.06,8527.34,0.0
3,YCh01,orig,2e_K10,async,10,128,581.88,627.51,541.40,29.16,100.0,392.19,175.98,215.62,970.73,797.09,0.0
3,YCh01,orig,2e_K10,pread,10,128,582.15,611.80,544.21,18.37,100.0,9004.52,178.14,8825.78,9603.67,9422.17,0.0
3,YCh01,orig,2e_K500,async,10,128,604.10,646.17,601.50,21.27,100.0,1202.97,177.11,1022.59,1805.56,1626.56,0.0
3,YCh01,orig,2e_K500,pread,10,128,635.03,951.78,598.09,167.01,100.0,54652.58,178.31,54476.07,55325.00,55146.93,0.0
3,YCh01,orig,2f_slru,async,10,128,104.87,116.73,100.17,6.09,100.0,42228.40,178.58,42046.23,42343.04,42160.87,0.0
3,YCh01,orig,2f_slru,pread,10,128,116.61,118.73,106.72,3.90,100.0,103249.21,179.31,103071.76,103364.14,103186.69,0.0
3,YCh01,orig,2f_top14,async,10,128,981.89,988.12,864.27,35.77,100.0,262.74,177.18,84.70,1244.72,1067.88,0.0
3,YCh01,orig,2f_top14,pread,10,128,990.65,1063.15,887.92,51.22,100.0,1430.14,177.36,1254.01,2440.22,2262.90,0.0
3,YCh01,orig,2f_top28,async,10,128,611.48,693.50,534.62,45.49,100.0,283.43,176.98,106.17,898.01,717.97,0.0
3,YCh01,orig,2f_top28,pread,10,128,592.12,610.14,508.78,29.50,100.0,2454.29,177.60,2276.63,3062.02,2881.51,0.0
3,YCh01,orig,baseline,baseline,10,128,980.13,1030.34,912.62,35.54,0.0,0.00,0.00,0.00,980.13,980.13,0.0
3,YCh01,orig,layers_5,async,10,128,983.51,988.46,879.42,47.22,100.0,246.42,176.31,70.00,1228.57,1053.92,0.0
3,YCh01,orig,layers_5,pread,10,128,967.13,1298.60,888.08,168.55,100.0,613.95,177.00,437.34,1580.82,1404.60,0.0
3,YCh01,orig,layers_92,async,10,128,590.94,629.32,573.19,22.23,100.0,382.26,177.12,204.03,976.81,800.34,0.0
3,YCh01,orig,layers_92,pread,10,128,604.86,609.10,549.62,22.21,100.0,8170.08,177.15,7990.06,8754.92,8578.16,0.0
3,YCh01,orig,lp_shuf,pread,10,128,123.91,131.79,108.26,7.57,100.0,1561574.38,83.72,1561492.99,1561697.38,1561615.99,0.0
3,YCh01,orig,lp_sorted,pread,10,128,110.86,117.10,99.30,5.46,100.0,103296.55,84.90,103207.62,103408.41,103324.67,0.0
3,YCh01,orig,learned_markov_14,async,10,128,987.37,1860.71,887.91,468.88,100.0,171.42,86.40,84.50,1159.60,1072.65,0.0
3,YCh01,orig,learned_markov_14,pread,10,128,956.32,989.52,856.20,38.54,100.0,1278.64,86.02,1192.37,2249.60,2162.48,0.0
3,YCh01,orig,learned_markov_28,async,10,128,601.48,675.21,544.48,48.28,100.0,189.78,84.97,105.18,790.44,704.76,0.0
3,YCh01,orig,learned_markov_28,pread,10,128,575.86,602.83,509.77,27.29,100.0,2433.48,86.47,2344.58,3001.82,2913.73,0.0
4,YCh01,orig,2d,async,10,128,575.57,597.96,463.06,42.88,100.0,350.81,146.69,204.44,922.88,777.26,0.0
4,YCh01,orig,2d,pread,10,128,541.94,588.43,487.87,34.91,100.0,8139.23,144.76,7992.73,8676.47,8532.23,0.0
4,YCh01,orig,2e_K10,async,10,128,527.87,583.05,463.24,36.87,100.0,363.28,142.66,220.67,892.28,744.65,0.0
4,YCh01,orig,2e_K10,pread,10,128,530.96,994.40,468.56,242.13,100.0,9017.30,148.67,8868.48,9526.58,9380.66,0.0
4,YCh01,orig,2e_K500,async,10,128,366.50,409.71,356.42,18.49,100.0,1220.12,144.50,1076.91,1580.65,1435.80,0.0
4,YCh01,orig,2e_K500,pread,10,128,396.62,420.76,390.95,10.34,100.0,54761.75,142.75,54616.57,55182.40,55037.22,0.0
4,YCh01,orig,2f_slru,async,10,128,106.77,110.22,102.15,2.34,100.0,42335.75,143.44,42193.19,42441.63,42299.07,0.0
4,YCh01,orig,2f_slru,pread,10,128,111.35,114.13,107.09,2.35,100.0,104454.24,143.51,104308.76,104565.30,104419.82,0.0
4,YCh01,orig,2f_top14,async,10,128,781.77,877.76,757.80,42.37,100.0,227.29,143.10,84.10,1007.63,864.73,0.0
4,YCh01,orig,2f_top14,pread,10,128,836.34,918.74,753.82,58.81,100.0,1423.70,147.67,1276.96,2265.68,2117.30,0.0
4,YCh01,orig,2f_top28,async,10,128,819.92,874.96,742.18,48.02,100.0,249.03,143.58,105.37,1070.53,925.29,0.0
4,YCh01,orig,2f_top28,pread,10,128,822.07,874.76,753.10,40.42,100.0,2494.39,142.99,2347.47,3336.68,3190.93,0.0
4,YCh01,orig,baseline,baseline,10,128,834.35,928.99,756.17,59.90,0.0,0.00,0.00,0.00,834.35,834.35,0.0
4,YCh01,orig,layers_5,async,10,128,801.16,829.89,754.60,26.17,100.0,216.25,145.22,70.57,1018.03,871.72,0.0
4,YCh01,orig,layers_5,pread,10,128,839.24,886.98,811.97,25.65,100.0,586.68,143.94,443.46,1428.95,1284.93,0.0
