workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCu,orig,baseline,baseline,128,1,1,0.00,0.00,712.06,0.00,0.00,0.00,712.06,712.06,6.33,1149.00,1444.00,1.29,55723284
YCu,orig,2d,pread,128,1,1,0.00,100.00,424.69,8138.62,186.86,7951.76,8563.31,8376.45,6.18,1140.00,1523.00,1.29,55725388
YCu,orig,2d,async,128,1,1,0.00,100.00,468.56,381.99,183.56,198.43,850.55,666.99,6.44,1144.00,1519.00,1.29,55728116
YCu,orig,2e_K10,pread,128,1,1,0.00,100.00,418.28,9003.70,119.05,8884.65,9421.98,9302.93,6.00,1140.00,1524.00,1.26,55729232
YCu,orig,2e_K10,async,128,1,1,0.00,100.00,416.29,399.22,183.35,215.87,815.51,632.16,6.16,1144.00,1521.00,1.26,55728848
YCu,orig,2e_K500,pread,128,1,1,0.00,100.00,437.88,52819.96,184.83,52635.13,53257.84,53073.01,6.23,1134.00,1609.00,1.26,55729928
YCu,orig,2e_K500,async,128,1,1,0.00,100.00,464.34,1215.58,186.13,1029.44,1679.92,1493.78,6.21,1145.00,1579.00,1.26,55730084
YCu,orig,2f_slru,pread,128,1,1,0.00,100.00,107.77,103839.44,180.06,103659.38,103947.21,103767.15,1.86,0.00,1652.00,1.26,55730016
YCu,orig,2f_slru,async,128,1,1,0.00,100.00,106.59,42509.30,152.24,42357.06,42615.89,42463.65,1.88,0.00,1652.00,1.26,55724736
YCu,orig,2f_top14,pread,128,1,1,0.00,100.00,699.89,1359.23,64.83,1294.40,2059.12,1994.29,6.19,1148.00,1464.00,1.26,55730788
YCu,orig,2f_top14,async,128,1,1,0.00,100.00,719.29,237.80,154.00,83.80,957.09,803.09,6.16,1148.00,1464.00,1.26,55732168
YCu,orig,2f_top28,pread,128,1,1,0.00,100.00,689.65,2504.52,63.46,2441.06,3194.17,3130.71,6.26,1148.00,1480.00,1.26,55733668
YCu,orig,2f_top28,async,128,1,1,0.00,100.00,727.50,286.50,183.57,102.92,1014.00,830.42,6.22,1148.00,1480.00,1.24,55734580
YCu,orig,layers_5,pread,128,1,1,0.00,100.00,753.65,590.34,152.60,437.74,1343.99,1191.39,6.31,1150.00,1445.00,1.24,55733900
YCu,orig,layers_5,async,128,1,1,0.00,100.00,727.24,223.47,153.27,70.20,950.71,797.44,6.01,1151.00,1444.00,1.24,55734736
YCu,orig,layers_92,pread,128,1,1,0.00,100.00,416.71,8048.70,65.91,7982.79,8465.41,8399.50,6.23,1140.00,1522.00,1.24,55734188
YCu,orig,layers_92,async,128,1,1,0.00,100.00,427.30,355.68,153.05,202.63,782.98,629.93,6.30,1144.00,1518.00,1.24,55733776
YCu,orig,baseline,baseline,128,2,0,0.00,0.00,829.95,0.00,0.00,0.00,829.95,829.95,6.44,1149.00,1444.00,1.24,55730608
YCu,orig,2d,pread,128,2,0,0.00,100.00,418.64,8115.81,153.86,7961.95,8534.45,8380.59,5.95,1140.00,1523.00,1.24,55731264
YCu,orig,2d,async,128,2,0,0.00,100.00,430.48,351.60,144.82,206.78,782.08,637.26,6.35,1144.00,1520.00,1.24,55731384
YCu,orig,2e_K10,pread,128,2,0,0.00,100.00,469.12,9083.01,139.70,8943.31,9552.13,9412.43,6.39,1140.00,1525.00,1.30,55730784
YCu,orig,2e_K10,async,128,2,0,0.00,100.00,419.52,355.42,139.81,215.61,774.94,635.13,5.93,1144.00,1519.00,1.30,55732016
YCu,orig,2e_K500,pread,128,2,0,0.00,100.00,429.93,52578.27,139.68,52438.59,53008.20,52868.52,6.21,1134.00,1610.00,1.30,55732396
YCu,orig,2e_K500,async,128,2,0,0.00,100.00,432.14,1155.37,143.01,1012.36,1587.51,1444.50,6.28,1145.00,1579.00,1.30,55732540
YCu,orig,2f_slru,pread,128,2,0,0.00,100.00,114.84,99113.07,139.98,98973.08,99227.91,99087.92,1.85,0.00,1652.00,1.30,55731492
YCu,orig,2f_slru,async,128,2,0,0.00,100.00,148.20,49177.45,141.53,49035.93,49325.65,49184.13,1.85,0.00,1652.00,1.30,55749968
YCu,orig,2f_top14,pread,128,2,0,0.00,100.00,722.91,1398.43,142.71,1255.72,2121.34,1978.63,6.26,1148.00,1464.00,1.30,55752524
YCu,orig,2f_top14,async,128,2,0,0.00,100.00,721.72,221.44,139.01,82.42,943.16,804.14,6.31,1148.00,1464.00,1.30,55747532
YCu,orig,2f_top28,pread,128,2,0,0.00,100.00,707.19,2590.32,144.41,2445.91,3297.51,3153.10,6.40,1148.00,1480.00,1.30,55749360
YCu,orig,2f_top28,async,128,2,0,0.00,100.00,732.51,273.63,152.99,120.65,1006.14,853.16,6.34,1148.00,1480.00,1.28,55751352
YCu,orig,layers_5,pread,128,2,0,0.00,100.00,667.67,578.95,140.50,438.44,1246.62,1106.11,5.92,1150.00,1445.00,1.28,55751848
YCu,orig,layers_5,async,128,2,0,0.00,100.00,689.04,212.36,142.36,70.00,901.40,759.04,6.11,1151.00,1444.00,1.28,55752184
YCu,orig,layers_92,pread,128,2,0,0.00,100.00,428.42,8091.96,142.06,7949.90,8520.38,8378.32,6.22,1140.00,1522.00,1.28,55752032
YCu,orig,layers_92,async,128,2,0,0.00,100.00,468.17,344.16,142.77,201.39,812.33,669.56,6.31,1144.00,1519.00,1.28,55752920
YCu,orig,baseline,baseline,128,3,0,0.00,0.00,845.11,0.00,0.00,0.00,845.11,845.11,6.40,1149.00,1444.00,1.28,55727784
YCu,orig,2d,pread,128,3,0,0.00,100.00,416.18,8065.43,144.03,7921.40,8481.61,8337.58,6.15,1140.00,1523.00,1.28,55727376
YCu,orig,2d,async,128,3,0,0.00,100.00,416.22,331.65,142.06,189.60,747.87,605.82,6.17,1144.00,1519.00,1.28,55728132
YCu,orig,2e_K10,pread,128,3,0,0.00,100.00,432.27,8966.47,142.35,8824.12,9398.74,9256.39,6.28,1140.00,1524.00,1.25,55727624
YCu,orig,2e_K10,async,128,3,0,0.00,100.00,429.76,357.87,142.36,215.51,787.63,645.27,6.30,1144.00,1521.00,1.25,55728496
YCu,orig,2e_K500,pread,128,3,0,0.00,100.00,431.84,52328.05,142.58,52185.48,52759.89,52617.32,6.25,1134.00,1608.00,1.25,55729000
YCu,orig,2e_K500,async,128,3,0,0.00,100.00,396.49,1170.17,139.89,1030.28,1566.66,1426.77,6.22,1145.00,1580.00,1.25,55729816
YCu,orig,2f_slru,pread,128,3,0,0.00,100.00,117.95,105338.26,142.01,105196.25,105456.21,105314.20,1.86,0.00,1652.00,1.25,55730360
YCu,orig,2f_slru,async,128,3,0,0.00,100.00,101.94,42152.24,140.87,42011.37,42254.18,42113.31,1.88,0.00,1652.00,1.25,55727700
YCu,orig,2f_top14,pread,128,3,0,0.00,100.00,720.87,1396.65,142.04,1254.62,2117.52,1975.49,6.21,1148.00,1464.00,1.25,55732060
YCu,orig,2f_top14,async,128,3,0,0.00,100.00,685.15,225.27,142.36,82.92,910.42,768.07,6.31,1148.00,1464.00,1.25,55732936
YCu,orig,2f_top28,pread,128,3,0,0.00,100.00,728.73,2622.09,141.97,2480.12,3350.82,3208.85,6.28,1148.00,1479.00,1.25,55733156
YCu,orig,2f_top28,async,128,3,0,0.00,100.00,743.01,248.52,143.38,105.14,991.53,848.15,6.41,1148.00,1480.00,1.31,55719780
YCu,orig,layers_5,pread,128,3,0,0.00,100.00,712.12,586.05,142.16,443.89,1298.17,1156.01,5.93,1150.00,1445.00,1.31,55721584
YCu,orig,layers_5,async,128,3,0,0.00,100.00,752.83,209.81,140.77,69.04,962.64,821.87,6.14,1151.00,1444.00,1.31,55723624
YCu,orig,layers_92,pread,128,3,0,0.00,100.00,416.16,8179.15,142.18,8036.97,8595.31,8453.13,6.22,1140.00,1523.00,1.31,55724352
YCu,orig,layers_92,async,128,3,0,0.00,100.00,426.93,339.33,141.02,198.31,766.26,625.24,6.32,1144.00,1518.00,1.31,55725460
YCu,orig,baseline,baseline,128,4,0,0.00,0.00,723.45,0.00,0.00,0.00,723.45,723.45,6.41,1149.00,1444.00,1.31,55726208
YCu,orig,2d,pread,128,4,0,0.00,100.00,465.83,8105.03,148.08,7956.95,8570.86,8422.78,6.36,1140.00,1523.00,1.31,55726836
YCu,orig,2d,async,128,4,0,0.00,100.00,421.69,343.06,142.06,201.00,764.75,622.69,6.11,1144.00,1519.00,1.31,55727740
YCu,orig,2e_K10,pread,128,4,0,0.00,100.00,423.91,9022.62,141.50,8881.12,9446.53,9305.03,6.25,1140.00,1525.00,1.29,55722252
YCu,orig,2e_K10,async,128,4,0,0.00,100.00,465.07,354.00,138.61,215.38,819.07,680.45,6.27,1144.00,1519.00,1.29,55738500
YCu,orig,2e_K500,pread,128,4,0,0.00,100.00,425.10,52545.07,140.34,52404.73,52970.17,52829.83,6.25,1134.00,1608.00,1.29,55739196
YCu,orig,2e_K500,async,128,4,0,0.00,100.00,424.97,1165.02,147.30,1017.72,1589.99,1442.69,5.92,1145.00,1577.00,1.29,55740004
YCu,orig,2f_slru,pread,128,4,0,0.00,100.00,112.03,105191.57,142.10,105049.48,105303.60,105161.51,1.81,0.00,1652.00,1.29,55739192
YCu,orig,2f_slru,async,128,4,0,0.00,100.00,101.01,41979.76,141.75,41838.01,42080.77,41939.02,1.84,0.00,1652.00,1.29,55735712
YCu,orig,2f_top14,pread,128,4,0,0.00,100.00,731.24,1455.56,146.07,1309.48,2186.80,2040.72,6.37,1148.00,1464.00,1.29,55751316
YCu,orig,2f_top14,async,128,4,0,0.00,100.00,732.00,226.68,142.34,84.34,958.68,816.34,6.36,1148.00,1464.00,1.29,55751540
YCu,orig,2f_top28,pread,128,4,0,0.00,100.00,622.56,2596.15,139.26,2456.89,3218.71,3079.45,5.93,1148.00,1479.00,1.29,55751720
YCu,orig,2f_top28,async,128,4,0,0.00,100.00,724.55,246.30,144.13,102.17,970.85,826.72,6.34,1148.00,1479.00,1.27,55754916
YCu,orig,layers_5,pread,128,4,0,0.00,100.00,693.12,584.03,141.16,442.86,1277.15,1135.98,6.07,1150.00,1445.00,1.27,55757632
