workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCu,orig,learned_markov_14,pread,128,1,1,0.00,100.00,966.76,1407.97,118.63,1289.33,2374.73,2256.09,5.81,1118.00,1541.00,1.10,56940064
YCu,orig,learned_markov_14,async,128,1,1,0.00,100.00,972.41,208.19,116.32,91.87,1180.60,1064.28,6.23,1118.00,1541.00,1.10,56923880
YCu,orig,learned_markov_28,pread,128,1,1,0.00,100.00,585.76,2487.71,81.87,2405.83,3073.47,2991.59,6.50,1115.00,1570.00,1.10,56780616
YCu,orig,learned_markov_28,async,128,1,1,0.00,100.00,595.73,196.71,88.03,108.68,792.44,704.41,6.28,1115.00,1571.00,1.17,56617508
YCu,orig,learned_markov_14,pread,128,2,0,0.00,100.00,989.28,1387.36,80.10,1307.26,2376.64,2296.54,6.53,1118.00,1541.00,1.17,56295980
YCu,orig,learned_markov_14,async,128,2,0,0.00,100.00,1090.30,211.23,100.55,110.68,1301.53,1200.98,6.66,1118.00,1540.00,1.17,56091592
YCu,orig,learned_markov_28,pread,128,2,0,0.00,100.00,703.29,3111.53,100.93,3010.60,3814.82,3713.89,6.61,1115.00,1570.00,1.17,56056384
YCu,orig,learned_markov_28,async,128,2,0,0.00,100.00,645.65,225.94,101.62,124.31,871.59,769.96,6.47,1115.00,1571.00,1.17,55990912
YCu,orig,learned_markov_14,pread,128,3,0,0.00,100.00,1387.79,1389.12,83.12,1306.01,2776.91,2693.80,6.24,1118.00,1541.00,1.17,56000260
YCu,orig,learned_markov_14,async,128,3,0,0.00,100.00,989.79,172.42,88.08,84.35,1162.21,1074.14,6.33,1118.00,1541.00,1.17,55967372
YCu,orig,learned_markov_28,pread,128,3,0,0.00,100.00,583.58,2451.23,86.60,2364.62,3034.81,2948.20,6.31,1115.00,1571.00,1.16,55963260
YCu,orig,learned_markov_28,async,128,3,0,0.00,100.00,575.51,182.68,76.80,105.88,758.19,681.39,6.53,1115.00,1571.00,1.16,55962808
YCu,orig,learned_markov_14,pread,128,4,0,0.00,100.00,967.11,1369.98,85.17,1284.82,2337.09,2251.93,6.26,1118.00,1541.00,1.16,55961296
YCu,orig,learned_markov_14,async,128,4,0,0.00,100.00,1069.52,173.29,85.05,88.24,1242.81,1157.76,6.16,1118.00,1541.00,1.16,55962764
YCu,orig,learned_markov_28,pread,128,4,0,0.00,100.00,505.75,2537.36,82.86,2454.50,3043.11,2960.25,6.02,1115.00,1571.00,1.16,55964460
YCu,orig,learned_markov_28,async,128,4,0,0.00,100.00,571.93,186.63,82.75,103.89,758.56,675.82,5.96,1115.00,1571.00,1.16,55965444
YCu,orig,learned_markov_14,pread,128,5,0,0.00,100.00,968.37,1372.51,85.29,1287.22,2340.88,2255.59,6.17,1118.00,1541.00,1.16,55965764
YCu,orig,learned_markov_14,async,128,5,0,0.00,100.00,902.15,168.67,84.34,84.33,1070.82,986.48,6.20,1118.00,1541.00,1.16,56004064
YCu,orig,learned_markov_28,pread,128,5,0,0.00,100.00,506.81,2508.41,85.87,2422.53,3015.22,2929.34,6.13,1115.00,1571.00,1.16,56100872
YCu,orig,learned_markov_28,async,128,5,0,0.00,100.00,507.87,187.46,83.55,103.92,695.33,611.79,5.85,1115.00,1571.00,1.15,56106764
YCu,orig,learned_markov_14,pread,128,6,0,0.00,100.00,964.70,1369.92,83.10,1286.83,2334.62,2251.53,5.92,1118.00,1541.00,1.15,56107116
YCu,orig,learned_markov_14,async,128,6,0,0.00,100.00,966.95,175.77,84.31,91.46,1142.72,1058.41,6.29,1118.00,1541.00,1.15,56126256
YCu,orig,learned_markov_28,pread,128,6,0,0.00,100.00,574.75,2463.98,82.59,2381.39,3038.73,2956.14,5.96,1115.00,1571.00,1.15,56126884
YCu,orig,learned_markov_28,async,128,6,0,0.00,100.00,578.07,188.14,82.67,105.48,766.21,683.55,6.18,1115.00,1571.00,1.15,56127900
YCu,orig,learned_markov_14,pread,128,7,0,0.00,100.00,963.98,1383.10,83.77,1299.33,2347.08,2263.31,6.07,1118.00,1541.00,1.15,56129348
YCu,orig,learned_markov_14,async,128,7,0,0.00,100.00,994.34,167.68,82.96,84.72,1162.02,1079.06,6.16,1118.00,1541.00,1.15,56129036
YCu,orig,learned_markov_28,pread,128,7,0,0.00,100.00,574.59,2505.72,84.85,2420.87,3080.31,2995.46,6.21,1115.00,1571.00,1.15,56131000
YCu,orig,learned_markov_28,async,128,7,0,0.00,100.00,570.72,186.12,81.32,104.80,756.84,675.52,6.11,1115.00,1571.00,1.13,56146332
YCu,orig,learned_markov_14,pread,128,8,0,0.00,100.00,972.38,1367.11,77.25,1289.86,2339.49,2262.24,6.19,1118.00,1541.00,1.13,56148004
YCu,orig,learned_markov_14,async,128,8,0,0.00,100.00,969.41,164.42,77.08,87.33,1133.83,1056.74,6.19,1118.00,1541.00,1.13,56148256
YCu,orig,learned_markov_28,pread,128,8,0,0.00,100.00,504.75,2467.70,84.32,2383.38,2972.45,2888.13,5.96,1115.00,1571.00,1.13,56157556
YCu,orig,learned_markov_28,async,128,8,0,0.00,100.00,577.04,195.92,84.30,111.62,772.96,688.66,6.15,1115.00,1571.00,1.13,56148276
YCu,orig,learned_markov_14,pread,128,9,0,0.00,100.00,969.76,1377.19,83.63,1293.56,2346.95,2263.32,6.24,1118.00,1541.00,1.13,56146592
YCu,orig,learned_markov_14,async,128,9,0,0.00,100.00,976.41,166.51,82.81,83.71,1142.92,1060.12,6.72,1118.00,1541.00,1.13,56149948
YCu,orig,learned_markov_28,pread,128,9,0,0.00,100.00,574.96,2499.08,83.72,2415.36,3074.04,2990.32,6.13,1115.00,1571.00,1.13,56152712
YCu,orig,learned_markov_28,async,128,9,0,0.00,100.00,570.88,191.52,84.03,107.49,762.40,678.37,6.18,1115.00,1571.00,1.12,56141884
YCu,orig,learned_markov_14,pread,128,10,0,0.00,100.00,969.79,1374.70,84.37,1290.34,2344.49,2260.13,6.24,1118.00,1541.00,1.12,56142476
YCu,orig,learned_markov_14,async,128,10,0,0.00,100.00,2039.36,500.03,412.19,87.83,2539.39,2127.19,6.25,1118.00,1541.00,1.12,56147080
YCu,orig,learned_markov_28,pread,128,10,0,0.00,100.00,575.15,2509.25,84.55,2424.70,3084.40,2999.85,6.37,1115.00,1571.00,1.12,56147352
YCu,orig,learned_markov_28,async,128,10,0,0.00,100.00,584.80,181.69,76.22,105.47,766.49,690.27,6.31,1115.00,1571.00,1.12,56147240
YCu,orig,learned_markov_14,pread,128,11,0,0.00,100.00,972.47,1387.82,84.36,1303.46,2360.29,2275.93,6.28,1118.00,1541.00,1.12,56151208
YCu,orig,learned_markov_14,async,128,11,0,0.00,100.00,971.34,166.08,83.65,82.44,1137.42,1053.78,6.42,1118.00,1541.00,1.12,56152200
YCu,orig,learned_markov_28,pread,128,11,0,0.00,100.00,1534.77,8710.17,6267.20,2442.97,10244.94,3977.74,6.57,1115.00,1571.00,1.12,56152136
YCu,orig,learned_markov_28,async,128,11,0,0.00,100.00,1121.52,178.67,78.41,100.26,1300.19,1221.78,6.52,1115.00,1571.00,1.11,56153484
