workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCu,orig,baseline,baseline,128,1,1,0.00,0.00,806.91,0.00,0.00,0.00,806.91,806.91,6.09,1123.00,1503.00,1.16,55796184
YCu,orig,2d,pread,128,1,1,0.00,100.00,482.89,8177.84,181.64,7996.20,8660.73,8479.09,6.20,1123.00,1545.00,1.16,55798928
YCu,orig,2d,async,128,1,1,0.00,100.00,478.10,390.56,183.35,207.21,868.66,685.31,6.26,1123.00,1546.00,1.16,55800064
YCu,orig,2e_K10,pread,128,1,1,0.00,100.00,483.16,8962.84,156.85,8805.98,9446.00,9289.14,6.32,1123.00,1547.00,1.16,55801296
YCu,orig,2e_K10,async,128,1,1,0.00,100.00,495.15,374.60,151.19,223.41,869.75,718.56,6.08,1123.00,1545.00,1.23,55801716
YCu,orig,2e_K500,pread,128,1,1,0.00,100.00,539.00,52647.12,154.37,52492.75,53186.12,53031.75,6.14,1122.00,1628.00,1.23,55802832
YCu,orig,2e_K500,async,128,1,1,0.00,100.00,536.39,1160.75,146.96,1013.80,1697.14,1550.19,6.18,1124.00,1605.00,1.23,55795364
YCu,orig,2f_slru,pread,128,1,1,0.00,100.00,109.28,99125.78,152.22,98973.56,99235.06,99082.84,1.84,0.00,1653.00,1.23,55795884
YCu,orig,2f_slru,async,128,1,1,0.00,100.00,103.29,41988.96,152.32,41836.65,42092.25,41939.94,1.86,0.00,1653.00,1.23,55791956
YCu,orig,2f_top14,pread,128,1,1,0.00,100.00,800.85,1435.54,151.57,1283.96,2236.39,2084.81,6.19,1124.00,1512.00,1.23,55797588
YCu,orig,2f_top14,async,128,1,1,0.00,100.00,805.14,238.99,152.86,86.13,1044.13,891.27,6.24,1124.00,1512.00,1.23,55798988
YCu,orig,2f_top28,pread,128,1,1,0.00,100.00,746.98,2557.06,112.42,2444.64,3304.04,3191.62,6.24,1121.00,1525.00,1.23,55797100
YCu,orig,2f_top28,async,128,1,1,0.00,100.00,808.78,250.32,145.15,105.17,1059.10,913.95,6.26,1121.00,1525.00,1.23,55800236
YCu,orig,layers_5,pread,128,1,1,0.00,100.00,809.41,535.59,73.87,461.72,1345.00,1271.13,6.13,1124.00,1503.00,1.21,55803056
YCu,orig,layers_5,async,128,1,1,0.00,100.00,749.40,253.76,182.82,70.93,1003.16,820.33,6.16,1124.00,1503.00,1.21,55803860
YCu,orig,layers_92,pread,128,1,1,0.00,100.00,479.04,8087.08,60.58,8026.50,8566.12,8505.54,6.17,1123.00,1544.00,1.21,55813732
YCu,orig,layers_92,async,128,1,1,0.00,100.00,479.02,389.70,183.93,205.78,868.72,684.80,6.23,1123.00,1545.00,1.21,55815340
