workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YCu,orig,lp_sorted,pread,128,1,1,0.00,100.00,117.61,100990.31,11.71,100978.59,101107.92,101096.20,1.85,0.00,1653.00,1.47,55696940
YCu,orig,lp_sorted,async,128,1,1,0.00,100.00,102.21,42290.07,11.51,42278.55,42392.28,42380.76,1.85,0.00,1653.00,1.47,55693428
YCu,orig,lp_shuf,pread,128,1,1,0.00,100.00,120.16,1556466.17,115.63,1556350.55,1556586.33,1556470.71,2.07,0.00,1653.00,1.47,55698580
YCu,orig,lp_shuf,async,128,1,1,0.00,100.00,104.29,41738.81,114.28,41624.52,41843.10,41728.81,1.84,0.00,1653.00,1.47,55696740
YCu,orig,lp_sorted,pread,128,2,0,0.00,100.00,110.68,102566.86,11.42,102555.44,102677.54,102666.12,1.85,0.00,1653.00,1.47,55657644
YCu,orig,lp_shuf,pread,128,2,0,0.00,100.00,126.34,1554716.53,123.26,1554593.27,1554842.87,1554719.61,2.07,0.00,1653.00,1.44,55709044
YCu,orig,lp_sorted,pread,128,3,0,0.00,100.00,114.09,101460.24,12.41,101447.83,101574.33,101561.92,1.91,0.00,1653.00,1.44,55708352
YCu,orig,lp_shuf,pread,128,3,0,0.00,100.00,121.75,1551301.60,120.85,1551180.75,1551423.35,1551302.50,2.08,0.00,1653.00,1.44,55730748
YCu,orig,lp_sorted,pread,128,4,0,0.00,100.00,110.84,101537.25,12.45,101524.80,101648.09,101635.64,1.82,0.00,1653.00,1.44,55731544
YCu,orig,lp_shuf,pread,128,4,0,0.00,100.00,120.55,1556397.27,113.68,1556283.59,1556517.82,1556404.14,2.07,0.00,1653.00,1.44,55731848
YCu,orig,lp_sorted,pread,128,5,0,0.00,100.00,112.35,101378.37,12.61,101365.75,101490.72,101478.10,1.83,0.00,1653.00,1.44,55731600
YCu,orig,lp_shuf,pread,128,5,0,0.00,100.00,113.54,1572329.81,160.78,1572169.03,1572443.35,1572282.57,2.02,0.00,1653.00,1.40,55708416
YCu,orig,lp_sorted,pread,128,6,0,0.00,100.00,107.94,104178.15,12.30,104165.85,104286.09,104273.79,1.82,0.00,1653.00,1.40,55710740
YCu,orig,lp_shuf,pread,128,6,0,0.00,100.00,121.01,1557817.96,113.58,1557704.38,1557938.97,1557825.39,2.06,0.00,1653.00,1.40,55709508
YCu,orig,lp_sorted,pread,128,7,0,0.00,100.00,106.95,98798.35,11.62,98786.72,98905.30,98893.67,1.87,0.00,1653.00,1.40,55703008
YCu,orig,lp_shuf,pread,128,7,0,0.00,100.00,129.04,1551710.10,115.36,1551594.75,1551839.14,1551723.79,2.11,0.00,1653.00,1.37,55714148
YCu,orig,lp_sorted,pread,128,8,0,0.00,100.00,114.36,104501.04,12.46,104488.57,104615.40,104602.93,1.85,0.00,1653.00,1.37,55714712
YCu,orig,lp_shuf,pread,128,8,0,0.00,100.00,123.80,1554124.27,114.94,1554009.34,1554248.07,1554133.14,2.10,0.00,1653.00,1.37,55726432
YCu,orig,lp_sorted,pread,128,9,0,0.00,100.00,111.50,104301.22,12.20,104289.02,104412.72,104400.52,1.81,0.00,1653.00,1.37,55727928
YCu,orig,lp_shuf,pread,128,9,0,0.00,100.00,123.30,1552182.60,122.95,1552059.65,1552305.90,1552182.95,2.05,0.00,1653.00,1.34,55732772
YCu,orig,lp_sorted,pread,128,10,0,0.00,100.00,112.20,103827.70,11.05,103816.65,103939.90,103928.85,1.80,0.00,1653.00,1.34,55733764
YCu,orig,lp_shuf,pread,128,10,0,0.00,100.00,125.03,1549111.16,114.47,1548996.69,1549236.19,1549121.72,2.10,0.00,1653.00,1.34,55733684
YCu,orig,lp_sorted,pread,128,11,0,0.00,100.00,111.68,104964.08,12.13,104951.94,105075.76,105063.62,1.83,0.00,1653.00,1.34,55734264
YCu,orig,lp_shuf,pread,128,11,0,0.00,100.00,107.66,1555213.62,114.19,1555099.43,1555321.28,1555207.09,2.05,0.00,1653.00,1.31,55718876
