seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
1,YCu,orig,2d,async,10,128,629.57,665.26,595.39,33.18,100.0,374.32,174.91,199.10,1003.90,830.20,0.0
1,YCu,orig,2d,pread,10,128,660.85,665.86,591.95,31.90,100.0,8183.32,174.73,8007.51,8813.79,8640.28,0.0
1,YCu,orig,2e_K10,async,10,128,593.57,664.98,561.78,38.39,100.0,393.00,174.56,214.99,1026.83,852.97,0.0
1,YCu,orig,2e_K10,pread,10,128,661.00,665.97,593.82,32.35,100.0,9002.76,174.50,8828.26,9635.39,9462.34,0.0
1,YCu,orig,2e_K500,async,10,128,659.59,716.30,593.06,45.92,100.0,1187.01,174.81,1012.92,1845.65,1672.59,0.0
1,YCu,orig,2e_K500,pread,10,128,661.85,664.30,591.45,26.61,100.0,52363.30,174.23,52188.69,52990.04,52815.44,0.0
1,YCu,orig,2f_slru,async,10,128,102.26,104.31,100.10,1.42,100.0,42251.21,174.22,42071.42,42353.07,42173.29,0.0
1,YCu,orig,2f_slru,pread,10,128,108.22,114.06,103.09,3.25,100.0,102200.89,174.52,102026.61,102313.34,102139.05,0.0
1,YCu,orig,2f_top14,async,10,128,887.84,920.20,827.20,28.12,100.0,259.38,174.78,84.04,1144.64,972.06,0.0
1,YCu,orig,2f_top14,pread,10,128,868.69,906.88,819.38,33.84,100.0,1460.13,175.95,1283.18,2315.18,2138.05,0.0
1,YCu,orig,2f_top28,async,10,128,631.91,664.59,567.88,33.05,100.0,277.88,174.24,103.63,911.26,735.97,0.0
1,YCu,orig,2f_top28,pread,10,128,645.43,668.56,562.53,41.01,100.0,2633.32,176.51,2457.30,3270.15,3090.01,0.0
1,YCu,orig,baseline,baseline,10,128,902.70,930.94,769.34,53.12,0.0,0.00,0.00,0.00,902.70,902.70,0.0
1,YCu,orig,layers_5,async,10,128,850.02,935.32,795.86,49.98,100.0,244.74,174.71,70.09,1095.34,921.09,0.0
1,YCu,orig,layers_5,pread,10,128,862.98,923.63,791.91,43.37,100.0,619.59,175.26,443.98,1482.32,1307.66,0.0
1,YCu,orig,layers_92,async,10,128,657.82,665.09,591.60,27.36,100.0,377.21,175.09,200.06,1034.03,858.39,0.0
1,YCu,orig,layers_92,pread,10,128,641.54,668.80,593.96,32.29,100.0,8170.32,174.41,7993.57,8801.86,8628.22,0.0
1,YCu,orig,lp_shuf,pread,10,128,120.19,124.63,108.64,4.91,100.0,1554752.46,85.29,1554666.81,1554862.72,1554777.07,0.0
1,YCu,orig,lp_sorted,pread,10,128,107.52,111.97,102.53,3.12,100.0,104077.53,83.09,103995.17,104182.86,104100.49,0.0
1,YCu,orig,learned_markov_14,async,10,128,851.26,897.93,723.88,51.30,100.0,168.45,83.97,83.67,1014.71,934.75,0.0
1,YCu,orig,learned_markov_14,pread,10,128,889.43,948.65,825.69,42.28,100.0,1372.74,84.84,1288.28,2260.82,2176.57,0.0
1,YCu,orig,learned_markov_28,async,10,128,867.42,900.66,796.47,36.54,100.0,188.04,84.96,103.80,1057.59,971.13,0.0
1,YCu,orig,learned_markov_28,pread,10,128,844.70,904.85,796.34,39.68,100.0,2557.78,85.80,2471.60,3418.81,3333.09,0.0
2,YCu,orig,2d,async,10,128,573.39,577.00,569.73,2.44,100.0,341.00,139.32,201.20,914.45,775.22,0.0
2,YCu,orig,2d,pread,10,128,574.89,576.76,510.55,19.27,100.0,8116.38,139.33,7979.89,8688.41,8551.92,0.0
2,YCu,orig,2e_K10,async,10,128,572.85,577.65,567.92,3.25,100.0,352.65,139.57,213.78,924.75,786.68,0.0
2,YCu,orig,2e_K10,pread,10,128,574.69,580.57,507.58,20.61,100.0,9035.97,138.40,8896.11,9612.46,9472.60,0.0
2,YCu,orig,2e_K500,async,10,128,605.02,643.34,542.60,40.49,100.0,1144.66,139.41,1005.75,1745.78,1605.32,0.0
2,YCu,orig,2e_K500,pread,10,128,577.20,608.86,544.43,30.26,100.0,52476.28,140.27,52337.37,53052.19,52913.28,0.0
2,YCu,orig,2f_slru,async,10,128,101.89,104.55,100.95,1.44,100.0,42232.09,138.93,42093.35,42334.59,42195.85,0.0
2,YCu,orig,2f_slru,pread,10,128,109.18,111.92,105.98,1.76,100.0,103584.51,138.87,103445.17,103692.85,103553.51,0.0
2,YCu,orig,2f_top14,async,10,128,574.12,577.82,571.32,2.40,100.0,224.77,140.00,84.47,798.18,658.23,0.0
2,YCu,orig,2f_top14,pread,10,128,574.80,582.40,566.86,4.63,100.0,1411.95,139.20,1273.17,1986.69,1846.89,0.0
2,YCu,orig,2f_top28,async,10,128,576.45,579.08,572.75,1.96,100.0,245.20,139.88,104.63,822.16,681.00,0.0
2,YCu,orig,2f_top28,pread,10,128,575.11,582.03,507.22,20.96,100.0,2597.82,139.50,2458.58,3174.31,3035.07,0.0
2,YCu,orig,baseline,baseline,10,128,998.79,1004.09,995.13,3.20,0.0,0.00,0.00,0.00,998.79,998.79,0.0
2,YCu,orig,layers_5,async,10,128,971.03,973.35,967.50,1.82,100.0,210.23,139.04,71.13,1180.65,1042.26,0.0
2,YCu,orig,layers_5,pread,10,128,971.36,978.87,904.83,20.78,100.0,585.30,139.99,445.44,1557.81,1417.95,0.0
2,YCu,orig,layers_92,async,10,128,572.79,576.44,508.06,19.72,100.0,340.25,139.88,201.07,912.43,774.15,0.0
2,YCu,orig,layers_92,pread,10,128,576.52,584.19,573.61,3.50,100.0,8142.97,139.42,8004.44,8718.57,8580.04,0.0
2,YCu,orig,lp_shuf,pread,10,128,121.10,122.45,115.49,1.99,100.0,1553535.27,84.15,1553452.46,1553657.24,1553574.44,0.0
2,YCu,orig,lp_sorted,pread,10,128,108.75,112.33,101.53,2.94,100.0,102561.24,83.17,102482.30,102671.96,102593.04,0.0
2,YCu,orig,learned_markov_14,async,10,128,983.10,1612.28,902.15,318.18,100.0,170.54,84.33,86.03,1152.47,1067.13,0.0
2,YCu,orig,learned_markov_14,pread,10,128,969.77,1208.46,963.98,125.26,100.0,1375.95,83.70,1291.95,2345.72,2262.77,0.0
2,YCu,orig,learned_markov_28,async,10,128,576.27,907.38,507.87,166.63,100.0,187.05,82.71,105.47,764.31,682.47,0.0
2,YCu,orig,learned_markov_28,pread,10,128,574.86,1160.60,504.75,295.49,100.0,2507.06,84.70,2421.70,3058.57,2975.28,0.0
3,YCu,orig,2d,async,10,128,582.90,628.70,516.27,31.48,100.0,374.81,171.05,204.89,959.03,787.62,0.0
3,YCu,orig,2d,pread,10,128,580.26,583.86,576.61,2.60,100.0,8047.31,170.76,7876.94,8626.64,8455.88,0.0
3,YCu,orig,2e_K10,async,10,128,581.91,866.04,514.81,155.97,100.0,388.96,169.81,218.87,974.39,803.90,0.0
3,YCu,orig,2e_K10,pread,10,128,581.94,588.62,572.67,4.55,100.0,9095.19,170.62,8922.26,9676.62,9503.69,0.0
3,YCu,orig,2e_K500,async,10,128,584.40,675.53,516.13,47.33,100.0,1195.82,170.11,1024.94,1782.35,1612.74,0.0
3,YCu,orig,2e_K500,pread,10,128,587.31,1674.82,578.68,592.98,100.0,52745.99,170.15,52576.56,53334.23,53164.79,0.0
3,YCu,orig,2f_slru,async,10,128,103.13,109.98,100.37,3.37,100.0,42316.32,171.40,42145.04,42418.26,42246.97,0.0
3,YCu,orig,2f_slru,pread,10,128,108.62,115.61,103.61,4.06,100.0,104403.54,170.91,104233.29,104510.73,104340.49,0.0
3,YCu,orig,2f_top14,async,10,128,1064.57,1069.22,994.05,21.54,100.0,254.83,171.58,84.06,1320.97,1149.32,0.0
3,YCu,orig,2f_top14,pread,10,128,1061.60,1070.30,991.53,21.99,100.0,1456.20,169.50,1287.13,2523.35,2352.32,0.0
3,YCu,orig,2f_top28,async,10,128,584.40,588.53,520.82,19.28,100.0,246.13,141.68,104.78,828.39,689.75,0.0
3,YCu,orig,2f_top28,pread,10,128,584.15,591.43,576.32,4.98,100.0,2587.02,141.38,2447.69,3177.04,3036.15,0.0
3,YCu,orig,baseline,baseline,10,128,1079.72,1589.87,1023.88,277.65,0.0,0.00,0.00,0.00,1079.72,1079.72,0.0
3,YCu,orig,layers_5,async,10,128,1061.80,1071.76,943.84,41.49,100.0,212.28,141.80,70.31,1272.28,1131.95,0.0
3,YCu,orig,layers_5,pread,10,128,1061.80,1067.82,925.26,43.60,100.0,579.63,141.17,438.36,1639.86,1499.91,0.0
3,YCu,orig,layers_92,async,10,128,588.12,590.19,510.36,29.32,100.0,373.56,172.38,204.32,948.83,789.67,0.0
3,YCu,orig,layers_92,pread,10,128,583.52,593.39,580.31,5.01,100.0,8135.15,176.17,7958.99,8719.85,8542.70,0.0
3,YCu,orig,lp_shuf,pread,10,128,123.17,127.11,111.14,4.31,100.0,1553309.23,84.53,1553225.31,1553432.90,1553348.98,0.0
3,YCu,orig,lp_sorted,pread,10,128,111.14,114.03,103.41,3.10,100.0,102171.49,84.65,102085.84,102277.55,102191.91,0.0
3,YCu,orig,learned_markov_14,async,10,128,582.50,588.09,580.17,2.74,100.0,166.56,80.07,85.09,748.81,668.07,0.0
3,YCu,orig,learned_markov_14,pread,10,128,586.30,617.58,516.66,27.64,100.0,1345.32,84.32,1262.22,1930.60,1848.54,0.0
3,YCu,orig,learned_markov_28,async,10,128,585.79,591.93,515.94,21.47,100.0,189.48,84.19,105.19,775.19,690.50,0.0
3,YCu,orig,learned_markov_28,pread,10,128,583.09,592.53,527.45,17.93,100.0,2548.38,83.78,2463.81,3137.61,3053.05,0.0
4,YCu,orig,2d,async,10,128,547.69,576.35,474.44,27.53,100.0,381.74,178.68,201.60,929.78,751.61,0.0
4,YCu,orig,2d,pread,10,128,511.00,576.30,481.20,30.17,100.0,8119.45,178.47,7941.22,8643.56,8463.89,0.0
4,YCu,orig,2e_K10,async,10,128,541.48,576.23,501.71,26.60,100.0,394.40,179.00,214.74,933.70,754.48,0.0
4,YCu,orig,2e_K10,pread,10,128,513.19,561.80,503.39,23.54,100.0,9029.63,178.53,8852.15,9533.16,9355.68,0.0
4,YCu,orig,2e_K500,async,10,128,570.92,577.09,503.84,30.86,100.0,1196.67,178.41,1012.55,1759.95,1578.81,0.0
4,YCu,orig,2e_K500,pread,10,128,543.38,577.10,508.25,31.77,100.0,52575.43,178.57,52391.37,53128.89,52948.60,0.0
4,YCu,orig,2f_slru,async,10,128,102.23,103.05,100.06,0.98,100.0,42213.04,179.19,42033.74,42316.07,42136.76,0.0
4,YCu,orig,2f_slru,pread,10,128,108.92,113.17,104.64,2.77,100.0,104564.45,180.11,104383.95,104673.75,104493.24,0.0
4,YCu,orig,2f_top14,async,10,128,478.24,585.58,471.34,56.81,100.0,262.48,178.59,83.63,741.40,561.25,0.0
4,YCu,orig,2f_top14,pread,10,128,477.90,480.73,467.34,4.58,100.0,1468.19,180.07,1287.03,1946.30,1764.86,0.0
4,YCu,orig,2f_top28,async,10,128,479.87,494.00,478.12,5.88,100.0,283.96,178.29,105.13,766.19,585.91,0.0
4,YCu,orig,2f_top28,pread,10,128,480.44,485.64,407.00,22.37,100.0,2620.41,179.09,2439.43,3086.41,2906.59,0.0
4,YCu,orig,baseline,baseline,10,128,510.44,525.65,505.33,8.56,0.0,0.00,0.00,0.00,510.44,510.44,0.0
4,YCu,orig,layers_5,async,10,128,476.91,478.84,471.82,2.38,100.0,250.03,179.08,70.75,726.13,547.35,0.0
4,YCu,orig,layers_5,pread,10,128,478.96,485.11,411.88,20.66,100.0,617.88,179.69,438.63,1097.64,917.87,0.0
4,YCu,orig,layers_92,async,10,128,540.43,551.39,517.33,9.43,100.0,378.38,179.51,197.66,924.21,743.73,0.0
4,YCu,orig,layers_92,pread,10,128,514.13,576.28,500.78,27.96,100.0,8140.46,178.25,7961.84,8651.76,8473.03,0.0
4,YCu,orig,lp_shuf,pread,10,128,120.58,125.54,55.91,19.92,100.0,1552132.56,81.96,1552054.67,1552222.46,1552144.56,0.0
4,YCu,orig,lp_sorted,pread,10,128,109.51,110.69,106.26,1.38,100.0,101728.21,81.97,101641.02,101836.14,101748.94,0.0
4,YCu,orig,learned_markov_14,async,10,128,547.36,575.88,502.05,26.15,100.0,167.17,84.37,82.59,724.71,631.69,0.0
4,YCu,orig,learned_markov_14,pread,10,128,545.04,573.23,487.56,28.26,100.0,1352.85,85.20,1266.88,1899.88,1813.90,0.0
4,YCu,orig,learned_markov_28,async,10,128,549.81,587.26,503.59,26.41,100.0,188.56,85.39,103.82,737.65,652.46,0.0
4,YCu,orig,learned_markov_28,pread,10,128,548.21,574.51,509.86,19.79,100.0,2524.77,79.78,2445.90,3077.91,2994.51,0.0
5,YCu,orig,2d,async,10,128,580.44,584.44,571.03,4.19,100.0,349.40,145.52,202.78,926.92,781.76,0.0
5,YCu,orig,2d,pread,10,128,580.77,585.52,514.64,27.82,100.0,8118.62,146.63,7976.23,8701.94,8559.56,0.0
5,YCu,orig,2e_K10,async,10,128,582.70,587.10,512.31,21.37,100.0,360.87,142.40,217.75,940.16,800.17,0.0
5,YCu,orig,2e_K10,pread,10,128,584.00,587.38,519.62,19.45,100.0,8995.85,147.00,8854.65,9551.34,9406.92,0.0
5,YCu,orig,2e_K500,async,10,128,582.46,589.05,578.74,3.34,100.0,1159.28,142.07,1015.95,1740.85,1599.37,0.0
5,YCu,orig,2e_K500,pread,10,128,582.94,590.26,576.39,4.31,100.0,52570.69,143.09,52428.28,53153.01,53010.60,0.0
5,YCu,orig,2f_slru,async,10,128,103.33,109.39,102.09,2.74,100.0,42274.55,142.34,42133.04,42378.99,42237.47,0.0
5,YCu,orig,2f_slru,pread,10,128,110.50,114.73,101.48,3.79,100.0,104512.87,142.22,104367.74,104623.68,104478.55,0.0
5,YCu,orig,2f_top14,async,10,128,1044.56,1068.24,1030.86,12.81,100.0,227.57,142.30,85.19,1273.84,1128.54,0.0
5,YCu,orig,2f_top14,pread,10,128,1041.20,1104.18,1001.64,32.68,100.0,1428.36,142.07,1286.91,2488.28,2345.59,0.0
5,YCu,orig,2f_top28,async,10,128,585.70,598.58,579.00,6.58,100.0,250.35,143.93,104.62,836.19,692.27,0.0
5,YCu,orig,2f_top28,pread,10,128,585.67,701.43,572.29,62.84,100.0,2616.18,144.63,2472.41,3207.93,3062.91,0.0
5,YCu,orig,baseline,baseline,10,128,1087.71,1117.29,896.00,64.81,0.0,0.00,0.00,0.00,1087.71,1087.71,0.0
5,YCu,orig,layers_5,async,10,128,1061.87,1070.99,963.16,30.96,100.0,214.34,143.44,70.53,1277.26,1132.49,0.0
5,YCu,orig,layers_5,pread,10,128,1064.22,1070.08,936.60,38.69,100.0,581.26,142.89,438.29,1644.41,1502.21,0.0
5,YCu,orig,layers_92,async,10,128,583.61,989.98,573.96,193.00,100.0,348.96,142.26,203.97,933.43,787.39,0.0
5,YCu,orig,layers_92,pread,10,128,581.26,590.51,518.37,25.56,100.0,8140.78,145.17,7998.35,8706.54,8561.56,0.0
5,YCu,orig,lp_shuf,pread,10,128,123.89,129.58,118.15,3.27,100.0,1553917.71,84.91,1553835.98,1554041.29,1553959.56,0.0
5,YCu,orig,lp_sorted,pread,10,128,113.66,117.66,107.07,3.42,100.0,101700.24,84.31,101617.87,101815.96,101733.58,0.0
5,YCu,orig,learned_markov_14,async,10,128,1074.22,1159.30,1048.04,46.17,100.0,204.91,119.56,85.53,1279.11,1159.73,0.0
5,YCu,orig,learned_markov_14,pread,10,128,1065.86,1080.63,915.43,47.16,100.0,1379.30,119.42,1259.88,2449.81,2330.39,0.0
5,YCu,orig,learned_markov_28,async,10,128,581.84,587.37,513.38,21.01,100.0,224.22,118.95,104.82,805.93,686.71,0.0
5,YCu,orig,learned_markov_28,pread,10,128,585.03,588.43,578.97,3.23,100.0,2576.95,119.46,2460.03,3160.00,3043.09,0.0
6,YCu,orig,2d,async,10,128,579.61,583.03,514.55,29.06,100.0,377.67,174.49,203.15,958.86,783.07,0.0
6,YCu,orig,2d,pread,10,128,580.59,585.88,569.35,4.49,100.0,8217.74,174.63,8044.57,8799.88,8626.71,0.0
6,YCu,orig,2e_K10,async,10,128,580.84,584.61,513.55,20.39,100.0,391.36,174.54,217.46,972.72,797.32,0.0
6,YCu,orig,2e_K10,pread,10,128,580.00,584.51,513.93,20.10,100.0,9007.83,174.16,8834.34,9586.68,9411.93,0.0
6,YCu,orig,2e_K500,async,10,128,636.30,639.33,563.37,21.98,100.0,1188.08,174.17,1015.59,1825.89,1651.83,0.0
6,YCu,orig,2e_K500,pread,10,128,637.84,653.94,626.75,8.90,100.0,52707.11,175.34,52530.38,53357.65,53180.92,0.0
6,YCu,orig,2f_slru,async,10,128,104.19,256.76,101.89,81.79,100.0,42575.79,177.12,42399.12,42682.54,42505.88,0.0
6,YCu,orig,2f_slru,pread,10,128,114.41,119.65,106.02,4.73,100.0,104604.99,174.61,104429.26,104720.80,104545.07,0.0
6,YCu,orig,2f_top14,async,10,128,856.59,866.64,737.46,39.76,100.0,260.26,174.90,85.43,1117.26,942.19,0.0
6,YCu,orig,2f_top14,pread,10,128,850.93,862.84,786.98,24.52,100.0,1460.88,174.72,1284.46,2312.19,2134.82,0.0
6,YCu,orig,2f_top28,async,10,128,577.32,585.53,514.29,25.50,100.0,279.92,174.81,104.23,857.57,682.37,0.0
