workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,506.62,0.00,0.00,0.00,506.62,506.62,88.73,26504.00,12113.00,1.03,55647440
B,orig,baseline,baseline,128,1,1,0.00,0.00,1121.76,0.00,0.00,0.00,1121.76,1121.76,134.95,40468.00,19190.00,1.18,55646488
A,orig,layers_5,pread,128,1,1,0.00,100.00,180.94,590.41,151.35,439.06,771.35,620.00,84.27,25324.00,11965.00,1.15,55650972
A,orig,layers_5,async,128,1,1,0.00,100.00,383.36,214.03,146.15,67.89,597.39,451.25,83.93,25325.00,11940.00,1.13,55643140
A,orig,2d,pread,128,1,1,0.00,100.00,180.55,1876.48,137.67,1738.81,2057.03,1919.36,86.17,25900.00,12125.00,1.12,55654688
A,orig,2d,async,128,1,1,0.00,100.00,360.37,228.29,143.07,85.22,588.66,445.59,89.55,26725.00,12100.00,1.10,55657712
A,orig,2e_K10,pread,128,1,1,0.00,100.00,220.74,2671.27,176.92,2494.35,2892.01,2715.09,86.93,25979.00,12037.00,1.08,55651108
A,orig,2e_K10,async,128,1,1,0.00,100.00,355.40,272.27,174.40,97.87,627.67,453.27,86.69,26020.00,12139.00,1.15,55651176
A,orig,layers_92,pread,128,1,1,0.00,100.00,177.94,8941.78,260.83,8680.95,9119.72,8858.89,83.42,25194.00,11997.00,1.13,55636064
A,orig,layers_92,async,128,1,1,0.00,100.00,404.60,374.88,174.73,200.16,779.48,604.76,86.56,26048.00,12040.00,1.11,55654088
A,orig,2e_K500,pread,128,1,1,0.00,100.00,178.60,22248.75,179.26,22069.49,22427.35,22248.09,87.28,26165.00,12023.00,1.10,55654684
A,orig,2e_K500,async,128,1,1,0.00,100.00,182.34,976.21,172.08,804.12,1158.55,986.46,83.59,25211.00,11929.00,1.08,55648672
A,orig,2f_slru,pread,128,1,1,0.00,55.10,589.20,18871.95,179.49,18692.47,19461.15,19281.67,85.49,25475.00,11260.00,1.07,55644836
A,orig,2f_slru,async,128,1,1,0.00,55.80,501.81,7636.32,175.07,7461.25,8138.13,7963.06,84.18,25373.00,11976.00,1.06,55653096
B,orig,layers_5,pread,128,1,1,0.00,100.00,405.50,615.31,173.80,441.51,1020.81,847.01,133.20,39869.00,19130.00,1.05,55657088
B,orig,layers_5,async,128,1,1,0.00,100.00,411.90,240.10,169.33,70.77,652.00,482.67,133.46,39970.00,19265.00,1.04,55650880
B,orig,2d,pread,128,1,1,0.00,100.00,415.80,1860.41,178.92,1681.49,2276.21,2097.29,133.50,40170.00,19226.00,1.03,55648748
B,orig,2d,async,128,1,1,0.00,100.00,411.20,257.35,174.16,83.20,668.55,494.40,132.81,39932.00,19138.00,1.02,55647548
B,orig,2e_K10,pread,128,1,1,0.00,100.00,413.42,2803.60,179.17,2624.43,3217.02,3037.85,137.12,40873.00,19061.00,1.09,55630524
B,orig,2e_K10,async,128,1,1,0.00,100.00,398.49,273.66,173.48,100.19,672.15,498.68,134.01,40282.00,19243.00,1.08,55640156
B,orig,layers_92,pread,128,1,1,0.00,100.00,400.99,8221.05,178.72,8042.33,8622.04,8443.32,133.19,40107.00,19145.00,1.06,55642116
B,orig,layers_92,async,128,1,1,0.00,100.00,398.88,375.24,176.28,198.95,774.12,597.83,134.54,40310.00,19131.00,1.05,55654800
B,orig,2e_K500,pread,128,1,1,0.00,100.00,407.77,18735.88,179.80,18556.08,19143.65,18963.85,134.60,40440.00,19168.00,1.04,55650700
