workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,5,128,360.41,978.18,355.27,309.59,100.0,213.43,128.13,84.73,572.29,444.97,0.0
A,orig,2d,pread,2,128,496.47,,179.66,316.81,100.0,1832.77,128.16,1704.61,2329.24,2201.08,0.0
A,orig,2e_K10,async,5,128,358.86,613.68,351.50,128.41,100.0,224.62,127.32,97.78,584.42,455.03,0.0
A,orig,2e_K10,pread,2,128,179.47,,178.44,1.03,100.0,2603.34,127.41,2475.93,2782.82,2655.40,0.0
A,orig,2e_K500,async,5,128,181.73,183.20,179.66,1.26,100.0,955.12,128.68,826.66,1138.46,1010.00,0.0
A,orig,2e_K500,pread,2,128,180.67,,179.04,1.63,100.0,21995.61,129.07,21866.53,22176.28,22047.21,0.0
A,orig,2f_slru,async,5,128,488.98,490.02,488.07,0.73,20.1,8339.38,128.70,8209.62,8828.98,8699.22,0.0
A,orig,2f_slru,pread,2,128,534.86,,487.47,47.39,19.6,19313.11,128.85,19184.25,19847.97,19719.11,0.0
A,orig,baseline,baseline,3,128,506.33,,501.99,2.83,0.0,0.00,0.00,0.00,506.33,506.33,0.0
A,orig,layers_5,async,5,128,357.30,388.65,337.51,19.53,100.0,197.56,128.90,69.09,555.65,426.39,0.0
A,orig,layers_5,pread,2,128,180.89,,177.45,3.45,100.0,563.54,127.47,436.08,744.43,616.97,0.0
A,orig,layers_92,async,5,128,359.97,365.28,352.38,4.50,100.0,325.09,128.52,196.04,685.06,556.51,0.0
A,orig,layers_92,pread,2,128,182.67,,182.22,0.45,100.0,8165.85,128.21,8037.65,8348.53,8220.32,0.0
B,orig,2d,async,5,128,410.66,418.14,403.31,5.28,100.0,214.86,129.28,86.10,627.58,496.27,0.0
B,orig,2d,pread,2,128,407.24,,405.57,1.66,100.0,1854.79,128.12,1726.67,2262.03,2133.91,0.0
B,orig,2e_K10,async,5,128,413.53,416.83,411.11,2.19,100.0,228.92,128.63,100.52,640.21,513.23,0.0
B,orig,2e_K10,pread,2,128,408.97,,407.62,1.35,100.0,2767.31,130.24,2637.07,3176.28,3046.05,0.0
B,orig,2e_K500,async,5,128,453.52,458.63,451.65,2.87,100.0,1004.60,170.62,835.50,1456.25,1287.15,0.0
B,orig,2e_K500,pread,2,128,428.18,,400.84,27.34,100.0,24275.76,143.66,24132.10,24703.94,24560.28,0.0
B,orig,2f_slru,async,5,128,727.85,743.28,713.54,10.63,18.4,8860.96,169.45,8691.94,9590.54,9421.52,0.0
B,orig,2f_slru,pread,2,128,762.81,,702.21,60.59,19.2,18685.80,169.82,18515.97,19448.60,19278.78,0.0
B,orig,baseline,baseline,3,128,740.32,,739.83,2.58,0.0,0.00,0.00,0.00,740.32,740.32,0.0
B,orig,layers_5,async,5,128,414.56,424.61,410.96,5.26,100.0,199.12,129.08,69.80,612.62,484.45,0.0
B,orig,layers_5,pread,2,128,412.90,,410.85,2.05,100.0,574.95,128.95,446.00,987.86,858.90,0.0
B,orig,layers_92,async,5,128,411.91,416.65,402.61,5.25,100.0,362.33,169.59,194.06,771.75,601.38,0.0
B,orig,layers_92,pread,2,128,414.92,,408.23,6.69,100.0,8648.44,170.41,8478.03,9063.36,8892.94,0.0
