workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,474.50,0.00,0.00,0.00,474.50,474.50,2.11,180.00,270.00,0.00,55844140
B,orig,baseline,baseline,128,1,1,0.00,0.00,737.03,0.00,0.00,0.00,737.03,737.03,2.22,181.00,273.00,0.00,55833372
A,orig,layers_5,pread,128,1,1,0.00,100.00,181.70,584.36,146.46,437.90,766.06,619.60,2.15,180.00,271.00,0.00,55833272
A,orig,layers_5,async,128,1,1,0.00,100.00,354.81,215.69,146.56,69.13,570.50,423.94,2.14,180.00,271.00,0.00,55832788
A,orig,2d,pread,128,1,1,0.00,100.00,181.83,1850.95,146.00,1704.95,2032.78,1886.78,2.13,177.00,286.00,0.08,55834684
A,orig,2d,async,128,1,1,0.00,100.00,359.70,235.62,148.34,87.28,595.32,446.98,2.24,178.00,283.00,0.08,55836128
A,orig,2e_K10,pread,128,1,1,0.00,100.00,179.51,2643.61,146.51,2497.10,2823.12,2676.61,2.17,181.00,287.00,0.08,55834492
A,orig,2e_K10,async,128,1,1,0.00,100.00,370.13,242.92,146.81,96.11,613.05,466.24,2.12,181.00,287.00,0.08,55832888
A,orig,layers_92,pread,128,1,1,0.00,100.00,174.22,8013.58,146.60,7866.98,8187.80,8041.20,2.11,177.00,286.00,0.08,55837692
A,orig,layers_92,async,128,1,1,0.00,100.00,401.99,339.53,138.59,200.94,741.52,602.93,2.09,178.00,283.00,0.08,55838548
A,orig,2e_K500,pread,128,1,1,0.00,100.00,182.10,24953.54,147.55,24805.99,25135.64,24988.09,2.15,168.00,431.00,0.08,55837648
A,orig,2e_K500,async,128,1,1,0.00,100.00,176.89,969.22,147.46,821.76,1146.11,998.65,2.08,179.00,417.00,0.08,55833752
A,orig,2f_slru,pread,128,1,1,0.00,100.00,94.56,18016.04,137.59,17878.46,18110.60,17973.02,1.57,0.00,278.00,0.08,55841116
A,orig,2f_slru,async,128,1,1,0.00,100.00,94.92,7157.14,138.56,7018.58,7252.06,7113.50,1.57,0.00,278.00,0.08,55839004
B,orig,layers_5,pread,128,1,1,0.00,100.00,414.22,584.25,147.16,437.09,998.47,851.31,2.19,181.00,273.00,0.08,55842616
B,orig,layers_5,async,128,1,1,0.00,100.00,416.45,217.44,147.82,69.62,633.89,486.07,2.27,182.00,272.00,0.08,55843700
B,orig,2d,pread,128,1,1,0.00,100.00,398.40,1809.87,138.85,1671.02,2208.27,2069.42,2.16,180.00,280.00,0.08,55843756
B,orig,2d,async,128,1,1,0.00,100.00,396.36,224.40,139.31,85.09,620.76,481.45,2.22,181.00,278.00,0.08,55844304
B,orig,2e_K10,pread,128,1,1,0.00,100.00,397.61,2786.02,145.81,2640.20,3183.63,3037.81,2.16,180.00,281.00,0.08,55843940
B,orig,2e_K10,async,128,1,1,0.00,100.00,405.10,243.77,146.50,97.27,648.87,502.37,2.19,181.00,278.00,0.08,55844236
B,orig,layers_92,pread,128,1,1,0.00,100.00,399.24,8148.40,145.59,8002.81,8547.64,8402.05,2.26,180.00,281.00,0.15,55845124
B,orig,layers_92,async,128,1,1,0.00,100.00,417.26,341.97,149.42,192.55,759.23,609.81,2.24,181.00,277.00,0.15,55845836
B,orig,2e_K500,pread,128,1,1,0.00,100.00,452.96,19142.81,148.65,18994.16,19595.77,19447.12,2.11,168.00,385.00,0.15,55844436
B,orig,2e_K500,async,128,1,1,0.00,100.00,402.02,1004.28,147.60,856.68,1406.30,1258.70,2.20,186.00,326.00,0.15,55844792
B,orig,2f_slru,pread,128,1,1,0.00,100.00,96.65,18410.55,147.47,18263.08,18507.20,18359.73,1.57,0.00,278.00,0.15,55847436
B,orig,2f_slru,async,128,1,1,0.00,91.20,2703.09,7188.15,147.74,7040.41,9891.24,9743.50,1.67,0.00,278.00,0.15,55845424
A,orig,baseline,baseline,128,2,0,0.00,0.00,494.72,0.00,0.00,0.00,494.72,494.72,2.13,180.00,270.00,0.15,55846828
B,orig,baseline,baseline,128,2,0,0.00,0.00,738.14,0.00,0.00,0.00,738.14,738.14,2.14,181.00,273.00,0.15,55847556
A,orig,layers_5,pread,128,2,0,0.00,100.00,177.18,572.00,138.26,433.75,749.18,610.93,2.10,180.00,271.00,0.15,55850692
A,orig,layers_5,async,128,2,0,0.00,100.00,397.53,208.24,139.78,68.46,605.77,465.99,2.22,180.00,271.00,0.15,55824972
A,orig,2d,pread,128,2,0,0.00,100.00,177.25,7070.87,236.88,6833.98,7248.12,7011.23,2.12,177.00,286.00,0.15,55825296
A,orig,2d,async,128,2,0,0.00,100.00,362.73,223.01,137.25,85.76,585.74,448.49,2.11,178.00,283.00,0.15,55804472
A,orig,2e_K10,pread,128,2,0,0.00,100.00,177.61,2603.01,139.44,2463.57,2780.62,2641.18,2.16,181.00,287.00,0.15,55804232
A,orig,2e_K10,async,128,2,0,0.00,100.00,359.78,240.02,139.91,100.11,599.80,459.89,2.23,181.00,287.00,0.15,55804240
A,orig,layers_92,pread,128,2,0,0.00,100.00,173.09,8143.58,145.47,7998.11,8316.67,8171.20,2.09,177.00,286.00,0.15,55806456
A,orig,layers_92,async,128,2,0,0.00,100.00,356.88,336.62,141.75,194.88,693.50,551.76,2.17,178.00,283.00,0.15,55811008
A,orig,2e_K500,pread,128,2,0,0.00,100.00,178.95,20851.74,138.53,20713.21,21030.69,20892.16,2.08,168.00,427.00,0.30,55776160
A,orig,2e_K500,async,128,2,0,0.00,100.00,182.27,1026.36,138.43,887.93,1208.63,1070.20,2.15,179.00,416.00,0.30,55754360
A,orig,2f_slru,pread,128,2,0,0.00,100.00,93.93,23213.78,138.88,23074.90,23307.71,23168.83,1.60,0.00,278.00,0.30,55752536
A,orig,2f_slru,async,128,2,0,0.00,100.00,98.21,7286.88,138.53,7148.35,7385.09,7246.56,1.62,0.00,278.00,0.30,55760932
B,orig,layers_5,pread,128,2,0,0.00,100.00,399.58,578.83,134.98,443.84,978.41,843.42,2.23,181.00,273.00,0.30,55763404
B,orig,layers_5,async,128,2,0,0.00,100.00,395.24,207.28,138.32,68.96,602.52,464.20,2.20,182.00,272.00,0.30,55769984
