workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,5,128,356.39,399.76,351.78,21.49,100.0,223.83,138.68,85.60,580.31,439.84,0.0
A,orig,2d,pread,2,128,177.39,,177.25,0.14,100.0,4470.18,188.06,4282.11,4647.56,4459.50,0.0
A,orig,2e_K10,async,5,128,359.78,401.50,356.79,19.80,100.0,235.34,137.66,99.79,599.80,459.89,0.0
A,orig,2e_K10,pread,2,128,176.96,,176.30,0.66,100.0,2619.59,139.68,2479.91,2796.55,2656.86,0.0
A,orig,2e_K500,async,5,128,182.27,521.17,179.44,169.87,100.0,980.89,138.43,844.71,1163.76,1027.58,0.0
A,orig,2e_K500,pread,2,128,178.25,,177.56,0.69,100.0,21011.20,138.41,20872.79,21189.46,21051.04,0.0
A,orig,2f_slru,async,5,128,97.83,98.18,94.25,1.47,100.0,7069.99,138.53,6935.79,7164.24,7030.04,0.0
A,orig,2f_slru,pread,2,128,95.02,,93.93,1.09,100.0,20745.70,138.93,20606.78,20840.72,20701.79,0.0
A,orig,baseline,baseline,3,128,496.21,,494.72,1.24,0.0,0.00,0.00,0.00,496.21,496.21,0.0
A,orig,layers_5,async,5,128,388.70,402.47,353.85,18.87,100.0,208.24,139.61,68.87,593.04,455.48,0.0
A,orig,layers_5,pread,2,128,179.99,,177.18,2.81,100.0,575.55,139.51,436.03,755.53,616.02,0.0
A,orig,layers_92,async,5,128,356.05,357.42,346.43,4.09,100.0,332.80,138.55,194.88,686.70,548.15,0.0
A,orig,layers_92,pread,2,128,177.22,,173.09,4.12,100.0,8144.99,142.00,8002.98,8322.20,8180.20,0.0
B,orig,2d,async,5,128,409.77,415.48,397.34,6.35,100.0,223.80,138.08,85.79,633.91,495.56,0.0
B,orig,2d,pread,2,128,405.47,,397.61,7.86,100.0,1841.54,141.47,1700.06,2247.01,2105.53,0.0
B,orig,2e_K10,async,5,128,400.76,412.96,395.73,6.94,100.0,239.68,139.19,100.49,648.81,501.76,0.0
B,orig,2e_K10,pread,2,128,525.00,,397.74,127.25,100.0,2769.25,137.76,2631.49,3294.24,3156.48,0.0
B,orig,2e_K500,async,5,128,450.80,457.64,446.42,4.40,100.0,982.90,138.29,843.94,1430.97,1292.01,0.0
B,orig,2e_K500,pread,2,128,426.75,,395.10,31.65,100.0,21373.21,138.17,21235.04,21799.96,21661.79,0.0
B,orig,2f_slru,async,5,128,97.86,105.26,94.52,4.14,100.0,7043.97,139.23,6904.34,7141.83,7002.20,0.0
B,orig,2f_slru,pread,2,128,95.20,,93.93,1.27,100.0,18009.74,139.41,17870.34,18104.94,17965.54,0.0
B,orig,baseline,baseline,3,128,732.89,,717.81,8.62,0.0,0.00,0.00,0.00,732.89,732.89,0.0
B,orig,layers_5,async,5,128,396.57,410.89,395.07,7.12,100.0,207.28,138.32,68.86,605.07,465.43,0.0
B,orig,layers_5,pread,2,128,403.15,,399.58,3.58,100.0,580.64,136.85,443.78,983.80,846.94,0.0
B,orig,layers_92,async,5,128,406.88,415.28,404.22,4.75,100.0,336.62,138.93,197.00,740.84,601.22,0.0
B,orig,layers_92,pread,2,128,407.63,,404.75,2.88,100.0,8128.04,136.57,7991.47,8535.67,8399.10,0.0
