workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,510.43,0.00,0.00,0.00,510.43,510.43,2.13,180.00,270.00,0.28,53098752
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,691.86,0.00,0.00,0.00,691.86,691.86,2.06,142.00,219.00,0.34,53099724
A,ta,baseline,baseline,128,1,1,0.00,0.00,675.38,0.00,0.00,0.00,675.38,675.38,2.17,177.00,277.00,0.34,53099684
A,orig,2e_K500,pread,128,1,1,0.00,100.00,182.29,21231.34,174.68,21056.66,21413.63,21238.95,2.11,169.00,429.00,0.34,53101004
A,orig,2e_K500,async,128,1,1,0.00,100.00,186.22,1068.23,177.06,891.16,1254.45,1077.38,2.14,181.00,411.00,0.34,53095932
A,orig,2f_slru,pread,128,1,1,0.00,100.00,103.99,18251.58,177.24,18074.33,18355.57,18178.32,1.61,0.00,278.00,0.34,53098960
A,orig,2f_slru,async,128,1,1,0.00,100.00,98.16,7348.42,179.00,7169.42,7446.58,7267.58,1.60,0.00,278.00,0.34,53098932
A,vacuum,2e_K500,pread,128,1,1,0.00,100.00,207.07,44650.28,175.34,44474.94,44857.35,44682.01,2.01,139.00,354.00,0.34,53100196
A,vacuum,2e_K500,async,128,1,1,0.00,100.00,187.07,1043.67,175.98,867.69,1230.74,1054.76,2.05,146.00,325.00,0.34,53101804
A,vacuum,2f_slru,pread,128,1,1,0.00,100.00,98.94,13851.35,133.70,13717.65,13950.29,13816.59,1.59,0.00,214.00,0.34,53105636
A,vacuum,2f_slru,async,128,1,1,0.00,100.00,98.93,5690.21,134.65,5555.56,5789.14,5654.49,1.61,0.00,214.00,0.34,53103540
A,ta,2e_K500,pread,128,1,1,0.00,100.00,179.81,17454.63,135.22,17319.41,17634.44,17499.22,2.10,172.00,408.00,0.34,53102836
A,ta,2e_K500,async,128,1,1,0.00,35.20,352.69,899.71,129.37,770.34,1252.40,1123.03,2.15,181.00,392.00,0.34,53100212
A,ta,2f_slru,pread,128,1,1,0.00,100.00,111.58,18227.85,137.34,18090.51,18339.43,18202.09,1.62,0.00,279.00,0.34,53101396
A,ta,2f_slru,async,128,1,1,0.00,100.00,98.48,7241.11,139.07,7102.03,7339.59,7200.51,1.62,0.00,279.00,0.34,53099788
A,orig,baseline,baseline,128,2,0,0.00,0.00,510.30,0.00,0.00,0.00,510.30,510.30,2.20,180.00,270.00,0.34,53101348
A,vacuum,baseline,baseline,128,2,0,0.00,0.00,694.04,0.00,0.00,0.00,694.04,694.04,2.07,142.00,219.00,0.34,53102912
A,ta,baseline,baseline,128,2,0,0.00,0.00,642.36,0.00,0.00,0.00,642.36,642.36,2.18,177.00,277.00,0.39,53102644
A,orig,2e_K500,pread,128,2,0,0.00,100.00,183.00,20627.63,139.70,20487.93,20810.63,20670.93,2.11,169.00,425.00,0.39,53090496
A,orig,2e_K500,async,128,2,0,0.00,100.00,187.53,1033.28,141.80,891.49,1220.81,1079.02,2.11,181.00,407.00,0.39,53088244
