workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K500,async,10,128,182.53,186.95,180.45,2.19,100.0,1035.86,141.73,893.71,1221.07,1078.85,0.0
A,orig,2e_K500,pread,10,128,186.65,197.66,181.42,6.05,100.0,21696.22,141.81,21557.50,21882.86,21744.15,0.0
A,orig,2f_slru,async,10,128,98.41,105.61,97.23,3.18,100.0,7315.73,143.17,7171.68,7418.75,7274.69,0.0
A,orig,2f_slru,pread,10,128,99.18,108.30,88.43,5.90,100.0,18174.54,141.70,18033.17,18272.51,18131.14,0.0
A,orig,baseline,baseline,10,128,511.69,544.75,502.31,16.13,0.0,0.00,0.00,0.00,511.69,511.69,0.0
A,ta,2e_K500,async,10,128,215.47,627.27,182.43,168.49,26.4,892.56,132.36,760.94,1154.14,1022.48,0.0
A,ta,2e_K500,pread,10,128,182.91,184.41,177.04,2.16,100.0,17561.21,131.08,17430.14,17743.28,17612.22,0.0
A,ta,2f_slru,async,10,128,99.72,107.05,95.84,3.71,100.0,7286.88,132.74,7154.02,7389.15,7256.30,0.0
A,ta,2f_slru,pread,10,128,97.48,111.49,94.39,6.63,100.0,17728.05,130.77,17597.53,17824.54,17694.03,0.0
A,ta,baseline,baseline,10,128,653.38,723.92,639.13,30.92,0.0,0.00,0.00,0.00,653.38,653.38,0.0
A,vacuum,2e_K500,async,10,128,191.56,417.38,181.95,97.54,17.0,840.18,141.59,698.06,1076.78,935.08,0.0
A,vacuum,2e_K500,pread,10,128,185.95,195.35,180.70,4.74,100.0,45256.08,142.09,45113.93,45442.04,45299.12,0.0
A,vacuum,2f_slru,async,10,128,99.30,104.60,97.16,2.76,100.0,5650.01,142.20,5507.62,5748.85,5606.45,0.0
A,vacuum,2f_slru,pread,10,128,97.37,101.32,94.56,2.16,100.0,14083.39,141.70,13941.38,14182.40,14040.39,0.0
A,vacuum,baseline,baseline,10,128,698.11,710.14,686.59,7.26,0.0,0.00,0.00,0.00,698.11,698.11,0.0
