workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,10,128,595.48,601.37,523.93,22.03,100.0,238.72,141.19,97.78,835.89,694.06,0.0
A,orig,2e_K10,pread,10,128,591.17,594.24,586.36,2.71,100.0,2646.68,140.13,2507.05,3233.55,3093.91,0.0
A,orig,2e_K500,async,10,128,634.42,693.09,569.57,42.11,100.0,986.81,140.91,845.63,1620.33,1479.79,0.0
A,orig,2e_K500,pread,10,128,181.55,187.04,178.95,2.72,100.0,19086.07,142.20,18942.51,19267.78,19124.22,0.0
A,orig,2f_slru,async,10,128,98.81,101.83,97.08,1.73,100.0,7205.78,142.01,7063.76,7303.32,7161.28,0.0
A,orig,2f_slru,pread,10,128,95.96,265.79,91.54,86.57,100.0,18382.25,141.07,18240.56,18475.88,18334.19,0.0
A,orig,baseline,baseline,10,128,1010.11,1029.86,876.18,45.18,0.0,0.00,0.00,0.00,1010.11,1010.11,0.0
A,ta,2e_K10,async,10,128,593.93,635.62,525.94,30.35,100.0,268.02,140.84,126.59,862.32,721.96,0.0
A,ta,2e_K10,pread,10,128,597.35,666.04,528.84,44.80,100.0,2068.12,141.56,1927.10,2673.38,2520.23,0.0
A,ta,2e_K500,async,10,128,638.81,881.99,600.82,104.62,45.2,876.35,141.46,735.38,1523.69,1382.20,0.0
A,ta,2e_K500,pread,10,128,575.53,604.89,541.72,19.60,100.0,17319.08,141.06,17178.29,17880.50,17739.72,0.0
A,ta,2f_slru,async,10,128,98.22,140.43,96.01,22.45,100.0,7231.81,141.72,7090.01,7329.01,7187.21,0.0
A,ta,2f_slru,pread,10,128,96.63,289.16,94.52,102.85,100.0,17700.88,141.31,17559.87,17797.18,17656.17,0.0
A,ta,baseline,baseline,10,128,1078.58,1167.29,930.14,67.46,0.0,0.00,0.00,0.00,1078.58,1078.58,0.0
A,vacuum,2e_K10,async,10,128,418.37,484.04,404.72,32.20,100.0,230.75,140.89,89.31,649.57,508.16,0.0
A,vacuum,2e_K10,pread,10,128,415.72,481.85,410.64,26.85,100.0,2157.31,142.12,2014.92,2576.72,2434.27,0.0
A,vacuum,2e_K500,async,10,128,418.18,466.62,391.18,25.60,18.6,848.14,141.11,708.03,1271.12,1130.90,0.0
A,vacuum,2e_K500,pread,10,128,460.85,469.18,452.35,5.47,100.0,15626.70,140.94,15484.29,16087.33,15944.91,0.0
A,vacuum,2f_slru,async,10,128,96.93,100.65,92.61,2.53,100.0,5621.42,142.28,5478.98,5718.09,5575.66,0.0
A,vacuum,2f_slru,pread,10,128,96.20,99.06,95.00,1.32,100.0,13861.74,141.52,13720.21,13957.74,13816.20,0.0
A,vacuum,baseline,baseline,10,128,997.36,1059.23,955.07,35.81,0.0,0.00,0.00,0.00,997.36,997.36,0.0
B,orig,2e_K10,async,10,128,525.71,953.24,459.10,207.95,100.0,243.18,141.85,101.95,767.72,626.10,0.0
B,orig,2e_K10,pread,10,128,527.38,546.27,459.94,22.77,100.0,2652.63,141.07,2509.57,3169.36,3028.87,0.0
B,orig,2e_K500,async,10,128,181.05,182.37,179.85,0.88,100.0,984.91,140.95,843.77,1166.14,1024.70,0.0
B,orig,2e_K500,pread,10,128,183.47,194.71,179.26,5.91,100.0,18705.04,141.70,18563.86,18885.75,18745.52,0.0
B,orig,2f_slru,async,10,128,97.99,102.39,95.82,2.09,100.0,7282.06,141.16,7139.77,7381.93,7240.08,0.0
B,orig,2f_slru,pread,10,128,97.07,110.36,89.94,7.02,100.0,18492.11,141.86,18351.10,18589.08,18448.06,0.0
B,orig,baseline,baseline,10,128,967.89,971.27,831.62,44.44,0.0,0.00,0.00,0.00,967.89,967.89,0.0
B,ta,2e_K10,async,10,128,542.31,1047.01,469.49,227.75,71.9,268.62,141.01,126.03,811.61,668.99,0.0
B,ta,2e_K10,pread,10,128,508.54,577.75,479.48,35.08,100.0,2105.82,141.90,1963.78,2645.01,2503.26,0.0
