workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,923.32,0.00,0.00,0.00,923.32,923.32,2.16,187.00,257.00,1.26,53120868
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,1024.10,0.00,0.00,0.00,1024.10,1024.10,2.01,143.00,229.00,1.26,53122640
A,ta,baseline,baseline,128,1,1,0.00,0.00,1195.54,0.00,0.00,0.00,1195.54,1195.54,2.16,184.00,262.00,1.26,53123588
B,orig,baseline,baseline,128,1,1,0.00,0.00,987.65,0.00,0.00,0.00,987.65,987.65,2.24,188.00,265.00,1.26,53124204
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1116.70,0.00,0.00,0.00,1116.70,1116.70,2.08,145.00,207.00,1.26,53125944
B,ta,baseline,baseline,128,1,1,0.00,0.00,1014.65,0.00,0.00,0.00,1014.65,1014.65,2.22,188.00,270.00,1.26,53126200
C,orig,baseline,baseline,128,1,1,0.00,0.00,1070.18,0.00,0.00,0.00,1070.18,1070.18,1.62,19.00,32.00,1.26,53126896
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,843.15,0.00,0.00,0.00,843.15,843.15,1.57,17.00,25.00,1.26,53126996
C,ta,baseline,baseline,128,1,1,0.00,0.00,925.76,0.00,0.00,0.00,925.76,925.76,1.62,19.00,35.00,1.26,53126392
A,orig,2e_K10,pread,128,1,1,0.00,100.00,179.58,2598.33,181.40,2416.93,2777.91,2596.51,2.13,189.00,271.00,1.26,53125836
A,orig,2e_K10,async,128,1,1,0.00,100.00,181.36,278.10,180.52,97.58,459.46,278.94,2.16,189.00,270.00,1.26,53124868
A,orig,2e_K500,pread,128,1,1,0.00,100.00,181.70,20530.88,180.43,20350.45,20712.58,20532.15,1.71,52.00,318.00,1.24,53115540
A,orig,2e_K500,async,128,1,1,0.00,15.10,3298.57,885.70,175.20,710.50,4184.27,4009.07,2.21,186.00,399.00,1.24,53103060
A,orig,2f_slru,pread,128,1,1,0.00,100.00,100.62,18693.80,172.61,18521.19,18794.42,18621.81,1.61,0.00,278.00,1.24,53115012
A,orig,2f_slru,async,128,1,1,0.00,100.00,95.36,7282.60,175.03,7107.58,7377.96,7202.94,1.61,0.00,278.00,1.24,53114500
A,vacuum,2e_K10,pread,128,1,1,0.00,100.00,732.40,8025.12,208.85,7816.27,8757.52,8548.67,2.55,140.00,249.00,1.24,53118320
A,vacuum,2e_K10,async,128,1,1,0.00,100.00,183.62,265.95,175.61,90.34,449.57,273.96,2.03,140.00,248.00,1.24,53118352
A,vacuum,2e_K500,pread,128,1,1,0.00,100.00,782.75,51731.99,520.49,51211.50,52514.74,51994.25,1.83,56.00,306.00,1.24,53112188
A,vacuum,2e_K500,async,128,1,1,0.00,8.00,703.56,1776.63,840.25,936.38,2480.19,1639.94,2.62,137.00,349.00,1.24,53116224
A,vacuum,2f_slru,pread,128,1,1,0.00,100.00,107.29,13332.43,179.69,13152.75,13439.72,13260.04,1.62,0.00,214.00,1.24,53116784
A,vacuum,2f_slru,async,128,1,1,0.00,100.00,99.18,5567.34,182.44,5384.90,5666.52,5484.08,1.61,0.00,214.00,1.24,53118652
A,ta,2e_K10,pread,128,1,1,0.00,100.00,189.09,1997.41,181.50,1815.91,2186.50,2005.00,2.21,187.00,270.00,1.24,53118516
A,ta,2e_K10,async,128,1,1,0.00,100.00,199.24,286.88,175.68,111.20,486.12,310.44,2.14,187.00,270.00,1.24,53118832
A,ta,2e_K500,pread,128,1,1,0.00,100.00,200.62,29510.62,179.58,29331.05,29711.24,29531.67,2.23,181.00,420.00,1.24,53123884
A,ta,2e_K500,async,128,1,1,0.00,26.50,183.69,907.12,181.58,725.53,1090.81,909.22,2.17,187.00,381.00,1.24,53117272
A,ta,2f_slru,pread,128,1,1,0.00,100.00,101.30,17326.11,180.63,17145.48,17427.41,17246.78,1.59,0.00,279.00,1.24,53127748
A,ta,2f_slru,async,128,1,1,0.00,100.00,110.59,7197.73,175.66,7022.07,7308.32,7132.66,1.64,0.00,279.00,1.22,53125348
B,orig,2e_K10,pread,128,1,1,0.00,100.00,508.80,2711.76,182.86,2528.89,3220.56,3037.69,2.22,187.00,281.00,1.22,53129884
B,orig,2e_K10,async,128,1,1,0.00,100.00,519.11,178.64,74.77,103.86,697.75,622.97,2.23,187.00,278.00,1.22,53117192
B,orig,2e_K500,pread,128,1,1,0.00,100.00,406.57,18362.65,181.30,18181.35,18769.22,18587.92,1.69,4.00,285.00,1.22,53121812
B,orig,2e_K500,async,128,1,1,0.00,100.00,494.07,1038.78,176.83,861.95,1532.85,1356.02,2.22,184.00,335.00,1.22,53124360
B,orig,2f_slru,pread,128,1,1,0.00,100.00,116.27,18726.38,177.19,18549.19,18842.65,18665.46,1.63,0.00,278.00,1.22,53119916
B,orig,2f_slru,async,128,1,1,0.00,100.00,99.61,7180.62,181.14,6999.48,7280.23,7099.09,1.68,0.00,278.00,1.22,53124592
B,vacuum,2e_K10,pread,128,1,1,0.00,100.00,552.98,2122.77,181.26,1941.51,2675.75,2494.49,2.10,145.00,218.00,1.22,53125624
B,vacuum,2e_K10,async,128,1,1,0.00,100.00,572.86,284.97,191.31,93.66,857.83,666.52,2.17,144.00,216.00,1.22,53126380
B,vacuum,2e_K500,pread,128,1,1,0.00,100.00,199.22,14555.21,176.57,14378.64,14754.43,14577.86,1.66,4.00,224.00,1.22,53128872
B,vacuum,2e_K500,async,128,1,1,0.00,12.70,550.70,926.52,182.71,743.81,1477.22,1294.51,2.09,143.00,276.00,1.22,53124648
