workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2e_K10,async,e2e_us,10,-20.02,-12.09,-35.15,-5.91,-58.0,15.53,9/10,robust,seed01=15.5;seed02=-3.3;seed03=-13.8;seed04=-17.2;seed05=-52.7;seed06=-48.5;seed07=-5.3;seed08=-6.5;seed09=-10.4;seed10=-58.0
A,orig,2e_K10,async,e2e_warm_us,10,-37.88,-28.42,-52.1,-25.0,-72.17,-11.55,10/10,robust,seed01=-11.6;seed02=-20.1;seed03=-30.2;seed04=-31.3;seed05=-68.7;seed06=-68.7;seed07=-23.5;seed08=-26.0;seed09=-26.7;seed10=-72.2
A,orig,2e_K10,async,first_query_us,10,-49.62,-40.01,-63.1,-37.39,-81.82,-30.28,10/10,robust,seed01=-30.3;seed02=-31.5;seed03=-41.6;seed04=-41.0;seed05=-79.7;seed06=-79.7;seed07=-34.7;seed08=-36.8;seed09=-39.0;seed10=-81.8
A,orig,2e_K10,pread,e2e_us,10,261.14,258.73,227.82,305.79,187.44,431.79,10/10,robust,seed01=431.8;seed02=277.1;seed03=259.3;seed04=220.1;seed05=216.7;seed06=219.5;seed07=268.8;seed08=258.2;seed09=272.5;seed10=187.4
A,orig,2e_K10,pread,e2e_warm_us,10,243.42,240.92,211.52,285.75,173.34,404.65,10/10,robust,seed01=404.7;seed02=260.6;seed03=243.1;seed04=206.3;seed05=200.6;seed06=199.5;seed07=250.9;seed08=238.8;seed09=256.5;seed10=173.3
A,orig,2e_K10,pread,first_query_us,10,-54.45,-42.19,-66.57,-43.29,-81.97,-35.18,10/10,robust,seed01=-65.2;seed02=-39.6;seed03=-42.5;seed04=-41.5;seed05=-79.9;seed06=-79.9;seed07=-35.2;seed08=-36.9;seed09=-41.9;seed10=-82.0
A,orig,2e_K500,async,e2e_us,10,95.76,77.41,53.8,155.1,15.94,339.3,10/10,robust,seed01=124.9;seed02=89.7;seed03=80.1;seed04=60.4;seed05=33.7;seed06=339.3;seed07=99.0;seed08=74.7;seed09=39.8;seed10=15.9
A,orig,2e_K500,async,e2e_warm_us,10,78.01,59.48,37.44,136.87,1.9,320.12,10/10,robust,seed01=97.8;seed02=73.0;seed03=63.7;seed04=46.5;seed05=17.5;seed06=320.1;seed07=80.8;seed08=55.3;seed09=23.6;seed10=1.9
A,orig,2e_K500,async,first_query_us,10,-22.25,-37.93,-62.1,40.39,-81.75,240.23,9/10,directional,seed01=-64.9;seed02=-28.9;seed03=-35.6;seed04=-37.2;seed05=-79.5;seed06=240.2;seed07=-19.0;seed08=-38.7;seed09=-77.2;seed10=-81.7
A,orig,2e_K500,pread,e2e_us,10,2472.17,2286.1,2112.15,2917.87,1807.5,4049.12,10/10,robust,seed01=4049.1;seed02=3321.3;seed03=2045.9;seed04=1807.5;seed05=2375.3;seed06=2179.7;seed07=2523.3;seed08=2268.2;seed09=2304.0;seed10=1847.3
A,orig,2e_K500,pread,e2e_warm_us,10,2454.29,2268.2,2096.03,2897.85,1793.29,4022.11,10/10,robust,seed01=4022.1;seed02=3304.5;seed03=2029.8;seed04=1793.3;seed05=2359.1;seed06=2159.7;seed07=2505.0;seed08=2248.6;seed09=2287.8;seed10=1833.1
A,orig,2e_K500,pread,first_query_us,10,-61.09,-71.16,-73.58,-47.88,-82.03,-31.28,10/10,robust,seed01=-64.5;seed02=-31.3;seed03=-41.8;seed04=-82.0;seed05=-79.7;seed06=-79.6;seed07=-33.0;seed08=-39.4;seed09=-77.8;seed10=-81.7
A,orig,2f_slru,async,e2e_us,10,776.38,729.13,692.35,903.77,623.03,1304.04,10/10,robust,seed01=1304.0;seed02=756.4;seed03=747.3;seed04=623.0;seed05=720.6;seed06=722.0;seed07=733.9;seed08=724.4;seed09=797.6;seed10=634.4
A,orig,2f_slru,async,e2e_warm_us,10,758.64,710.18,676.21,883.81,608.96,1277.48,10/10,robust,seed01=1277.5;seed02=739.4;seed03=731.2;seed04=609.0;seed05=704.5;seed06=702.8;seed07=715.8;seed08=704.6;seed09=781.4;seed10=620.3
A,orig,2f_slru,async,first_query_us,10,-88.2,-88.96,-89.37,-86.39,-90.22,-80.65,10/10,robust,seed01=-80.6;seed02=-88.2;seed03=-88.8;seed04=-90.2;seed05=-89.0;seed06=-88.9;seed07=-89.0;seed08=-89.0;seed09=-88.0;seed10=-90.2
A,orig,2f_slru,pread,e2e_us,10,2109.68,1994.63,1896.75,2428.77,1724.19,3421.0,10/10,robust,seed01=3421.0;seed02=2075.3;seed03=2052.3;seed04=1729.1;seed05=1975.2;seed06=2000.1;seed07=1989.2;seed08=1950.0;seed09=2180.5;seed10=1724.2
A,orig,2f_slru,pread,e2e_warm_us,10,2091.88,1975.8,1880.26,2408.72,1710.09,3393.65,10/10,robust,seed01=3393.6;seed02=2058.6;seed03=2035.9;seed04=1715.1;seed05=1959.1;seed06=1980.6;seed07=1971.0;seed08=1930.6;seed09=2164.2;seed10=1710.1
A,orig,2f_slru,pread,first_query_us,10,-88.39,-89.16,-89.56,-86.58,-90.5,-80.88,10/10,robust,seed01=-80.9;seed02=-88.5;seed03=-88.7;seed04=-90.5;seed05=-89.2;seed06=-89.2;seed07=-89.1;seed08=-89.2;seed09=-88.2;seed10=-90.3
A,ta,2e_K10,async,e2e_us,10,-13.26,-10.7,-31.63,4.58,-60.11,29.35,6/10,tie,seed01=-1.4;seed02=8.8;seed03=10.3;seed04=-20.1;seed05=-41.3;seed06=-60.1;seed07=-22.1;seed08=16.5;seed09=29.3;seed10=-52.6
A,ta,2e_K10,async,e2e_warm_us,10,-31.49,-28.37,-48.53,-15.06,-74.91,6.77,9/10,robust,seed01=-23.7;seed02=-10.0;seed03=-8.0;seed04=-33.1;seed05=-60.1;seed06=-74.9;seed07=-37.1;seed08=-6.6;seed09=6.8;seed10=-68.1
A,ta,2e_K10,async,first_query_us,10,-46.09,-43.58,-61.93,-30.96,-84.35,-12.03,10/10,robust,seed01=-42.2;seed02=-26.6;seed03=-24.3;seed04=-44.9;seed05=-76.2;seed06=-84.4;seed07=-47.6;seed08=-22.5;seed09=-12.0;seed10=-80.1
A,ta,2e_K10,pread,e2e_us,10,191.0,200.2,153.28,230.33,86.3,312.05,10/10,robust,seed01=224.2;seed02=228.7;seed03=225.3;seed04=147.9;seed05=176.2;seed06=86.3;seed07=135.1;seed08=235.6;seed09=312.1;seed10=138.6
A,ta,2e_K10,pread,e2e_warm_us,10,172.67,179.78,136.49,210.21,71.31,289.55,10/10,robust,seed01=202.2;seed02=209.7;seed03=207.0;seed04=133.7;seed05=157.4;seed06=71.3;seed07=120.4;seed08=212.4;seed09=289.6;seed10=123.2
A,ta,2e_K10,pread,first_query_us,10,-48.9,-46.14,-64.76,-33.15,-84.39,-12.1,10/10,robust,seed01=-70.6;seed02=-26.9;seed03=-24.1;seed04=-44.6;seed05=-76.1;seed06=-84.4;seed07=-47.7;seed08=-22.5;seed09=-12.1;seed10=-80.1
A,ta,2e_K500,async,e2e_us,10,63.05,60.73,39.72,86.2,-6.27,117.89,9/10,robust,seed01=83.8;seed02=92.4;seed03=111.1;seed04=41.3;seed05=41.8;seed06=-6.3;seed07=40.4;seed08=117.9;seed09=79.7;seed10=28.5
A,ta,2e_K500,async,e2e_warm_us,10,44.6,42.73,22.87,66.25,-21.19,94.87,9/10,robust,seed01=59.3;seed02=73.7;seed03=92.2;seed04=28.1;seed05=22.7;seed06=-21.2;seed07=25.9;seed08=94.9;seed09=57.3;seed10=13.1
A,ta,2e_K500,async,first_query_us,10,-47.63,-51.91,-63.26,-30.5,-83.64,-2.74,10/10,robust,seed01=-60.2;seed02=-25.7;seed03=-9.3;seed04=-40.8;seed05=-74.2;seed06=-83.6;seed07=-43.6;seed08=-2.7;seed09=-67.0;seed10=-69.1
A,ta,2e_K500,pread,e2e_us,10,2078.13,2212.16,1801.19,2360.17,1423.85,2935.95,10/10,robust,seed01=2454.7;seed02=2285.5;seed03=2172.3;seed04=1557.8;seed05=2252.0;seed06=1423.8;seed07=1545.0;seed08=2303.5;seed09=2936.0;seed10=1850.7
A,ta,2e_K500,pread,e2e_warm_us,10,2060.0,2193.6,1785.14,2339.91,1409.05,2913.31,10/10,robust,seed01=2433.1;seed02=2266.8;seed03=2154.0;seed04=1544.7;seed05=2233.2;seed06=1409.1;seed07=1530.2;seed08=2280.2;seed09=2913.3;seed10=1835.3
A,ta,2e_K500,pread,first_query_us,10,-61.87,-70.83,-72.99,-49.53,-84.37,-28.16,10/10,robust,seed01=-72.7;seed02=-28.2;seed03=-76.5;seed04=-46.6;seed05=-76.1;seed06=-84.4;seed07=-49.1;seed08=-36.1;seed09=-69.0;seed10=-80.0
A,ta,2f_slru,async,e2e_us,10,795.06,854.7,679.89,912.6,525.15,1143.38,10/10,robust,seed01=991.1;seed02=864.8;seed03=848.2;seed04=579.5;seed05=861.2;seed06=525.2;seed07=573.3;seed08=867.0;seed09=1143.4;seed10=697.0
A,ta,2f_slru,async,e2e_warm_us,10,777.01,836.09,663.73,893.04,510.45,1121.01,10/10,robust,seed01=970.3;seed02=845.9;seed03=829.7;seed04=566.4;seed05=842.4;seed06=510.4;seed07=558.5;seed08=844.0;seed09=1121.0;seed10=681.4
A,ta,2f_slru,async,first_query_us,10,-88.05,-87.29,-89.56,-86.51,-91.61,-83.57,10/10,robust,seed01=-85.4;seed02=-87.0;seed03=-87.4;seed04=-90.9;seed05=-87.1;seed06=-91.6;seed07=-91.0;seed08=-87.2;seed09=-83.6;seed10=-89.3
A,ta,2f_slru,pread,e2e_us,10,2086.79,2232.5,1808.0,2373.07,1412.74,2930.38,10/10,robust,seed01=2552.8;seed02=2270.5;seed03=2263.4;seed04=1550.1;seed05=2230.8;seed06=1412.7;seed07=1563.1;seed08=2234.2;seed09=2930.4;seed10=1860.0
