workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,541.27,0.00,0.00,0.00,541.27,541.27,2.26,180.00,270.00,2.34,49446832
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,703.30,0.00,0.00,0.00,703.30,703.30,2.09,142.00,219.00,2.34,49449496
A,ta,baseline,baseline,128,1,1,0.00,0.00,677.49,0.00,0.00,0.00,677.49,677.49,2.24,177.00,277.00,2.34,49461160
B,orig,baseline,baseline,128,1,1,0.00,0.00,760.11,0.00,0.00,0.00,760.11,760.11,2.31,181.00,273.00,2.34,49462156
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,974.44,0.00,0.00,0.00,974.44,974.44,2.18,144.00,237.00,2.34,49463424
B,ta,baseline,baseline,128,1,1,0.00,0.00,771.86,0.00,0.00,0.00,771.86,771.86,2.35,182.00,277.00,2.34,49461236
C,orig,baseline,baseline,128,1,1,0.00,0.00,1102.44,0.00,0.00,0.00,1102.44,1102.44,1.66,24.00,25.00,2.34,49453728
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,974.79,0.00,0.00,0.00,974.79,974.79,1.58,14.00,33.00,2.34,49456456
C,ta,baseline,baseline,128,1,1,0.00,0.00,911.83,0.00,0.00,0.00,911.83,911.83,1.65,25.00,27.00,2.34,49457964
A,orig,layers_5,pread,128,1,1,0.00,100.00,188.23,515.17,69.24,445.93,703.40,634.16,2.26,180.00,271.00,2.34,49458864
A,orig,layers_5,async,128,1,1,0.00,100.00,375.25,255.09,183.22,71.86,630.34,447.11,2.28,180.00,271.00,2.39,49460364
A,orig,layers_92,pread,128,1,1,0.00,100.00,199.35,8155.09,99.53,8055.56,8354.44,8254.91,2.19,177.00,286.00,2.39,49461004
A,orig,layers_92,async,128,1,1,0.00,100.00,415.12,451.07,246.74,204.32,866.19,619.44,2.22,178.00,283.00,2.39,49462196
A,orig,2d,pread,128,1,1,0.00,100.00,184.21,1768.12,94.59,1673.54,1952.33,1857.75,2.20,177.00,286.00,2.39,49462252
A,orig,2d,async,128,1,1,0.00,100.00,368.38,328.13,238.69,89.44,696.51,457.82,2.22,178.00,283.00,2.39,49463060
A,orig,2e_K10,pread,128,1,1,0.00,100.00,188.38,2624.81,96.56,2528.25,2813.19,2716.63,2.25,181.00,287.00,2.39,49464492
A,orig,2e_K10,async,128,1,1,0.00,100.00,368.41,336.09,233.55,102.54,704.50,470.95,2.26,181.00,287.00,2.39,49465064
A,orig,2e_K40,pread,128,1,1,0.00,100.00,191.24,5184.17,97.74,5086.43,5375.41,5277.67,2.21,182.00,306.00,2.39,49465668
A,orig,2e_K40,async,128,1,1,0.00,100.00,374.57,380.82,244.52,136.30,755.39,510.87,2.25,182.00,306.00,2.39,49467368
A,orig,2e_K92,pread,128,1,1,0.00,100.00,203.95,9619.23,97.50,9521.72,9823.18,9725.67,2.24,183.00,325.00,2.39,49468004
A,orig,2e_K92,async,128,1,1,0.00,100.00,257.27,464.40,246.59,217.81,721.67,475.08,2.24,183.00,327.00,2.39,49468816
A,orig,2e_K500,pread,128,1,1,0.00,100.00,197.34,20608.21,98.04,20510.17,20805.55,20707.51,2.15,168.00,430.00,2.39,49453748
A,orig,2e_K500,async,128,1,1,0.00,100.00,185.60,1106.57,238.73,867.84,1292.17,1053.44,2.21,179.00,413.00,2.39,49464500
A,orig,2f_slru,pread,128,1,1,0.00,100.00,116.68,18289.26,96.96,18192.30,18405.94,18308.98,1.64,0.00,278.00,2.39,49467544
A,orig,2f_slru,async,128,1,1,0.00,100.00,107.44,7301.89,243.09,7058.81,7409.33,7166.25,1.66,0.00,278.00,2.44,49462276
A,vacuum,layers_5,pread,128,1,1,0.00,100.00,405.27,674.74,87.98,586.76,1080.01,992.03,2.09,143.00,221.00,2.44,49465276
A,vacuum,layers_5,async,128,1,1,0.00,100.00,558.24,313.75,243.36,70.39,871.99,628.63,2.12,143.00,219.00,2.44,49469364
