workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,355.04,364.92,323.26,13.64,100.0,267.64,180.41,84.84,620.07,439.44,0.0
A,orig,2d,pread,5,128,181.88,182.27,179.81,1.11,100.0,1913.98,178.25,1737.79,2093.92,1917.73,0.0
A,orig,2e_K10,async,10,128,360.08,405.18,334.42,22.47,100.0,279.73,179.91,97.79,641.00,459.59,0.0
A,orig,2e_K10,pread,5,128,180.11,185.30,177.10,3.01,100.0,2658.22,178.37,2482.73,2838.33,2662.84,0.0
A,orig,2e_K500,async,10,128,182.06,183.92,177.44,1.80,100.0,1050.92,178.51,871.31,1233.71,1054.11,0.0
A,orig,2e_K500,pread,5,128,183.16,185.05,179.25,2.22,100.0,21731.90,184.81,21547.10,21917.26,21732.46,0.0
A,orig,2f_slru,async,10,128,98.18,100.62,94.91,1.75,100.0,7220.20,179.00,7040.95,7318.82,7139.57,0.0
A,orig,2f_slru,pread,5,128,96.22,98.52,91.36,2.49,100.0,18519.92,181.41,18340.58,18616.98,18437.64,0.0
A,orig,baseline,baseline,10,128,503.03,516.69,495.30,7.37,0.0,0.00,0.00,0.00,503.03,503.03,0.0
A,orig,layers_5,async,10,128,365.75,399.40,355.25,15.74,100.0,247.61,178.50,69.11,616.50,435.40,0.0
A,orig,layers_5,pread,5,128,180.19,183.07,174.20,3.13,100.0,614.95,179.79,435.16,794.95,616.33,0.0
B,orig,2d,async,10,128,410.63,422.17,394.41,9.39,100.0,264.39,178.73,85.76,678.39,496.83,0.0
B,orig,2d,pread,5,128,410.05,417.98,399.97,7.43,100.0,1885.64,178.99,1707.80,2292.93,2113.95,0.0
B,orig,2e_K10,async,10,128,408.35,415.47,401.62,4.91,100.0,279.80,179.94,99.45,689.73,507.97,0.0
B,orig,2e_K10,pread,5,128,412.40,418.66,398.12,9.06,100.0,2816.47,179.60,2631.62,3227.91,3049.77,0.0
B,orig,2e_K500,async,10,128,454.65,467.43,452.11,6.57,100.0,1081.93,179.37,902.50,1538.99,1358.75,0.0
B,orig,2e_K500,pread,5,128,454.47,455.65,405.39,19.84,100.0,18979.08,179.41,18799.20,19433.55,19253.67,0.0
B,orig,2f_slru,async,10,128,99.53,102.55,98.22,1.54,100.0,7284.12,181.87,7100.88,7383.15,7199.90,0.0
B,orig,2f_slru,pread,5,128,98.52,99.53,96.54,1.08,100.0,18167.48,177.97,17989.52,18266.89,18088.93,0.0
B,orig,baseline,baseline,10,128,732.97,748.16,672.89,20.33,0.0,0.00,0.00,0.00,732.97,732.97,0.0
B,orig,layers_5,async,10,128,413.62,416.73,398.56,5.43,100.0,249.08,179.28,69.94,662.05,483.48,0.0
B,orig,layers_5,pread,5,128,406.21,412.72,401.30,4.13,100.0,616.58,178.12,437.95,1024.76,844.16,0.0
C,orig,2d,async,10,128,660.82,673.92,630.77,11.95,100.0,246.87,179.01,67.95,907.49,728.88,0.0
C,orig,2d,pread,5,128,658.00,685.63,622.49,22.16,100.0,541.00,179.47,359.56,1199.00,1020.92,0.0
C,orig,2e_K10,async,10,128,181.13,186.28,177.51,2.85,100.0,258.05,179.02,79.56,439.24,260.02,0.0
C,orig,2e_K10,pread,5,128,182.05,182.35,177.28,1.93,100.0,1358.98,179.37,1175.15,1541.34,1357.51,0.0
C,orig,2e_K500,async,10,128,182.38,204.48,177.22,11.85,67.0,634.23,178.84,455.09,816.88,638.53,0.0
C,orig,2e_K500,pread,5,128,182.27,182.75,176.84,2.37,100.0,2428.43,177.10,2249.46,2610.70,2431.73,0.0
C,orig,2f_slru,async,10,128,96.48,99.02,91.08,2.63,100.0,978.38,177.88,801.94,1073.70,896.59,0.0
C,orig,2f_slru,pread,5,128,94.12,100.64,89.64,4.28,100.0,3061.69,177.95,2883.62,3160.00,2981.93,0.0
C,orig,baseline,baseline,10,128,1072.26,1076.62,1061.03,4.82,0.0,0.00,0.00,0.00,1072.26,1072.26,0.0
C,orig,layers_5,async,10,128,1036.49,1042.78,911.36,38.13,100.0,249.22,179.06,69.51,1285.67,1106.61,0.0
C,orig,layers_5,pread,5,128,1039.81,1040.73,1006.65,13.20,100.0,621.94,179.33,442.29,1660.23,1481.52,0.0
