workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,1008.95,0.00,0.00,0.00,1008.95,1008.95,2.14,182.00,264.00,1.11,19869248
B,orig,baseline,baseline,128,1,1,0.00,0.00,1655.41,0.00,0.00,0.00,1655.41,1655.41,2.73,195.00,262.00,1.11,19869512
C,orig,baseline,baseline,128,1,1,0.00,0.00,959.85,0.00,0.00,0.00,959.85,959.85,1.59,18.00,35.00,1.11,19870820
A,orig,layers_5,pread,128,1,1,0.00,100.00,915.84,629.71,189.41,440.31,1545.55,1356.15,2.21,184.00,262.00,1.10,19869904
A,orig,layers_5,async,128,1,1,0.00,100.00,971.90,258.14,189.00,69.14,1230.04,1041.04,2.14,184.00,262.00,1.10,19872888
A,orig,2d,pread,128,1,1,0.00,100.00,567.89,1874.91,175.83,1699.09,2442.80,2266.98,2.11,181.00,272.00,1.10,19873104
A,orig,2d,async,128,1,1,0.00,100.00,576.02,274.39,188.36,86.02,850.41,662.04,2.15,181.00,271.00,1.10,19868340
A,orig,2e_K10,pread,128,1,1,0.00,100.00,180.80,2681.42,176.63,2504.79,2862.22,2685.59,2.14,181.00,287.00,1.10,19869684
A,orig,2e_K10,async,128,1,1,0.00,100.00,178.92,274.11,176.09,98.01,453.03,276.93,2.16,181.00,287.00,1.10,19869892
A,orig,2e_K500,pread,128,1,1,0.00,100.00,182.52,22053.80,187.87,21865.93,22236.32,22048.45,2.07,170.00,443.00,1.10,19870464
A,orig,2e_K500,async,128,1,1,0.00,100.00,182.55,1005.61,178.55,827.07,1188.16,1009.62,2.14,189.00,385.00,1.10,19870572
A,orig,2f_top14,pread,128,1,1,0.00,100.00,569.85,1420.81,138.76,1282.05,1990.66,1851.90,2.16,183.00,277.00,1.10,19871260
A,orig,2f_top14,async,128,1,1,0.00,100.00,572.25,224.48,143.05,81.43,796.73,653.68,2.18,183.00,277.00,1.10,19871244
A,orig,2f_top28,pread,128,1,1,0.00,100.00,184.06,2549.30,184.33,2364.98,2733.36,2549.04,2.13,182.00,288.00,1.10,19872060
A,orig,2f_top28,async,128,1,1,0.00,100.00,182.06,279.53,181.37,98.16,461.59,280.22,2.15,182.00,288.00,1.10,19872496
A,orig,2f_top100,pread,128,1,1,0.00,100.00,182.44,8894.83,151.41,8743.42,9077.27,8925.86,2.16,185.00,316.00,1.10,19856440
A,orig,2f_top100,async,128,1,1,0.00,100.00,180.79,344.18,146.94,197.24,524.97,378.03,2.17,185.00,318.00,1.10,19862800
A,orig,2f_top500,pread,128,1,1,0.00,100.00,181.42,21614.56,97.15,21517.41,21795.98,21698.83,2.05,170.00,443.00,1.10,19865036
A,orig,2f_top500,async,128,1,1,0.00,100.00,183.38,955.99,153.09,802.90,1139.37,986.28,2.11,189.00,383.00,1.10,19864204
A,orig,2f_slru,pread,128,1,1,0.00,100.00,95.03,23184.74,150.82,23033.92,23279.77,23128.95,1.54,0.00,278.00,1.10,19866088
A,orig,2f_slru,async,128,1,1,0.00,100.00,96.58,7229.71,152.00,7077.72,7326.29,7174.30,1.58,0.00,278.00,1.10,19864976
A,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,473.13,980.72,148.99,831.73,1453.85,1304.86,2.17,182.00,280.00,1.10,19865148
