workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,568.25,572.69,502.34,20.21,100.0,258.17,172.36,85.34,827.04,654.54,0.0
A,orig,2d,pread,5,128,569.91,571.75,567.18,1.78,100.0,1859.70,174.26,1685.44,2431.77,2257.51,0.0
A,orig,2e_K10,async,10,128,181.12,551.19,178.31,149.60,100.0,272.61,173.43,98.75,454.54,280.34,0.0
A,orig,2e_K10,pread,5,128,183.40,183.83,182.36,0.55,100.0,2714.01,173.02,2541.12,2896.78,2723.89,0.0
A,orig,2e_K500,async,10,128,182.82,184.79,181.57,1.18,100.0,1003.58,172.02,831.72,1187.24,1014.62,0.0
A,orig,2e_K500,pread,5,128,181.31,285.11,179.53,51.64,100.0,22218.85,172.15,22046.43,22399.04,22226.62,0.0
A,orig,2f_slru,async,10,128,97.69,103.89,95.60,3.03,100.0,7220.27,172.12,7049.11,7319.18,7148.30,0.0
A,orig,2f_slru,pread,5,128,95.76,134.42,90.42,19.76,100.0,21516.04,171.82,21344.22,21609.93,21438.11,0.0
A,orig,2f_top100,async,10,128,182.72,186.60,179.71,2.29,100.0,375.46,174.43,200.97,556.84,382.05,0.0
A,orig,2f_top100,pread,5,128,181.24,185.33,176.95,2.93,100.0,8937.22,171.97,8766.34,9119.93,8949.05,0.0
A,orig,2f_top14,async,10,128,570.13,1059.21,504.95,268.14,100.0,254.08,172.94,80.69,824.97,651.66,0.0
A,orig,2f_top14,pread,5,128,570.89,574.57,565.09,3.79,100.0,1460.20,177.32,1282.88,2033.76,1856.44,0.0
A,orig,2f_top28,async,10,128,182.03,436.51,179.87,138.11,100.0,272.86,171.99,97.72,454.48,280.64,0.0
A,orig,2f_top28,pread,5,128,182.44,182.90,180.61,0.97,100.0,2571.64,173.58,2398.06,2752.44,2578.86,0.0
A,orig,2f_top500,async,10,128,183.36,3017.87,182.56,1545.42,100.0,989.88,175.56,816.51,1174.82,1000.18,0.0
A,orig,2f_top500,pread,5,128,183.11,185.48,180.91,1.63,100.0,21824.47,171.72,21653.08,22007.58,21836.19,0.0
A,orig,baseline,baseline,10,128,939.22,999.45,894.47,39.46,0.0,0.00,0.00,0.00,939.22,939.22,0.0
A,orig,layers_5,async,10,128,957.99,977.54,788.85,55.58,100.0,244.91,175.67,69.44,1206.75,1028.43,0.0
A,orig,layers_5,pread,5,128,918.50,964.28,877.74,31.38,100.0,611.39,171.32,440.29,1539.17,1361.92,0.0
A,orig,leaf_freq_K10,async,10,128,493.54,594.77,462.20,54.08,100.0,252.86,177.70,75.33,743.51,568.67,0.0
A,orig,leaf_freq_K10,pread,5,128,531.49,584.42,521.10,26.18,100.0,1108.08,177.78,935.59,1696.66,1518.88,0.0
A,orig,leaf_rand_K10,async,10,128,927.69,984.77,823.61,49.73,100.0,250.30,172.80,77.11,1176.33,1004.39,0.0
A,orig,leaf_rand_K10,pread,5,128,932.82,1184.36,862.88,133.23,100.0,1047.23,173.82,870.82,1992.31,1819.04,0.0
