workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,2f_slru,pread,128,1,1,0.00,100.00,95.94,17860.91,8.03,17852.89,,,17956.85,17948.83,1.56,0.00,278.00,0.33,19554888,2026-09-18T04:24:08Z
A,orig,2f_slru,async,128,1,1,0.00,100.00,102.11,7170.35,9.17,7161.18,,,7272.46,7263.29,1.55,0.00,278.00,0.33,19549412,2026-09-18T04:24:08Z
A,orig,2f_slru,async_win,128,1,1,0.00,100.00,99.91,2226.26,9.89,1986.85,229.52,138.00,2326.17,2086.76,1.57,0.00,278.00,0.33,19546612,2026-09-18T04:24:08Z
B,orig,2f_slru,pread,128,1,1,0.00,100.00,104.74,18167.57,8.87,18158.70,,,18272.31,18263.44,1.58,0.00,278.00,0.33,19546020,2026-09-18T04:24:08Z
B,orig,2f_slru,async,128,1,1,0.00,100.00,103.89,7108.20,9.39,7098.82,,,7212.09,7202.71,1.63,0.00,278.00,0.33,19541556,2026-09-18T04:24:09Z
B,orig,2f_slru,async_win,128,1,1,0.00,100.00,99.04,2251.13,9.30,2011.54,230.29,139.00,2350.17,2110.58,1.63,0.00,278.00,0.33,19540452,2026-09-18T04:24:09Z
A,orig,2f_slru,async,128,2,0,0.00,100.00,98.20,6814.05,9.65,6804.40,,,6912.25,6902.60,1.57,0.00,278.00,0.33,19537072,2026-09-18T04:24:09Z
A,orig,2f_slru,async_win,128,2,0,0.00,100.00,94.43,2415.32,8.58,2177.89,228.86,138.00,2509.75,2272.32,1.57,0.00,278.00,0.33,19522268,2026-09-18T04:24:10Z
B,orig,2f_slru,async,128,2,0,0.00,100.00,100.74,6924.58,9.48,6915.10,,,7025.32,7015.84,1.60,0.00,278.00,0.33,19519548,2026-09-18T04:24:10Z
B,orig,2f_slru,async_win,128,2,0,0.00,100.00,101.72,2237.74,9.61,1999.39,228.74,139.00,2339.46,2101.11,1.63,0.00,278.00,0.33,19516840,2026-09-18T04:24:10Z
A,orig,2f_slru,async,128,3,0,0.00,100.00,101.36,6862.46,9.13,6853.34,,,6963.82,6954.70,1.56,0.00,278.00,0.33,19505796,2026-09-18T04:24:10Z
A,orig,2f_slru,async_win,128,3,0,0.00,100.00,99.65,2229.60,9.97,1988.40,231.23,138.00,2329.25,2088.05,1.57,0.00,278.00,0.33,19503224,2026-09-18T04:24:11Z
B,orig,2f_slru,async,128,3,0,0.00,100.00,100.28,6885.86,9.38,6876.48,,,6986.14,6976.76,1.61,0.00,278.00,0.33,19499540,2026-09-18T04:24:11Z
B,orig,2f_slru,async_win,128,3,0,0.00,100.00,103.80,2260.80,10.68,2004.41,245.71,139.00,2364.60,2108.21,1.60,0.00,278.00,0.33,19497988,2026-09-18T04:24:11Z
A,orig,2f_slru,async,128,4,0,0.00,100.00,102.09,6855.06,9.79,6845.27,,,6957.15,6947.36,1.56,0.00,278.00,0.33,19494400,2026-09-18T04:24:12Z
A,orig,2f_slru,async_win,128,4,0,0.00,100.00,101.87,2223.53,9.98,1983.86,229.69,138.00,2325.40,2085.73,1.58,0.00,278.00,0.38,19491912,2026-09-18T04:24:12Z
B,orig,2f_slru,async,128,4,0,0.00,100.00,98.94,6832.43,10.23,6822.20,,,6931.37,6921.14,1.62,0.00,278.00,0.38,19489012,2026-09-18T04:24:12Z
B,orig,2f_slru,async_win,128,4,0,0.00,100.00,95.94,2242.18,9.56,2003.41,229.21,139.00,2338.12,2099.35,1.63,0.00,278.00,0.38,19486048,2026-09-18T04:24:12Z
