workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,baseline,baseline,128,1,1,0.00,0.00,890.69,0.00,0.00,0.00,,,890.69,890.69,2.15,190.00,254.00,0.66,19435120,2026-09-18T04:42:14Z
B,orig,baseline,baseline,128,1,1,0.00,0.00,992.50,0.00,0.00,0.00,,,992.50,992.50,2.19,190.00,253.00,0.66,19438460,2026-09-18T04:42:14Z
C,orig,baseline,baseline,128,1,1,0.00,0.00,983.89,0.00,0.00,0.00,,,983.89,983.89,1.58,18.00,36.00,0.66,19439900,2026-09-18T04:42:14Z
C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,916.52,0.00,0.00,0.00,,,916.52,916.52,1.65,38.00,62.00,0.66,19441824,2026-09-18T04:42:15Z
A,orig,layers_5,pread,128,1,1,0.00,100.00,485.74,583.07,138.62,444.44,,,1068.81,930.18,2.10,190.00,255.00,0.66,19441960,2026-09-18T04:42:15Z
A,orig,layers_5,async,128,1,1,0.00,100.00,506.97,191.18,127.00,64.18,,,698.15,571.15,2.11,191.00,254.00,0.66,19424540,2026-09-18T04:42:15Z
A,orig,layers_5,async_win,128,1,1,0.00,100.00,507.67,197.17,129.21,7.64,60.31,2.00,704.84,515.31,2.11,191.00,254.00,0.66,19425588,2026-09-18T04:42:16Z
A,orig,layers_5,async_bulk,128,1,1,0.00,100.00,482.71,198.21,130.66,7.38,60.17,2.00,680.92,490.09,2.12,191.00,254.00,0.66,19425980,2026-09-18T04:42:16Z
A,orig,layers_92,pread,128,1,1,0.00,100.00,585.68,8205.19,138.90,8066.29,,,8790.87,8651.97,2.15,185.00,274.00,0.66,19428808,2026-09-18T04:42:16Z
A,orig,layers_92,async,128,1,1,0.00,100.00,516.64,362.48,133.82,228.66,,,879.12,745.30,2.10,187.00,270.00,0.66,19429892,2026-09-18T04:42:17Z
A,orig,layers_92,async_win,128,1,1,0.00,100.00,636.92,307.62,132.38,105.82,69.42,87.00,944.54,742.74,2.20,187.00,269.00,0.69,19428724,2026-09-18T04:42:17Z
A,orig,layers_92,async_bulk,128,1,1,0.00,100.00,556.16,328.13,132.59,130.83,64.71,87.00,884.29,686.99,2.14,187.00,270.00,0.69,19431596,2026-09-18T04:42:17Z
