workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,556.14,618.60,535.00,30.68,100.0,276.07,185.89,89.30,,,834.38,645.24,0.0
A,1gb,2d,pread,5,128,546.92,593.53,504.26,32.59,100.0,2083.88,193.37,1893.98,,,2677.04,2483.67,0.0
A,1gb,2e_K10,async,10,128,567.19,1129.83,464.55,285.25,100.0,291.78,185.84,105.34,,,857.08,671.69,0.0
A,1gb,2e_K10,pread,5,128,570.61,1430.03,538.74,420.70,100.0,2885.09,185.29,2700.06,,,3487.25,3298.59,0.0
A,1gb,2e_K500,async,10,128,659.23,682.19,569.90,30.78,100.0,1094.04,185.50,911.01,,,1756.14,1572.28,0.0
A,1gb,2e_K500,pread,5,128,615.02,652.65,611.69,18.76,100.0,23549.87,188.74,23369.61,,,24169.66,23989.40,0.0
A,1gb,2f_slru,async,10,128,100.58,3940.07,97.42,2094.00,100.0,7392.34,185.87,7207.26,,,7490.83,7305.75,0.0
A,1gb,2f_slru,pread,5,128,99.56,100.66,98.00,1.08,100.0,19120.15,192.19,18606.11,,,19219.71,18704.11,0.0
A,1gb,baseline,baseline,10,128,1331.36,1428.23,1227.42,64.07,0.0,0.00,0.00,0.00,,,1331.36,1331.36,0.0
A,1gb,layers_5,async,10,128,1355.49,1421.52,1241.31,56.12,100.0,258.03,187.00,70.15,,,1613.02,1425.99,0.0
A,1gb,layers_5,pread,5,128,1333.71,1410.20,1230.08,67.80,100.0,688.21,185.75,506.14,,,1992.23,1809.84,0.0
A,1gb,layers_92,async,10,128,906.73,1018.91,841.70,56.12,100.0,396.62,185.88,213.39,,,1301.78,1116.71,0.0
A,1gb,layers_92,pread,5,128,941.68,1980.00,861.81,529.38,100.0,8267.12,188.31,8083.44,,,9128.93,8945.25,0.0
A,1gb,leaf_freq_K10,async,10,128,1559.19,2365.65,1440.36,424.41,100.0,262.31,186.50,75.44,,,1823.56,1637.43,0.0
A,1gb,leaf_freq_K10,pread,5,128,1510.29,1641.22,1474.61,68.01,100.0,1085.50,185.34,898.51,,,2595.79,2408.80,0.0
A,1gb,leaf_rand_K10,async,10,128,1374.94,2354.87,1311.93,491.54,100.0,262.66,186.24,75.85,,,1637.28,1451.48,0.0
A,1gb,leaf_rand_K10,pread,5,128,1427.39,1508.65,1300.17,83.26,100.0,1104.31,185.04,919.99,,,2506.48,2321.44,0.0
A,ta,2d,async,10,128,567.91,1110.61,560.44,234.05,91.2,332.89,227.39,106.50,,,901.72,675.34,0.0
A,ta,2d,pread,5,128,568.39,572.10,566.01,2.55,100.0,1061.49,225.77,837.40,,,1627.86,1403.77,0.0
A,ta,2e_K10,async,10,128,565.48,573.41,496.96,21.43,93.2,342.39,223.98,118.81,,,907.48,684.33,0.0
A,ta,2e_K10,pread,5,128,573.39,1031.75,571.66,229.48,100.0,2146.66,224.15,1904.21,,,2718.73,2476.28,0.0
A,ta,2e_K500,async,10,128,851.54,1280.74,554.98,263.46,30.7,971.62,185.97,786.29,,,1803.78,1610.21,0.0
A,ta,2e_K500,pread,5,128,553.94,562.92,540.45,7.79,100.0,17773.75,185.84,17587.91,,,18314.20,18128.36,0.0
A,ta,2f_slru,async,10,128,99.81,100.75,96.77,1.35,100.0,7378.10,185.06,7176.61,,,7477.00,7277.05,0.0
A,ta,2f_slru,pread,5,128,97.28,97.37,95.80,0.59,100.0,20637.43,185.74,20450.62,,,20734.71,20547.90,0.0
A,ta,baseline,baseline,10,128,1119.07,1136.11,1008.34,39.29,0.0,0.00,0.00,0.00,,,1119.07,1119.07,0.0
A,ta,layers_5,async,10,128,986.14,1372.13,972.19,198.44,100.0,295.14,225.87,69.64,,,1280.08,1055.41,0.0
A,ta,layers_5,pread,5,128,907.11,944.22,901.59,18.96,100.0,474.32,224.62,249.71,,,1381.04,1156.77,0.0
A,ta,layers_92,async,10,128,561.10,667.19,553.74,54.43,100.0,404.99,225.39,179.80,,,965.05,739.19,0.0
A,ta,layers_92,pread,5,128,571.75,996.82,568.23,212.10,100.0,1024.50,224.80,799.69,,,1596.87,1371.44,0.0
A,ta,leaf_freq_K10,async,10,128,1074.03,1120.05,993.40,40.23,100.0,262.59,185.71,76.13,,,1336.45,1150.76,0.0
A,ta,leaf_freq_K10,pread,5,128,1092.71,1106.75,910.82,73.09,100.0,1111.44,186.98,927.96,,,2209.17,2022.19,0.0
A,ta,leaf_rand_K10,async,10,128,1055.96,2064.06,981.62,410.47,100.0,262.13,185.60,76.40,,,1318.43,1132.57,0.0
A,ta,leaf_rand_K10,pread,5,128,1000.45,1030.47,836.56,71.52,100.0,1082.75,186.81,896.93,,,2079.43,1893.84,0.0
A,vacuum,2d,async,10,128,526.46,569.58,478.57,29.52,100.0,303.81,225.41,78.16,,,833.36,607.38,0.0
