workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,1115.18,0.00,0.00,0.00,,,1115.18,1115.18,2.00,140.00,241.00,1.24,19348932,2026-09-18T06:49:27Z
A,ta,baseline,baseline,128,1,1,0.00,0.00,662.54,0.00,0.00,0.00,,,662.54,662.54,2.11,191.00,264.00,1.24,19349976,2026-09-18T06:49:27Z
A,1gb,baseline,baseline,128,1,1,0.00,0.00,1349.69,0.00,0.00,0.00,,,1349.69,1349.69,2.15,187.00,266.00,1.24,19350716,2026-09-18T06:49:27Z
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,985.10,0.00,0.00,0.00,,,985.10,985.10,2.02,138.00,227.00,1.24,19353036,2026-09-18T06:49:28Z
B,ta,baseline,baseline,128,1,1,0.00,0.00,1134.34,0.00,0.00,0.00,,,1134.34,1134.34,2.18,181.00,260.00,1.24,19352664,2026-09-18T06:49:28Z
B,1gb,baseline,baseline,128,1,1,0.00,0.00,1458.16,0.00,0.00,0.00,,,1458.16,1458.16,2.73,182.00,256.00,1.22,19352556,2026-09-18T06:49:28Z
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1162.73,0.00,0.00,0.00,,,1162.73,1162.73,1.54,18.00,28.00,1.22,19355532,2026-09-18T06:49:29Z
C,ta,baseline,baseline,128,1,1,0.00,0.00,5923.89,0.00,0.00,0.00,,,5923.89,5923.89,1.77,19.00,39.00,1.22,19355916,2026-09-18T06:49:29Z
C,1gb,baseline,baseline,128,1,1,0.00,0.00,1352.73,0.00,0.00,0.00,,,1352.73,1352.73,1.68,41.00,59.00,1.22,19342924,2026-09-18T06:49:29Z
A,vacuum,layers_5,pread,128,1,1,0.00,100.00,634.51,704.88,88.23,616.65,,,1339.39,1251.16,1.97,140.00,247.00,1.22,19344460,2026-09-18T06:49:30Z
A,vacuum,layers_5,async,128,1,1,0.00,100.00,666.89,196.81,95.14,101.67,,,863.70,768.56,1.99,140.00,245.00,1.22,19344876,2026-09-18T06:49:30Z
A,vacuum,layers_92,pread,128,1,1,0.00,100.00,662.04,7702.43,97.60,7604.83,,,8364.47,8266.87,1.95,140.00,248.00,1.22,19346744,2026-09-18T06:49:30Z
A,vacuum,layers_92,async,128,1,1,0.00,100.00,642.00,311.48,99.18,212.30,,,953.48,854.30,2.71,140.00,246.00,1.22,19348504,2026-09-18T06:49:31Z
A,vacuum,2d,pread,128,1,1,0.00,100.00,670.67,1316.08,90.44,1225.63,,,1986.75,1896.30,2.00,140.00,248.00,1.22,19348468,2026-09-18T06:49:31Z
A,vacuum,2d,async,128,1,1,0.00,0.00,658.02,4721.92,4612.96,108.95,,,5379.94,766.97,2.00,140.00,246.00,1.22,19349232,2026-09-18T06:49:31Z
A,vacuum,2e_K10,pread,128,1,1,0.00,100.00,656.54,2155.71,90.48,2065.23,,,2812.25,2721.77,2.00,140.00,253.00,1.22,19368928,2026-09-18T06:49:32Z
A,vacuum,2e_K10,async,128,1,1,0.00,100.00,588.62,473.96,354.00,119.97,,,1062.58,708.59,2.12,140.00,251.00,1.22,19369072,2026-09-18T06:49:32Z
A,vacuum,2e_K500,pread,128,1,1,0.00,100.00,180.45,13432.12,95.65,13336.48,,,13612.57,13516.93,1.56,0.00,216.00,1.22,19370380,2026-09-18T06:49:32Z
A,vacuum,2e_K500,async,128,1,1,0.00,100.00,183.16,948.17,84.84,863.33,,,1131.33,1046.49,2.45,137.00,342.00,1.22,19371272,2026-09-18T06:49:33Z
A,vacuum,2f_slru,pread,128,1,1,0.00,100.00,96.37,13409.37,84.52,13324.85,,,13505.74,13421.22,1.52,0.00,214.00,1.22,19371724,2026-09-18T06:49:33Z
A,vacuum,2f_slru,async,128,1,1,0.00,83.70,778.10,5477.56,97.53,5380.02,,,6255.66,6158.12,1.59,0.00,214.00,1.22,19370492,2026-09-18T06:49:33Z
A,vacuum,leaf_freq_K10,pread,128,1,1,0.00,100.00,1092.54,1026.72,96.38,930.34,,,2119.26,2022.88,2.02,140.00,246.00,1.20,19369900,2026-09-18T06:49:33Z
A,vacuum,leaf_freq_K10,async,128,1,1,0.00,0.00,7071.76,7007.89,4654.62,2353.26,,,14079.65,9425.02,2.05,140.00,246.00,1.20,19369648,2026-09-18T06:49:34Z
A,vacuum,leaf_rand_K10,pread,128,1,1,0.00,100.00,1093.78,1043.56,86.59,956.97,,,2137.34,2050.75,1.97,140.00,243.00,1.20,19369892,2026-09-18T06:49:34Z
A,vacuum,leaf_rand_K10,async,128,1,1,0.00,100.00,1159.33,205.82,98.00,107.82,,,1365.15,1267.15,2.04,140.00,243.00,1.20,19340948,2026-09-18T06:49:34Z
A,ta,layers_5,pread,128,1,1,0.00,100.00,3045.24,371.48,87.34,284.13,,,3416.72,3329.37,2.23,191.00,264.00,1.20,19346792,2026-09-18T06:49:35Z
A,ta,layers_5,async,128,1,1,0.00,100.00,477.57,191.25,90.82,100.43,,,668.82,578.00,2.17,191.00,262.00,1.20,19352216,2026-09-18T06:49:35Z
A,ta,layers_92,pread,128,1,1,0.00,100.00,487.33,944.05,99.83,844.23,,,1431.38,1331.56,2.17,189.00,262.00,1.20,19353760,2026-09-18T06:49:35Z
