workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,lp_sorted,pread,128,1,1,0.00,100.00,97.10,19705.42,182.60,19522.82,,,19802.52,19619.92,1.56,0.00,278.00,1.11,42939268,2026-09-23T04:42:17Z
A,orig,lp_sorted,async,128,1,1,0.00,100.00,97.46,7353.95,181.62,7172.33,,,7451.41,7269.79,1.59,0.00,278.00,1.11,42937208,2026-09-23T04:42:17Z
A,orig,lp_shuf,pread,128,1,1,0.00,100.00,103.31,271525.13,183.35,271341.78,,,271628.44,271445.09,1.57,0.00,278.00,1.11,42940116,2026-09-23T04:42:18Z
A,orig,lp_shuf,async,128,1,1,0.00,100.00,98.56,7143.95,174.72,6969.23,,,7242.51,7067.79,1.58,0.00,278.00,1.11,42937608,2026-09-23T04:42:18Z
B,orig,lp_sorted,pread,128,1,1,0.00,100.00,97.59,18025.44,182.87,17842.57,,,18123.03,17940.16,1.59,0.00,278.00,1.11,42940924,2026-09-23T04:42:19Z
B,orig,lp_sorted,async,128,1,1,0.00,100.00,98.00,7275.52,183.86,7091.66,,,7373.52,7189.66,1.63,0.00,278.00,1.11,42937476,2026-09-23T04:42:19Z
B,orig,lp_shuf,pread,128,1,1,0.00,100.00,99.18,258264.70,181.82,258082.87,,,258363.88,258182.05,1.59,0.00,278.00,1.11,42940948,2026-09-23T04:42:19Z
B,orig,lp_shuf,async,128,1,1,0.00,100.00,96.86,7116.14,180.92,6935.22,,,7213.00,7032.08,1.65,0.00,278.00,1.18,42928988,2026-09-23T04:42:20Z
C,orig,lp_sorted,pread,128,1,1,0.00,100.00,94.75,3079.63,184.99,2894.64,,,3174.38,2989.39,1.54,0.00,37.00,1.18,42931904,2026-09-23T04:42:20Z
C,orig,lp_sorted,async,128,1,1,0.00,100.00,96.12,997.40,184.37,813.04,,,1093.52,909.16,1.54,0.00,37.00,1.18,42932832,2026-09-23T04:42:20Z
C,orig,lp_shuf,pread,128,1,1,0.00,100.00,94.51,27976.02,183.71,27792.32,,,28070.53,27886.83,1.53,0.00,37.00,1.18,42931468,2026-09-23T04:42:20Z
C,orig,lp_shuf,async,128,1,1,0.00,100.00,95.09,853.34,183.47,669.87,,,948.43,764.96,1.55,0.00,37.00,1.18,42930304,2026-09-23T04:42:21Z
C_hit,orig,lp_sorted,pread,128,1,1,0.00,100.00,91.48,4590.92,181.58,4409.34,,,4682.40,4500.82,1.56,0.00,62.00,1.18,42929956,2026-09-23T04:42:21Z
C_hit,orig,lp_sorted,async,128,1,1,0.00,100.00,91.52,1545.90,172.97,1372.92,,,1637.42,1464.44,1.56,0.00,62.00,1.18,42930704,2026-09-23T04:42:21Z
C_hit,orig,lp_shuf,pread,128,1,1,0.00,100.00,90.82,53300.47,226.37,53074.10,,,53391.29,53164.92,1.56,0.00,62.00,1.18,42931908,2026-09-23T04:42:21Z
C_hit,orig,lp_shuf,async,128,1,1,0.00,100.00,93.69,1645.96,227.74,1418.23,,,1739.65,1511.92,1.59,0.00,62.00,1.18,42932320,2026-09-23T04:42:22Z
A,orig,lp_sorted,pread,128,2,0,0.00,100.00,94.40,18428.46,226.06,18202.40,,,18522.86,18296.80,1.54,0.00,278.00,1.18,42931964,2026-09-23T04:42:22Z
A,orig,lp_shuf,pread,128,2,0,0.00,100.00,99.20,269764.32,223.72,269540.60,,,269863.52,269639.80,1.53,0.00,278.00,1.18,42932912,2026-09-23T04:42:22Z
B,orig,lp_sorted,pread,128,2,0,0.00,100.00,97.67,18075.19,224.11,17851.08,,,18172.86,17948.75,1.59,0.00,278.00,1.18,42933168,2026-09-23T04:42:23Z
B,orig,lp_shuf,pread,128,2,0,0.00,100.00,98.67,257770.45,224.69,257545.76,,,257869.12,257644.43,1.57,0.00,278.00,1.18,42930844,2026-09-23T04:42:23Z
C,orig,lp_sorted,pread,128,2,0,0.00,100.00,92.31,3181.34,223.51,2957.83,,,3273.65,3050.14,1.53,0.00,37.00,1.18,42931564,2026-09-23T04:42:24Z
C,orig,lp_shuf,pread,128,2,0,0.00,100.00,96.16,27924.62,227.53,27697.10,,,28020.78,27793.26,1.52,0.00,37.00,1.18,42930956,2026-09-23T04:42:24Z
C_hit,orig,lp_sorted,pread,128,2,0,0.00,100.00,94.08,4804.82,229.56,4575.26,,,4898.90,4669.34,1.52,0.00,62.00,1.18,42931240,2026-09-23T04:42:24Z
C_hit,orig,lp_shuf,pread,128,2,0,0.00,100.00,95.32,53302.37,224.45,53077.92,,,53397.69,53173.24,1.55,0.00,62.00,1.17,42931924,2026-09-23T04:42:24Z
A,orig,lp_sorted,pread,128,3,0,0.00,100.00,95.02,18590.38,223.78,18366.60,,,18685.40,18461.62,1.54,0.00,278.00,1.17,42921856,2026-09-23T04:42:25Z
A,orig,lp_shuf,pread,128,3,0,0.00,100.00,102.46,272186.84,225.24,271961.59,,,272289.30,272064.05,1.58,0.00,278.00,1.17,42914516,2026-09-23T04:42:25Z
B,orig,lp_sorted,pread,128,3,0,0.00,100.00,99.69,18394.17,224.05,18170.12,,,18493.86,18269.81,1.60,0.00,278.00,1.17,42917740,2026-09-23T04:42:25Z
B,orig,lp_shuf,pread,128,3,0,0.00,100.00,108.46,256527.04,223.51,256303.53,,,256635.50,256411.99,1.62,0.00,278.00,1.17,42919004,2026-09-23T04:42:26Z
C,orig,lp_sorted,pread,128,3,0,0.00,100.00,93.11,3143.04,223.69,2919.35,,,3236.15,3012.46,1.54,0.00,37.00,1.17,42918864,2026-09-23T04:42:26Z
C,orig,lp_shuf,pread,128,3,0,0.00,100.00,92.33,28077.76,224.96,27852.80,,,28170.09,27945.13,1.53,0.00,37.00,1.17,42918308,2026-09-23T04:42:27Z
C_hit,orig,lp_sorted,pread,128,3,0,0.00,100.00,96.46,4891.78,226.38,4665.40,,,4988.24,4761.86,1.58,0.00,62.00,1.17,42919012,2026-09-23T04:42:27Z
C_hit,orig,lp_shuf,pread,128,3,0,0.00,100.00,94.05,53535.75,227.24,53308.51,,,53629.80,53402.56,1.55,0.00,62.00,1.17,42918868,2026-09-23T04:42:27Z
A,orig,lp_sorted,pread,128,4,0,0.00,100.00,95.39,18957.94,225.76,18732.17,,,19053.33,18827.56,1.56,0.00,278.00,1.17,42919832,2026-09-23T04:42:27Z
A,orig,lp_shuf,pread,128,4,0,0.00,100.00,101.53,270706.80,222.45,270484.36,,,270808.33,270585.89,1.58,0.00,278.00,1.17,42920100,2026-09-23T04:42:28Z
B,orig,lp_sorted,pread,128,4,0,0.00,100.00,98.08,18474.72,224.87,18249.85,,,18572.80,18347.93,1.62,0.00,278.00,1.17,42919844,2026-09-23T04:42:28Z
B,orig,lp_shuf,pread,128,4,0,0.00,100.00,99.24,257701.38,224.33,257477.04,,,257800.62,257576.28,1.60,0.00,278.00,1.17,42920828,2026-09-23T04:42:29Z
C,orig,lp_sorted,pread,128,4,0,0.00,100.00,93.55,3080.76,224.89,2855.87,,,3174.31,2949.42,1.54,0.00,37.00,1.17,42921348,2026-09-23T04:42:29Z
C,orig,lp_shuf,pread,128,4,0,0.00,100.00,94.70,27968.22,224.25,27743.97,,,28062.92,27838.67,1.54,0.00,37.00,1.17,42920752,2026-09-23T04:42:29Z
C_hit,orig,lp_sorted,pread,128,4,0,0.00,100.00,95.42,4803.21,224.73,4578.48,,,4898.63,4673.90,1.55,0.00,62.00,1.15,42922476,2026-09-23T04:42:29Z
C_hit,orig,lp_shuf,pread,128,4,0,0.00,100.00,96.51,53234.07,223.90,53010.17,,,53330.58,53106.68,1.56,0.00,62.00,1.15,42923560,2026-09-23T04:42:30Z
A,orig,lp_sorted,pread,128,5,0,0.00,100.00,98.08,17618.55,223.64,17394.91,,,17716.63,17492.99,1.56,0.00,278.00,1.15,42912160,2026-09-23T04:42:30Z
A,orig,lp_shuf,pread,128,5,0,0.00,100.00,96.65,271246.32,224.74,271021.58,,,271342.97,271118.23,1.54,0.00,278.00,1.15,42912720,2026-09-23T04:42:31Z
B,orig,lp_sorted,pread,128,5,0,0.00,100.00,97.78,18443.96,225.05,18218.91,,,18541.74,18316.69,1.58,0.00,278.00,1.15,42914504,2026-09-23T04:42:31Z
B,orig,lp_shuf,pread,128,5,0,0.00,100.00,98.84,258736.47,226.27,258510.21,,,258835.31,258609.05,1.59,0.00,278.00,1.15,42928804,2026-09-23T04:42:31Z
C,orig,lp_sorted,pread,128,5,0,0.00,100.00,93.00,3116.44,223.96,2892.48,,,3209.44,2985.48,1.54,0.00,37.00,1.15,42930260,2026-09-23T04:42:32Z
C,orig,lp_shuf,pread,128,5,0,0.00,100.00,93.42,28038.51,224.05,27814.46,,,28131.93,27907.88,1.55,0.00,37.00,1.15,42930192,2026-09-23T04:42:32Z
C_hit,orig,lp_sorted,pread,128,5,0,0.00,100.00,93.93,4794.18,223.52,4570.66,,,4888.11,4664.59,1.55,0.00,62.00,1.15,42930404,2026-09-23T04:42:32Z
C_hit,orig,lp_shuf,pread,128,5,0,0.00,100.00,93.09,53195.06,223.42,52971.64,,,53288.15,53064.73,1.54,0.00,62.00,1.15,42930472,2026-09-23T04:42:32Z
A,orig,lp_sorted,pread,128,6,0,0.00,100.00,91.57,18716.26,224.74,18491.52,,,18807.83,18583.09,1.57,0.00,278.00,1.15,42931488,2026-09-23T04:42:33Z
A,orig,lp_shuf,pread,128,6,0,0.00,100.00,101.07,270132.71,222.99,269909.72,,,270233.78,270010.79,1.56,0.00,278.00,1.15,42932408,2026-09-23T04:42:33Z
B,orig,lp_sorted,pread,128,6,0,0.00,100.00,96.23,17809.22,224.83,17584.39,,,17905.45,17680.62,1.58,0.00,278.00,1.15,42932804,2026-09-23T04:42:34Z
B,orig,lp_shuf,pread,128,6,0,0.00,100.00,103.72,257686.13,224.54,257461.58,,,257789.85,257565.30,1.59,0.00,278.00,1.15,42933132,2026-09-23T04:42:34Z
C,orig,lp_sorted,pread,128,6,0,0.00,100.00,92.47,3033.13,224.75,2808.38,,,3125.60,2900.85,1.53,0.00,37.00,1.15,42933816,2026-09-23T04:42:34Z
C,orig,lp_shuf,pread,128,6,0,0.00,100.00,94.01,27932.54,222.92,27709.62,,,28026.55,27803.63,1.54,0.00,37.00,1.30,42935652,2026-09-23T04:42:35Z
C_hit,orig,lp_sorted,pread,128,6,0,0.00,100.00,93.20,4897.92,225.09,4672.82,,,4991.12,4766.02,1.55,0.00,62.00,1.30,42937260,2026-09-23T04:42:35Z
C_hit,orig,lp_shuf,pread,128,6,0,0.00,100.00,94.40,53248.60,224.15,53024.45,,,53343.00,53118.85,1.59,0.00,62.00,1.30,42925912,2026-09-23T04:42:35Z
