seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
1,A,orig,2d,async,10,128,328.57,399.77,319.94,29.52,100.0,317.39,232.31,85.20,,,647.16,413.72,0.0
1,A,orig,2d,async_bulk,5,128,355.39,390.12,328.83,21.77,100.0,315.46,233.18,22.95,61.16,13.00,675.03,380.53,0.0
1,A,orig,2d,async_win,10,128,339.25,355.99,323.75,13.94,100.0,316.98,232.21,23.05,61.43,13.00,661.48,366.72,0.0
1,A,orig,2d,pread,5,128,180.17,180.62,178.19,0.89,100.0,1936.85,233.05,1703.90,,,2117.31,1884.36,0.0
1,A,orig,2e_K10,async,10,128,355.28,389.63,321.21,22.02,100.0,330.38,233.19,98.27,,,686.56,454.82,0.0
1,A,orig,2e_K10,async_bulk,5,128,356.07,360.53,329.13,11.46,100.0,327.33,232.63,32.13,62.57,22.00,684.46,389.04,0.0
1,A,orig,2e_K10,async_win,10,128,355.27,360.25,324.24,14.35,100.0,330.05,232.95,33.94,62.47,22.00,683.50,388.13,0.0
1,A,orig,2e_K10,pread,5,128,179.12,179.70,177.28,0.85,100.0,2716.98,232.42,2486.40,,,2895.70,2665.12,0.0
1,A,orig,2e_K500,async,10,128,180.25,182.94,179.44,1.21,100.0,1108.61,232.60,875.20,,,1288.45,1055.04,0.0
1,A,orig,2e_K500,async_bulk,5,128,180.77,181.48,179.36,0.79,100.0,1059.80,233.41,698.48,129.45,492.00,1241.26,879.94,0.0
1,A,orig,2e_K500,async_win,10,128,180.26,195.85,178.76,8.07,100.0,1072.43,233.07,708.14,129.32,492.00,1253.55,890.06,0.0
1,A,orig,2e_K500,pread,5,128,180.43,183.49,179.33,1.72,100.0,21350.47,231.73,21122.34,,,21530.97,21302.84,0.0
