workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,1gb,2d,async,e2e_us,10,-35.52,-37.98,-38.88,-31.6,-41.43,-21.81,10/10,robust,seed01=-21.8;seed02=-34.3;seed03=-38.2;seed04=-40.3;seed05=-41.4;seed06=-28.2;seed07=-39.8;seed08=-37.8;seed09=-32.9;seed10=-40.4
A,1gb,2d,async,e2e_warm_us,10,-52.13,-52.95,-54.16,-50.07,-56.49,-46.78,10/10,robust,seed01=-46.8;seed02=-50.1;seed03=-52.6;seed04=-53.3;seed05=-56.5;seed06=-48.2;seed07=-53.8;seed08=-55.7;seed09=-48.5;seed10=-55.9
A,1gb,2d,async,first_query_us,10,-59.38,-59.08,-61.3,-57.57,-64.04,-55.69,10/10,robust,seed01=-56.5;seed02=-57.3;seed03=-58.9;seed04=-59.3;seed05=-63.6;seed06=-55.7;seed07=-60.0;seed08=-64.0;seed09=-55.7;seed10=-62.9
A,1gb,2d,pread,e2e_us,10,114.5,111.43,101.29,128.78,79.01,157.86,10/10,robust,seed01=157.9;seed02=120.0;seed03=100.7;seed04=79.0;seed05=108.8;seed06=121.4;seed07=94.2;seed08=146.4;seed09=114.1;seed10=102.5
A,1gb,2d,pread,e2e_warm_us,10,98.0,96.48,86.26,110.47,66.07,133.33,10/10,robust,seed01=133.3;seed02=103.8;seed03=86.0;seed04=66.1;seed05=93.9;seed06=101.6;seed07=80.4;seed08=128.8;seed09=99.1;seed10=87.1
A,1gb,2d,pread,first_query_us,10,-60.71,-59.18,-65.86,-56.93,-80.39,-53.53,10/10,robust,seed01=-80.4;seed02=-54.9;seed03=-58.8;seed04=-59.6;seed05=-63.9;seed06=-58.0;seed07=-60.1;seed08=-54.7;seed09=-53.5;seed10=-63.2
A,1gb,2e_K10,async,e2e_us,10,-40.86,-37.36,-51.06,-31.07,-64.72,-17.67,10/10,robust,seed01=-17.7;seed02=-32.5;seed03=-37.0;seed04=-37.7;seed05=-64.6;seed06=-58.2;seed07=-39.0;seed08=-36.9;seed09=-20.3;seed10=-64.7
A,1gb,2e_K10,async,e2e_warm_us,10,-57.65,-52.86,-67.7,-48.31,-80.29,-35.5,10/10,robust,seed01=-42.2;seed02=-48.7;seed03=-51.5;seed04=-52.9;seed05=-79.7;seed06=-78.3;seed07=-52.9;seed08=-54.6;seed09=-35.5;seed10=-80.3
A,1gb,2e_K10,async,first_query_us,10,-65.98,-59.83,-76.07,-56.8,-88.17,-43.82,10/10,robust,seed01=-53.3;seed02=-57.0;seed03=-58.9;seed04=-59.6;seed05=-87.9;seed06=-86.9;seed07=-60.0;seed08=-64.1;seed09=-43.8;seed10=-88.2
A,1gb,2e_K10,pread,e2e_us,10,176.23,165.71,158.39,196.36,140.17,239.61,10/10,robust,seed01=239.6;seed02=190.8;seed03=161.2;seed04=140.2;seed05=155.5;seed06=170.3;seed07=153.1;seed08=217.3;seed09=187.7;seed10=146.6
A,1gb,2e_K10,pread,e2e_warm_us,10,159.49,148.6,142.73,177.91,124.95,215.12,10/10,robust,seed01=215.1;seed02=174.7;seed03=146.8;seed04=124.9;seed05=140.5;seed06=150.4;seed07=139.2;seed08=199.6;seed09=172.8;seed10=131.0
A,1gb,2e_K10,pread,first_query_us,10,-68.06,-60.68,-77.45,-58.9,-87.93,-43.88,10/10,robust,seed01=-80.6;seed02=-55.1;seed03=-59.0;seed04=-59.5;seed05=-87.9;seed06=-87.0;seed07=-60.1;seed08=-61.3;seed09=-43.9;seed10=-86.2
A,1gb,2e_K500,async,e2e_us,10,14.31,17.19,4.74,24.21,-5.09,35.93,6/10,robust,seed01=35.9;seed02=30.8;seed03=17.2;seed04=17.2;seed05=-2.3;seed06=-5.1;seed07=20.2;seed08=35.3;seed09=-2.0;seed10=-4.0
