workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,baseline,baseline,128,1,1,0.00,0.00,1089.43,0.00,0.00,0.00,1089.43,1089.43,407.96,82639.00,3211.00,1.04,58700360
YC,orig,layers_5,pread,128,1,1,0.00,100.00,886.25,685.36,8.74,676.62,1571.61,1562.87,406.16,82648.00,3225.00,1.10,58704620
YC,orig,layers_5,async,128,1,1,0.00,100.00,894.94,27.80,9.58,18.23,922.74,913.17,401.87,81920.00,3194.00,1.11,58696416
YC,orig,layers_92,pread,128,1,1,0.00,100.00,485.00,8290.93,8.95,8281.98,8775.93,8766.98,392.96,82061.00,3254.00,1.07,58722760
YC,orig,layers_92,async,128,1,1,0.00,100.00,512.62,158.27,10.19,148.08,670.89,660.70,409.49,82302.00,3240.00,1.04,58683536
YC,orig,2e_K500,pread,128,1,1,0.00,100.00,190.02,52690.89,9.86,52681.03,52880.91,52871.05,393.56,82344.00,3201.00,1.02,58680496
YC,orig,2e_K500,async,128,1,1,0.00,100.00,193.61,1089.38,10.05,1079.33,1282.99,1272.94,407.71,82934.00,3258.00,1.01,58707628
YC,orig,baseline,baseline,128,2,0,0.00,0.00,852.60,0.00,0.00,0.00,852.60,852.60,400.75,82516.00,3211.00,1.00,58677364
YC,orig,layers_5,pread,128,2,0,0.00,100.00,890.99,696.50,9.21,687.29,1587.49,1578.28,410.34,81981.00,3227.00,1.00,58689204
YC,orig,layers_5,async,128,2,0,0.00,100.00,890.60,25.81,9.02,16.79,916.41,907.39,414.26,82682.00,3222.00,1.00,58678984
YC,orig,layers_92,pread,128,2,0,0.00,100.00,512.24,8259.94,9.45,8250.49,8772.18,8762.73,414.48,82592.00,3221.00,1.00,58681708
YC,orig,layers_92,async,128,2,0,0.00,100.00,514.69,160.29,9.33,150.96,674.98,665.65,414.44,82703.00,3248.00,1.06,58675596
YC,orig,2e_K500,pread,128,2,0,0.00,100.00,189.27,52542.50,8.93,52533.58,52731.77,52722.85,405.53,82228.00,3246.00,1.03,58671952
YC,orig,2e_K500,async,128,2,0,0.00,100.00,187.72,1074.24,8.87,1065.37,1261.96,1253.09,401.16,82042.00,3252.00,1.20,58657248
YC,orig,baseline,baseline,128,3,0,0.00,0.00,941.81,0.00,0.00,0.00,941.81,941.81,412.59,82659.00,3155.00,1.19,58676472
YC,orig,layers_5,pread,128,3,0,0.00,100.00,890.50,400.95,9.71,391.25,1291.45,1281.75,401.67,81667.00,3212.00,1.16,58649940
YC,orig,layers_5,async,128,3,0,0.00,100.00,823.50,26.76,9.29,17.47,850.26,840.97,395.48,82929.00,3212.00,1.09,58658652
YC,orig,layers_92,pread,128,3,0,0.00,100.00,513.22,8313.02,8.73,8304.29,8826.24,8817.51,402.64,81874.00,3241.00,1.05,58626496
YC,orig,layers_92,async,128,3,0,0.00,100.00,512.86,187.84,9.98,177.86,700.70,690.72,403.30,82165.00,3257.00,1.03,58632328
YC,orig,2e_K500,pread,128,3,0,0.00,100.00,188.20,52380.07,9.07,52371.00,52568.27,52559.20,405.67,82446.00,3258.00,1.16,58680512
YC,orig,2e_K500,async,128,3,0,0.00,100.00,191.99,1088.73,9.78,1078.95,1280.72,1270.94,406.68,82811.00,3199.00,1.09,58645188
