workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,baseline,baseline,128,1,1,0.00,0.00,848.36,0.00,0.00,0.00,848.36,848.36,535.63,112212.00,2839.00,1.01,58084604
YC,orig,2d,pread,128,1,1,0.00,100.00,519.86,8072.95,10.29,8062.66,8592.81,8582.52,553.56,111617.00,2861.00,1.06,58111572
YC,orig,2d,async,128,1,1,0.00,100.00,520.07,174.22,12.00,162.22,694.29,682.29,550.64,111574.00,2854.00,1.37,58126484
YC,orig,2e_K10,pread,128,1,1,0.00,100.00,517.04,9094.77,10.18,9084.59,9611.81,9601.63,524.58,111568.00,2908.00,1.28,57722576
YC,orig,2e_K10,async,128,1,1,0.00,100.00,533.07,238.05,11.11,226.94,771.12,760.01,531.92,111486.00,2881.00,1.13,57798900
YC,orig,2f_slru,pread,128,1,1,0.00,5.40,841.36,102968.74,10.53,102958.21,103810.10,103799.57,545.32,112160.00,2855.00,1.10,57845920
YC,orig,2f_slru,async,128,1,1,0.00,5.60,924.83,54137.90,9.65,54128.25,55062.73,55053.08,537.41,112549.00,2844.00,1.10,57832876
YC,orig,baseline,baseline,128,2,0,0.00,0.00,945.04,0.00,0.00,0.00,945.04,945.04,534.19,112418.00,2871.00,1.05,57843716
YC,orig,2d,pread,128,2,0,0.00,100.00,522.63,8180.06,10.51,8169.55,8702.69,8692.18,529.48,112004.00,2893.00,1.02,57839816
YC,orig,2d,async,128,2,0,0.00,100.00,523.64,163.63,10.09,153.54,687.27,677.18,528.46,111717.00,2885.00,1.07,57842728
YC,orig,2e_K10,pread,128,2,0,0.00,100.00,520.85,9015.43,9.51,9005.93,9536.28,9526.78,526.57,111669.00,2865.00,1.03,57847532
YC,orig,2e_K10,async,128,2,0,0.00,100.00,517.57,175.88,9.87,166.01,693.45,683.58,518.06,111743.00,2883.00,1.06,57821604
YC,orig,2f_slru,pread,128,2,0,0.00,5.70,853.16,104169.57,10.29,104159.28,105022.73,105012.44,560.99,112590.00,2842.00,1.03,57842940
YC,orig,2f_slru,async,128,2,0,0.00,5.40,917.06,55256.36,9.79,55246.57,56173.42,56163.63,558.49,112207.00,2851.00,1.01,57823068
YC,orig,baseline,baseline,128,3,0,0.00,0.00,1116.66,0.00,0.00,0.00,1116.66,1116.66,554.29,111953.00,2862.00,1.00,57825156
YC,orig,2d,pread,128,3,0,0.00,100.00,520.91,8314.46,10.82,8303.64,8835.37,8824.55,547.08,111685.00,2884.00,1.00,57829996
YC,orig,2d,async,128,3,0,0.00,100.00,535.77,164.98,9.48,155.50,700.75,691.27,546.08,111666.00,2888.00,1.09,57848456
YC,orig,2e_K10,pread,128,3,0,0.00,100.00,513.71,8945.68,9.16,8936.52,9459.39,9450.23,541.61,111593.00,2880.00,1.04,57840492
YC,orig,2e_K10,async,128,3,0,0.00,100.00,518.86,191.37,14.83,176.54,710.23,695.40,550.38,111224.00,2914.00,1.11,56562092
YC,orig,2f_slru,pread,128,3,0,0.00,5.40,1036.28,105446.85,11.10,105435.74,106483.13,106472.02,549.02,112491.00,2811.00,1.14,56733004
YC,orig,2f_slru,async,128,3,0,0.00,5.70,932.51,55824.70,10.93,55813.77,56757.21,56746.28,553.42,112822.00,2825.00,1.14,56825056
YC,orig,baseline,baseline,128,4,0,0.00,0.00,2589.33,0.00,0.00,0.00,2589.33,2589.33,531.90,112077.00,2849.00,1.07,56849804
YC,orig,2d,pread,128,4,0,0.00,100.00,533.20,10529.60,11.55,10518.05,11062.80,11051.25,556.03,111400.00,2848.00,1.03,56815092
YC,orig,2d,async,128,4,0,0.00,100.00,527.08,170.48,10.85,159.63,697.56,686.71,540.67,111613.00,2894.00,1.01,56843080
YC,orig,2e_K10,pread,128,4,0,0.00,100.00,523.73,9155.81,10.46,9145.35,9679.54,9669.08,538.69,111795.00,2875.00,1.00,56832528
YC,orig,2e_K10,async,128,4,0,0.00,100.00,527.26,186.09,11.00,175.09,713.35,702.35,545.73,111285.00,2891.00,1.19,56940624
YC,orig,2f_slru,pread,128,4,0,0.00,5.40,848.16,103721.25,9.91,103711.34,104569.41,104559.50,522.63,112457.00,2829.00,1.10,56928184
YC,orig,2f_slru,async,128,4,0,0.00,5.40,939.92,53911.22,9.71,53901.51,54851.14,54841.43,555.41,112202.00,2885.00,1.16,56960392
YC,orig,baseline,baseline,128,5,0,0.00,0.00,1102.30,0.00,0.00,0.00,1102.30,1102.30,546.54,112430.00,2856.00,1.12,56920756
YC,orig,2d,pread,128,5,0,0.00,100.00,519.88,8415.10,11.17,8403.92,8934.98,8923.80,544.70,112320.00,2886.00,1.06,56894000
YC,orig,2d,async,128,5,0,0.00,100.00,520.94,167.17,10.03,157.15,688.11,678.09,531.55,111536.00,2872.00,1.13,56902124
YC,orig,2e_K10,pread,128,5,0,0.00,100.00,518.94,9106.60,10.46,9096.15,9625.54,9615.09,548.76,111892.00,2911.00,1.06,56922164
YC,orig,2e_K10,async,128,5,0,0.00,100.00,518.50,181.88,10.39,171.49,700.38,689.99,528.27,111719.00,2886.00,1.03,56901368
YC,orig,2f_slru,pread,128,5,0,0.00,5.70,892.33,104242.76,9.04,104233.72,105135.09,105126.05,547.62,112086.00,2827.00,1.01,56921200
YC,orig,2f_slru,async,128,5,0,0.00,5.40,922.03,54373.72,9.22,54364.50,55295.75,55286.53,553.38,112593.00,2821.00,1.00,56917056
YC,orig,baseline,baseline,128,6,0,0.00,0.00,851.96,0.00,0.00,0.00,851.96,851.96,531.85,111869.00,2868.00,1.09,56906640
YC,orig,2d,pread,128,6,0,0.00,100.00,518.00,8049.52,10.20,8039.32,8567.52,8557.32,541.23,111602.00,2892.00,1.04,56901808
YC,orig,2d,async,128,6,0,0.00,100.00,523.00,184.71,9.37,175.34,707.71,698.34,542.73,111375.00,2908.00,1.07,56909260
YC,orig,2e_K10,pread,128,6,0,0.00,100.00,514.26,9065.73,9.93,9055.80,9579.99,9570.06,533.44,112200.00,2901.00,1.08,56912300
YC,orig,2e_K10,async,128,6,0,0.00,100.00,518.89,198.26,9.94,188.32,717.15,707.21,545.12,111426.00,2882.00,1.12,56914960
YC,orig,2f_slru,pread,128,6,0,0.00,5.40,862.71,103540.48,10.17,103530.31,104403.19,104393.02,526.87,112658.00,2886.00,1.10,56898352
YC,orig,2f_slru,async,128,6,0,0.00,5.40,853.16,53891.45,9.90,53881.56,54744.61,54734.72,535.62,112388.00,2836.00,1.79,56879516
YC,orig,baseline,baseline,128,7,0,0.00,0.00,860.31,0.00,0.00,0.00,860.31,860.31,542.62,112031.00,2871.00,1.45,56870748
YC,orig,2d,async,128,7,0,0.00,100.00,519.47,165.58,10.94,154.64,685.05,674.11,550.03,111393.00,2889.00,1.21,56862076
YC,orig,2e_K10,async,128,7,0,0.00,100.00,515.48,184.36,9.76,174.60,699.84,690.08,540.91,111316.00,2876.00,1.10,56895244
YC,orig,2f_slru,async,128,7,0,0.00,5.50,926.10,53915.13,9.57,53905.56,54841.23,54831.66,545.16,112506.00,2849.00,1.05,56879896
YC,orig,baseline,baseline,128,8,0,0.00,0.00,925.78,0.00,0.00,0.00,925.78,925.78,544.52,112297.00,2883.00,1.02,56861220
YC,orig,2d,async,128,8,0,0.00,100.00,557.81,166.13,9.73,156.40,723.94,714.21,542.45,111448.00,2888.00,1.01,56848800
YC,orig,2e_K10,async,128,8,0,0.00,100.00,524.51,204.43,9.41,195.03,728.94,719.54,538.98,111347.00,2895.00,1.00,56856828
YC,orig,2f_slru,async,128,8,0,0.00,5.50,938.89,55380.02,9.61,55370.41,56318.91,56309.30,556.33,112777.00,2848.00,1.17,56849604
YC,orig,baseline,baseline,128,9,0,0.00,0.00,855.41,0.00,0.00,0.00,855.41,855.41,528.82,112127.00,2858.00,1.09,56845560
YC,orig,2d,async,128,9,0,0.00,100.00,519.31,184.38,10.33,174.05,703.69,693.36,555.78,111370.00,2875.00,1.04,56816892
YC,orig,2e_K10,async,128,9,0,0.00,100.00,517.77,201.40,10.17,191.23,719.17,709.00,549.59,111630.00,2883.00,1.09,56830032
YC,orig,2f_slru,async,128,9,0,0.00,5.70,915.33,53829.71,13.22,53816.48,54745.04,54731.81,556.29,112243.00,2850.00,1.04,56839184
YC,orig,baseline,baseline,128,10,0,0.00,0.00,937.51,0.00,0.00,0.00,937.51,937.51,544.66,112213.00,2869.00,1.08,56820768
YC,orig,2d,async,128,10,0,0.00,100.00,518.32,185.79,9.65,176.14,704.11,694.46,555.64,111684.00,2893.00,1.65,56862876
