workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YC,orig,2d,async,10,128,509.76,515.26,485.83,12.06,100.0,162.07,9.98,152.34,673.92,664.03,0.0
YC,orig,2d,pread,5,128,508.53,514.79,482.20,13.57,100.0,7965.31,10.22,7955.43,8480.98,8471.10,0.0
YC,orig,2e_K10,async,10,128,512.82,526.37,494.57,8.86,100.0,178.62,10.09,168.47,690.13,680.76,0.0
YC,orig,2e_K10,pread,5,128,510.05,515.20,479.20,15.43,100.0,8749.05,10.03,8738.45,9255.10,9245.07,0.0
YC,orig,2e_K500,async,10,128,187.74,192.88,184.44,2.95,100.0,1006.73,10.05,996.36,1195.43,1185.32,0.0
YC,orig,2e_K500,pread,5,128,189.50,193.00,184.40,3.06,100.0,51822.28,9.99,51812.60,52013.46,52003.78,0.0
YC,orig,2f_slru,async,10,128,107.06,110.83,101.12,3.54,100.0,41470.58,9.99,41460.42,41577.01,41566.85,0.0
YC,orig,2f_slru,pread,5,128,103.13,110.72,102.37,3.60,100.0,104716.61,10.14,104706.68,104819.74,104809.81,0.0
YC,orig,baseline,baseline,10,128,855.22,882.69,816.06,22.20,0.0,0.00,0.00,0.00,855.22,855.22,0.0
YC,orig,layers_5,async,10,128,832.35,878.92,761.34,32.22,100.0,27.66,9.88,17.89,860.74,850.91,0.0
YC,orig,layers_5,pread,5,128,795.55,831.10,787.17,18.25,100.0,396.40,9.87,386.54,1191.95,1182.09,0.0
YC,orig,layers_92,async,10,128,513.50,529.79,488.16,12.47,100.0,163.75,9.92,153.35,677.43,667.03,0.0
YC,orig,layers_92,pread,5,128,511.62,514.63,487.35,10.03,100.0,8005.32,10.08,7994.45,8502.89,8493.30,0.0
YC,ta,2d,async,10,128,414.72,423.88,317.58,44.31,100.0,133.07,9.98,122.84,547.73,537.98,0.0
YC,ta,2d,pread,5,128,429.06,431.65,420.19,4.13,100.0,452.45,9.86,442.23,877.93,868.07,0.0
YC,ta,2e_K10,async,10,128,322.35,331.12,318.25,4.75,100.0,146.99,10.16,136.70,471.39,460.81,0.0
YC,ta,2e_K10,pread,5,128,313.85,324.29,312.60,5.08,100.0,1186.04,10.11,1178.23,1502.59,1492.42,0.0
YC,ta,2e_K500,async,10,128,157.59,162.55,151.21,3.49,100.0,953.25,10.33,942.33,1110.65,1100.10,0.0
YC,ta,2e_K500,pread,5,128,159.25,163.78,155.35,3.00,100.0,28393.26,10.37,28382.83,28552.20,28541.77,0.0
YC,ta,2f_slru,async,10,128,104.65,111.24,101.60,3.51,100.0,41102.19,10.27,41092.20,41205.29,41195.30,0.0
YC,ta,2f_slru,pread,5,128,101.24,110.94,100.14,4.59,100.0,41535.05,10.11,41525.08,41647.03,41637.06,0.0
YC,ta,baseline,baseline,10,128,576.10,625.29,566.49,21.07,0.0,0.00,0.00,0.00,576.10,576.10,0.0
YC,ta,layers_5,async,10,128,590.51,597.27,587.93,3.22,100.0,26.76,10.19,16.79,618.44,608.51,0.0
YC,ta,layers_5,pread,5,128,479.32,498.60,475.54,9.55,100.0,194.68,10.04,184.91,674.84,664.50,0.0
YC,ta,layers_92,async,10,128,419.79,424.18,325.05,28.56,100.0,131.49,10.21,121.16,550.79,540.88,0.0
YC,ta,layers_92,pread,5,128,427.55,431.81,422.36,3.63,100.0,452.27,9.94,442.35,879.82,869.90,0.0
YC,vacuum,2d,async,10,128,319.72,326.82,313.44,4.55,100.0,101.71,10.20,91.44,425.11,414.88,0.0
YC,vacuum,2d,pread,5,128,320.26,324.48,314.29,3.87,100.0,2933.41,10.37,2922.95,3257.79,3246.99,0.0
YC,vacuum,2e_K10,async,10,128,318.44,324.13,309.18,4.19,100.0,120.73,10.25,110.48,437.19,427.34,0.0
YC,vacuum,2e_K10,pread,5,128,319.60,322.34,312.28,3.62,100.0,3473.10,10.48,3463.08,3792.70,3782.68,0.0
YC,vacuum,2e_K500,async,10,128,156.07,158.23,151.69,2.23,100.0,967.48,10.48,957.00,1123.18,1112.68,0.0
YC,vacuum,2e_K500,pread,5,128,156.84,217.50,152.78,30.26,100.0,30878.16,10.46,30867.80,31037.80,31027.44,0.0
YC,vacuum,2f_slru,async,10,128,106.38,110.24,102.93,2.36,100.0,31703.54,10.04,31693.34,31808.39,31798.18,0.0
YC,vacuum,2f_slru,pread,5,128,107.52,109.80,105.26,1.58,100.0,31618.63,9.90,31608.88,31725.99,31716.24,0.0
YC,vacuum,baseline,baseline,10,128,524.63,604.60,493.57,36.82,0.0,0.00,0.00,0.00,524.63,524.63,0.0
YC,vacuum,layers_5,async,10,128,459.87,467.89,455.04,4.53,100.0,27.67,10.25,17.30,488.11,477.52,0.0
YC,vacuum,layers_5,pread,5,128,450.27,462.79,442.33,7.73,100.0,342.60,10.17,332.92,792.67,783.19,0.0
YC,vacuum,layers_92,async,10,128,326.02,331.87,320.24,3.95,100.0,155.32,9.98,144.84,479.75,469.44,0.0
YC,vacuum,layers_92,pread,5,128,321.86,326.86,315.65,4.56,100.0,4780.80,9.89,4770.46,5107.86,5097.52,0.0
YCh01,orig,2d,async,10,128,574.44,590.21,537.17,18.21,100.0,164.05,9.72,154.40,737.62,728.11,0.0
YCh01,orig,2d,pread,5,128,570.97,575.03,538.86,16.75,100.0,8016.24,9.73,8006.24,8587.21,8577.21,0.0
YCh01,orig,2e_K10,async,10,128,545.14,581.29,537.84,17.68,100.0,181.74,10.00,171.78,740.89,730.25,0.0
YCh01,orig,2e_K10,pread,5,128,569.87,572.61,535.27,17.68,100.0,8893.52,10.44,8883.27,9452.77,9441.98,0.0
YCh01,orig,2e_K500,async,10,128,591.41,610.42,514.47,30.89,100.0,990.80,9.87,980.81,1587.55,1577.56,0.0
YCh01,orig,2e_K500,pread,5,128,568.26,574.57,507.76,30.03,100.0,54577.83,9.91,54567.41,55146.09,55135.67,0.0
YCh01,orig,2f_slru,async,10,128,106.48,109.80,101.87,2.63,100.0,41462.49,10.22,41452.54,41567.92,41557.96,0.0
YCh01,orig,2f_slru,pread,5,128,109.05,113.24,100.32,4.88,100.0,103862.63,10.01,103853.09,103976.75,103967.21,0.0
YCh01,orig,baseline,baseline,10,128,1018.58,1027.17,993.57,11.02,0.0,0.00,0.00,0.00,1018.58,1018.58,0.0
YCh01,orig,layers_5,async,10,128,998.71,1085.59,901.22,58.18,100.0,28.17,10.17,17.87,1026.97,1015.78,0.0
YCh01,orig,layers_5,pread,5,128,970.48,978.16,933.11,16.65,100.0,397.67,10.05,387.28,1375.13,1365.11,0.0
YCh01,orig,layers_92,async,10,128,525.48,591.48,504.51,33.84,100.0,164.75,10.37,154.54,687.21,677.64,0.0
YCh01,orig,layers_92,pread,5,128,549.34,599.90,541.88,25.81,100.0,8042.18,10.23,8032.03,8584.06,8573.91,0.0
YCh01,ta,2d,async,10,128,410.98,417.38,318.07,36.81,100.0,129.34,10.09,119.27,536.61,527.17,0.0
YCh01,ta,2d,pread,5,128,424.11,426.26,314.72,43.65,100.0,453.57,9.85,443.03,875.51,865.91,0.0
YCh01,ta,2e_K10,async,10,128,315.51,323.51,311.20,4.39,100.0,144.30,10.16,134.20,461.89,451.62,0.0
YCh01,ta,2e_K10,pread,5,128,314.56,417.31,313.30,50.97,100.0,1244.44,10.38,1234.06,1559.90,1547.36,0.0
YCh01,ta,2e_K500,async,10,128,320.04,330.37,312.39,5.74,100.0,1008.45,10.36,997.91,1337.39,1326.86,0.0
YCh01,ta,2e_K500,pread,5,128,317.10,318.03,312.61,2.05,100.0,29488.37,10.21,29477.74,29803.16,29792.66,0.0
