workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YC,orig,2d,async,10,128,504.25,519.19,482.21,14.13,100.0,167.74,9.98,158.10,670.34,660.16,0.0
YC,orig,2d,pread,5,128,511.63,517.52,492.29,8.90,100.0,7878.36,10.27,7868.83,8389.90,8380.46,0.0
YC,orig,2e_K10,async,10,128,514.53,520.52,484.01,15.36,100.0,185.38,10.20,175.21,701.58,691.15,0.0
YC,orig,2e_K10,pread,5,128,513.73,576.76,478.95,37.46,100.0,8754.07,10.19,8743.88,9267.80,9257.61,0.0
YC,orig,baseline,baseline,10,128,930.97,960.56,838.81,37.71,0.0,0.00,0.00,0.00,930.97,930.97,0.0
YC,orig,leaf_freq_K10,async,10,128,876.15,918.70,830.33,23.94,100.0,37.31,10.27,26.90,912.95,902.89,0.0
YC,orig,leaf_freq_K10,pread,5,128,894.82,912.16,866.20,17.29,100.0,855.92,10.03,846.04,1744.94,1734.42,0.0
YC,orig,leaf_rand_K10,async,10,128,882.12,909.51,828.01,23.66,100.0,36.77,10.13,26.79,919.77,909.23,0.0
YC,orig,leaf_rand_K10,pread,5,128,898.17,922.23,859.91,24.56,100.0,890.61,10.00,880.14,1788.78,1778.31,0.0
YCh01,orig,2d,async,10,128,578.20,608.41,516.19,26.04,100.0,167.10,10.11,156.65,745.02,735.50,0.0
YCh01,orig,2d,pread,5,128,573.94,579.15,531.42,17.91,100.0,8053.68,10.14,8045.40,8632.88,8623.01,0.0
YCh01,orig,2e_K10,async,10,128,593.23,610.09,540.45,25.88,100.0,184.84,10.14,174.74,774.04,763.96,0.0
YCh01,orig,2e_K10,pread,5,128,577.45,580.27,540.27,15.16,100.0,8935.19,10.36,8924.77,9508.17,9497.73,0.0
YCh01,orig,baseline,baseline,10,128,1118.34,1155.14,1068.92,27.27,0.0,0.00,0.00,0.00,1118.34,1118.34,0.0
YCh01,orig,leaf_freq_K10,async,10,128,1080.18,1109.56,974.94,37.63,100.0,37.21,10.31,27.30,1116.35,1106.10,0.0
YCh01,orig,leaf_freq_K10,pread,5,128,1071.39,1085.60,1033.95,21.63,100.0,889.47,10.11,879.40,1961.27,1951.16,0.0
YCh01,orig,leaf_rand_K10,async,10,128,1088.12,1109.63,1032.79,27.41,100.0,37.08,9.68,26.40,1122.49,1113.54,0.0
YCh01,orig,leaf_rand_K10,pread,5,128,1044.33,1102.54,978.69,43.66,100.0,891.50,10.33,880.74,1935.83,1925.07,0.0
YCu,orig,2d,async,10,128,560.32,625.95,514.33,42.15,100.0,167.78,10.05,157.31,725.09,714.71,0.0
YCu,orig,2d,pread,5,128,524.17,586.43,492.68,36.86,100.0,7942.53,10.20,7931.90,8470.40,8460.69,0.0
YCu,orig,2e_K10,async,10,128,560.89,592.82,520.77,26.17,100.0,181.73,10.04,171.48,741.67,731.31,0.0
YCu,orig,2e_K10,pread,5,128,523.82,574.26,520.10,25.91,100.0,8844.54,9.78,8833.87,9368.36,9357.69,0.0
YCu,orig,baseline,baseline,10,128,984.07,1022.39,891.21,42.59,0.0,0.00,0.00,0.00,984.07,984.07,0.0
YCu,orig,leaf_freq_K10,async,10,128,976.42,1006.43,869.61,44.92,100.0,36.59,10.27,26.30,1012.44,1002.25,0.0
YCu,orig,leaf_freq_K10,pread,5,128,881.37,938.74,877.13,26.70,100.0,829.63,10.50,818.95,1710.32,1700.34,0.0
YCu,orig,leaf_rand_K10,async,10,128,972.32,982.42,875.94,38.06,100.0,35.94,10.12,26.34,1006.92,998.00,0.0
YCu,orig,leaf_rand_K10,pread,5,128,978.62,994.55,871.46,45.36,100.0,856.02,10.06,845.96,1825.56,1815.58,0.0
