workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,baseline,baseline,128,1,1,0.00,0.00,806.24,0.00,0.00,0.00,806.24,806.24,294.57,65456.00,3901.00,1.00,36984440
YCu,orig,baseline,baseline,128,1,1,0.00,0.00,973.99,0.00,0.00,0.00,973.99,973.99,363.28,74487.00,4427.00,1.00,36999984
YCh01,orig,baseline,baseline,128,1,1,0.00,0.00,1200.74,0.00,0.00,0.00,1200.74,1200.74,335.01,69970.00,5102.00,1.00,37038924
YC,orig,2d,pread,128,1,1,0.00,100.00,510.44,8129.14,10.35,8118.79,8639.58,8629.23,296.27,65348.00,3948.00,1.00,37016260
YC,orig,2d,async,128,1,1,0.00,100.00,518.63,164.95,10.20,154.75,683.58,673.38,297.30,65478.00,3942.00,1.00,37027860
YC,orig,2e_K10,pread,128,1,1,0.00,100.00,510.22,9012.50,11.36,9001.14,9522.72,9511.36,307.15,65326.00,3976.00,1.00,37033372
YC,orig,2e_K10,async,128,1,1,0.00,100.00,515.36,183.76,10.11,173.66,699.12,689.02,314.78,65295.00,3961.00,1.00,37033320
YC,orig,2f_slru,pread,128,1,1,0.00,13.50,815.99,97879.76,10.06,97869.70,98695.75,98685.69,303.68,65481.00,3869.00,1.06,37030308
YC,orig,2f_slru,async,128,1,1,0.00,13.40,856.87,44880.35,10.55,44869.80,45737.22,45726.67,298.06,65427.00,3861.00,1.04,37016880
YCu,orig,2d,pread,128,1,1,0.00,100.00,523.95,8024.17,9.51,8014.66,8548.12,8538.61,358.01,74499.00,4475.00,1.02,37002320
YCu,orig,2d,async,128,1,1,0.00,100.00,529.20,169.11,10.33,158.78,698.31,687.98,337.82,74625.00,4502.00,1.01,37019328
YCu,orig,2e_K10,pread,128,1,1,0.00,100.00,495.18,8787.75,10.36,8777.39,9282.93,9272.57,337.66,74472.00,4494.00,1.01,37009724
YCu,orig,2e_K10,async,128,1,1,0.00,100.00,724.51,185.88,9.70,176.18,910.39,900.69,362.62,74288.00,4504.00,1.46,37018736
YCu,orig,2f_slru,pread,128,1,1,0.00,13.50,832.43,100872.12,10.14,100861.98,101704.55,101694.41,355.58,74670.00,4411.00,1.56,36997728
YCu,orig,2f_slru,async,128,1,1,0.00,13.30,938.80,44627.23,9.94,44617.29,45566.03,45556.09,349.30,74519.00,4408.00,1.34,36994380
YCh01,orig,2d,pread,128,1,1,0.00,100.00,538.63,8032.07,9.53,8022.54,8570.70,8561.17,330.75,69687.00,5192.00,1.22,36993120
YCh01,orig,2d,async,128,1,1,0.00,100.00,546.65,176.26,9.25,167.01,722.91,713.66,318.88,69701.00,5229.00,1.14,37003996
YCh01,orig,2e_K10,pread,128,1,1,0.00,100.00,574.98,9052.97,9.87,9043.10,9627.95,9618.08,325.35,69598.00,5195.00,1.09,37006552
YCh01,orig,2e_K10,async,128,1,1,0.00,100.00,536.61,180.98,10.48,170.50,717.59,707.11,323.92,69755.00,5179.00,1.14,36994220
YCh01,orig,2f_slru,pread,128,1,1,0.00,13.40,190.31,102646.26,9.74,102636.53,102836.57,102826.84,327.02,69837.00,5082.00,1.16,36984700
YCh01,orig,2f_slru,async,128,1,1,0.00,13.30,200.97,45197.58,9.85,45187.74,45398.55,45388.71,320.47,70040.00,5140.00,1.09,36990228
YC,orig,baseline,baseline,128,2,0,0.00,0.00,883.84,0.00,0.00,0.00,883.84,883.84,291.89,65570.00,3880.00,1.12,36973852
YCu,orig,baseline,baseline,128,2,0,0.00,0.00,971.90,0.00,0.00,0.00,971.90,971.90,333.01,74709.00,4413.00,1.08,36979184
YCh01,orig,baseline,baseline,128,2,0,0.00,0.00,1162.57,0.00,0.00,0.00,1162.57,1162.57,324.55,69925.00,5114.00,1.05,36980740
YC,orig,2d,pread,128,2,0,0.00,100.00,481.71,7986.52,10.31,7976.21,8468.23,8457.92,314.49,65455.00,3965.00,1.03,36972420
YC,orig,2d,async,128,2,0,0.00,100.00,514.97,167.72,11.23,156.49,682.69,671.46,302.81,65243.00,3979.00,1.02,36969340
YC,orig,2e_K10,pread,128,2,0,0.00,100.00,512.96,8826.96,10.29,8816.67,9339.92,9329.63,313.45,65394.00,3970.00,1.09,36978168
YC,orig,2e_K10,async,128,2,0,0.00,100.00,513.62,183.69,9.97,173.72,697.31,687.34,310.50,65327.00,3963.00,1.12,36964024
YC,orig,2f_slru,pread,128,2,0,0.00,13.30,848.00,98863.95,10.46,98853.49,99711.95,99701.49,296.42,65736.00,3883.00,1.08,36972860
YC,orig,2f_slru,async,128,2,0,0.00,13.40,840.61,44977.25,10.09,44967.16,45817.86,45807.77,317.78,65516.00,3947.00,1.05,36963148
YCu,orig,2d,pread,128,2,0,0.00,100.00,523.16,8023.09,10.57,8012.52,8546.25,8535.68,357.47,74255.00,4472.00,1.03,36958084
YCu,orig,2d,async,128,2,0,0.00,100.00,522.94,172.88,10.40,162.49,695.82,685.43,354.84,74323.00,4491.00,1.02,36955368
YCu,orig,2e_K10,pread,128,2,0,0.00,100.00,520.99,8846.58,10.32,8836.26,9367.57,9357.25,358.85,74556.00,4448.00,1.01,36968620
YCu,orig,2e_K10,async,128,2,0,0.00,100.00,589.17,185.02,9.35,175.67,774.19,764.84,340.15,74330.00,4517.00,1.01,36968044
YCu,orig,2f_slru,pread,128,2,0,0.00,13.30,940.69,101206.09,10.24,101195.85,102146.78,102136.54,361.64,74646.00,4419.00,1.15,36958364
