workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YC,orig,2d,async,10,128,513.97,519.87,488.02,12.93,100.0,168.14,10.51,157.78,680.17,669.71,0.0
YC,orig,2d,pread,5,128,517.29,519.20,508.62,4.41,100.0,7941.96,10.36,7932.78,8460.03,8450.07,0.0
YC,orig,2e_K10,async,10,128,502.71,519.74,486.85,14.11,100.0,183.41,10.13,172.92,692.35,681.41,0.0
YC,orig,2e_K10,pread,5,128,512.37,517.23,490.68,11.91,100.0,8751.20,10.01,8740.67,9242.06,9231.53,0.0
YC,orig,2f_slru,async,10,128,108.30,111.33,102.86,3.04,100.0,41686.63,10.29,41676.50,41793.65,41783.51,0.0
YC,orig,2f_slru,pread,5,128,102.62,107.47,99.76,2.82,100.0,103178.19,10.00,103168.34,103280.51,103270.66,0.0
YC,orig,baseline,baseline,10,128,926.96,946.70,879.58,21.40,0.0,0.00,0.00,0.00,926.96,926.96,0.0
YCh01,orig,2d,async,10,128,601.78,607.38,508.20,29.31,100.0,165.20,10.48,154.14,762.62,752.40,0.0
YCh01,orig,2d,pread,5,128,600.45,603.96,595.46,3.01,100.0,8088.43,10.44,8077.99,8690.80,8680.36,0.0
YCh01,orig,2e_K10,async,10,128,569.36,596.29,539.94,21.42,100.0,185.18,10.27,174.99,754.48,744.57,0.0
YCh01,orig,2e_K10,pread,5,128,573.73,582.89,572.21,4.80,100.0,8913.67,10.41,8902.97,9496.50,9486.71,0.0
YCh01,orig,2f_slru,async,10,128,107.00,110.72,101.34,2.61,100.0,41571.33,10.37,41560.61,41679.25,41668.53,0.0
YCh01,orig,2f_slru,pread,5,128,102.37,108.81,101.52,3.28,100.0,101331.15,10.04,101321.28,101433.81,101423.94,0.0
YCh01,orig,baseline,baseline,10,128,1116.69,1148.77,1073.34,25.06,0.0,0.00,0.00,0.00,1116.69,1116.69,0.0
YCu,orig,2d,async,10,128,524.00,594.03,493.94,38.10,100.0,165.94,10.19,154.33,690.32,680.15,0.0
YCu,orig,2d,pread,5,128,522.74,577.14,517.63,27.31,100.0,7951.98,10.28,7942.47,8515.81,8506.09,0.0
YCu,orig,2e_K10,async,10,128,560.17,589.31,490.31,36.71,100.0,177.81,9.97,167.90,739.34,728.94,0.0
YCu,orig,2e_K10,pread,5,128,524.20,565.74,516.28,21.71,100.0,8824.61,9.85,8814.68,9348.81,9338.88,0.0
YCu,orig,2f_slru,async,10,128,108.56,111.78,104.03,2.20,100.0,41758.99,10.50,41748.62,41867.51,41857.15,0.0
YCu,orig,2f_slru,pread,5,128,104.68,114.13,101.06,5.37,100.0,98646.45,9.98,98635.72,98747.51,98736.78,0.0
YCu,orig,baseline,baseline,10,128,942.40,1015.94,912.45,41.38,0.0,0.00,0.00,0.00,942.40,942.40,0.0
