workload,layout,checkpoint,strategy,first_query_us
YC,orig,0,baseline,501.60
YC,orig,0,2e_K10_static,258.21
YC,orig,0,layers_92_static,258.37
YC,orig,1,baseline,655.63
YC,orig,1,2e_K10_static,327.33
YC,orig,1,layers_92_static,329.20
YC,orig,2,baseline,619.88
YC,orig,2,2e_K10_static,291.90
YC,orig,2,layers_92_static,291.40
YC,orig,3,baseline,586.71
YC,orig,3,2e_K10_static,307.83
YC,orig,3,layers_92_static,327.53
YC,orig,4,baseline,598.12
YC,orig,4,2e_K10_static,292.13
YC,orig,4,layers_92_static,297.24
YC,orig,5,baseline,562.69
YC,orig,5,2e_K10_static,291.60
YC,orig,5,layers_92_static,335.74
YC,orig,6,baseline,634.18
YC,orig,6,2e_K10_static,295.72
YC,orig,6,layers_92_static,293.35
YC,orig,7,baseline,630.06
YC,orig,7,2e_K10_static,296.64
YC,orig,7,layers_92_static,295.01
YC,orig,8,baseline,664.89
YC,orig,8,2e_K10_static,324.27
YC,orig,8,layers_92_static,323.38
YC,orig,9,baseline,623.12
YC,orig,9,2e_K10_static,323.64
YC,orig,9,layers_92_static,323.27
YC,orig,10,baseline,610.88
YC,orig,10,2e_K10_static,291.52
YC,orig,10,layers_92_static,295.83
