workload,layout,checkpoint,strategy,first_query_us
YC,orig,0,baseline,565.66
YC,orig,0,2e_K10_static,264.37
YC,orig,0,layers_92_static,254.94
YC,orig,1,baseline,563.66
YC,orig,1,2e_K10_static,290.70
YC,orig,1,layers_92_static,298.76
YC,orig,2,baseline,556.46
YC,orig,2,2e_K10_static,328.38
YC,orig,2,layers_92_static,299.61
YC,orig,3,baseline,562.86
YC,orig,3,2e_K10_static,286.97
YC,orig,3,layers_92_static,288.23
YC,orig,4,baseline,550.43
YC,orig,4,2e_K10_static,297.14
YC,orig,4,layers_92_static,288.55
YC,orig,5,baseline,546.28
YC,orig,5,2e_K10_static,286.86
YC,orig,5,layers_92_static,282.80
YC,orig,6,baseline,559.67
YC,orig,6,2e_K10_static,291.66
YC,orig,6,layers_92_static,286.37
YC,orig,7,baseline,545.28
YC,orig,7,2e_K10_static,285.78
YC,orig,7,layers_92_static,285.30
YC,orig,8,baseline,556.43
YC,orig,8,2e_K10_static,291.91
YC,orig,8,layers_92_static,284.30
YC,orig,9,baseline,551.96
YC,orig,9,2e_K10_static,288.55
YC,orig,9,layers_92_static,289.95
YC,orig,10,baseline,561.07
YC,orig,10,2e_K10_static,288.18
YC,orig,10,layers_92_static,285.55
