workload,layout,checkpoint,strategy,first_query_us
YC,orig,0,baseline,517.94
YC,orig,0,2e_K10_static,254.83
YC,orig,0,layers_92_static,255.15
YC,orig,1,baseline,581.34
YC,orig,1,2e_K10_static,282.08
YC,orig,1,layers_92_static,281.04
YC,orig,2,baseline,561.70
YC,orig,2,2e_K10_static,259.00
YC,orig,2,layers_92_static,286.00
YC,orig,3,baseline,561.90
YC,orig,3,2e_K10_static,285.60
YC,orig,3,layers_92_static,286.72
YC,orig,4,baseline,564.05
YC,orig,4,2e_K10_static,280.22
YC,orig,4,layers_92_static,285.28
YC,orig,5,baseline,576.46
YC,orig,5,2e_K10_static,287.78
YC,orig,5,layers_92_static,286.18
YC,orig,6,baseline,564.62
YC,orig,6,2e_K10_static,256.91
YC,orig,6,layers_92_static,286.18
YC,orig,7,baseline,541.10
YC,orig,7,2e_K10_static,261.01
YC,orig,7,layers_92_static,288.31
YC,orig,8,baseline,553.67
YC,orig,8,2e_K10_static,285.13
YC,orig,8,layers_92_static,286.33
YC,orig,9,baseline,577.23
YC,orig,9,2e_K10_static,282.74
YC,orig,9,layers_92_static,283.30
YC,orig,10,baseline,538.89
YC,orig,10,2e_K10_static,284.53
YC,orig,10,layers_92_static,252.39
