workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,531.63
YD,orig,0,layers_5_static,424.61
YD,orig,0,layers_92_static,256.81
YD,orig,0,2d_static,254.30
YD,orig,0,2e_K10_static,432.46
YD,orig,0,2e_K500_static,255.12
YD,orig,0,2f_slru_static,37.05
YD,orig,1,baseline,506.11
YD,orig,1,layers_5_static,409.65
YD,orig,1,layers_92_static,211.59
YD,orig,1,2d_static,211.98
YD,orig,1,2e_K10_static,379.70
YD,orig,1,2e_K500_static,205.06
YD,orig,1,2f_slru_static,153.74
YD,orig,2,baseline,547.77
YD,orig,2,layers_5_static,450.55
YD,orig,2,layers_92_static,252.75
YD,orig,2,2d_static,264.83
YD,orig,2,2e_K10_static,428.55
YD,orig,2,2e_K500_static,96.77
YD,orig,2,2f_slru_static,36.35
YD,orig,3,baseline,508.07
YD,orig,3,layers_5_static,419.88
YD,orig,3,layers_92_static,257.16
YD,orig,3,2d_static,258.42
YD,orig,3,2e_K10_static,438.48
YD,orig,3,2e_K500_static,245.16
YD,orig,3,2f_slru_static,37.95
YD,orig,4,baseline,502.16
YD,orig,4,layers_5_static,414.16
YD,orig,4,layers_92_static,243.27
YD,orig,4,2d_static,245.86
YD,orig,4,2e_K10_static,414.08
YD,orig,4,2e_K500_static,95.70
YD,orig,4,2f_slru_static,37.42
YD,orig,5,baseline,523.18
YD,orig,5,layers_5_static,423.43
YD,orig,5,layers_92_static,259.55
YD,orig,5,2d_static,259.46
YD,orig,5,2e_K10_static,431.32
YD,orig,5,2e_K500_static,323.34
YD,orig,5,2f_slru_static,38.19
YD,orig,6,baseline,516.27
YD,orig,6,layers_5_static,418.84
YD,orig,6,layers_92_static,256.49
YD,orig,6,2d_static,255.93
YD,orig,6,2e_K10_static,432.38
YD,orig,6,2e_K500_static,282.55
YD,orig,6,2f_slru_static,36.14
YD,orig,7,baseline,523.92
YD,orig,7,layers_5_static,448.06
YD,orig,7,layers_92_static,255.46
YD,orig,7,2d_static,254.76
YD,orig,7,2e_K10_static,427.67
YD,orig,7,2e_K500_static,255.04
YD,orig,7,2f_slru_static,37.13
YD,orig,8,baseline,526.29
YD,orig,8,layers_5_static,438.79
YD,orig,8,layers_92_static,260.17
YD,orig,8,2d_static,254.57
YD,orig,8,2e_K10_static,436.32
YD,orig,8,2e_K500_static,256.69
YD,orig,8,2f_slru_static,37.39
YD,orig,9,baseline,588.16
YD,orig,9,layers_5_static,492.17
YD,orig,9,layers_92_static,302.96
YD,orig,9,2d_static,301.58
YD,orig,9,2e_K10_static,298.81
YD,orig,9,2e_K500_static,305.15
YD,orig,9,2f_slru_static,250.03
YD,orig,10,baseline,540.13
YD,orig,10,layers_5_static,453.49
YD,orig,10,layers_92_static,291.07
YD,orig,10,2d_static,283.90
YD,orig,10,2e_K10_static,138.36
YD,orig,10,2e_K500_static,287.32
YD,orig,10,2f_slru_static,236.47
YE,orig,0,baseline,363.89
YE,orig,0,layers_5_static,258.14
YE,orig,0,layers_92_static,282.03
YE,orig,0,2d_static,283.67
YE,orig,0,2e_K10_static,282.01
YE,orig,0,2e_K500_static,95.99
YE,orig,0,2f_slru_static,37.02
YE,orig,1,baseline,548.96
YE,orig,1,layers_5_static,456.71
YE,orig,1,layers_92_static,261.31
YE,orig,1,2d_static,262.43
YE,orig,1,2e_K10_static,261.82
YE,orig,1,2e_K500_static,95.60
YE,orig,1,2f_slru_static,36.98
YE,orig,2,baseline,615.64
YE,orig,2,layers_5_static,457.13
YE,orig,2,layers_92_static,350.34
YE,orig,2,2d_static,350.40
YE,orig,2,2e_K10_static,351.11
YE,orig,2,2e_K500_static,298.19
YE,orig,2,2f_slru_static,38.43
YE,orig,3,baseline,556.92
YE,orig,3,layers_5_static,463.65
YE,orig,3,layers_92_static,291.82
YE,orig,3,2d_static,288.03
YE,orig,3,2e_K10_static,289.02
YE,orig,3,2e_K500_static,291.88
YE,orig,3,2f_slru_static,37.80
YE,orig,4,baseline,624.15
YE,orig,4,layers_5_static,518.05
YE,orig,4,layers_92_static,323.16
YE,orig,4,2d_static,325.57
YE,orig,4,2e_K10_static,326.59
YE,orig,4,2e_K500_static,325.12
YE,orig,4,2f_slru_static,37.15
YE,orig,5,baseline,509.09
YE,orig,5,layers_5_static,416.00
YE,orig,5,layers_92_static,250.48
YE,orig,5,2d_static,246.43
YE,orig,5,2e_K10_static,249.07
YE,orig,5,2e_K500_static,255.63
YE,orig,5,2f_slru_static,37.02
YE,orig,6,baseline,596.34
YE,orig,6,layers_5_static,477.21
YE,orig,6,layers_92_static,269.40
YE,orig,6,2d_static,267.14
YE,orig,6,2e_K10_static,266.20
YE,orig,6,2e_K500_static,268.86
YE,orig,6,2f_slru_static,36.80
YE,orig,7,baseline,553.21
YE,orig,7,layers_5_static,460.89
YE,orig,7,layers_92_static,297.56
YE,orig,7,2d_static,269.84
YE,orig,7,2e_K10_static,264.66
YE,orig,7,2e_K500_static,288.61
YE,orig,7,2f_slru_static,39.88
YE,orig,8,baseline,602.82
YE,orig,8,layers_5_static,516.13
YE,orig,8,layers_92_static,281.32
YE,orig,8,2d_static,282.18
YE,orig,8,2e_K10_static,282.84
YE,orig,8,2e_K500_static,279.34
YE,orig,8,2f_slru_static,39.01
YE,orig,9,baseline,575.06
YE,orig,9,layers_5_static,426.68
YE,orig,9,layers_92_static,261.39
YE,orig,9,2d_static,258.25
YE,orig,9,2e_K10_static,259.50
YE,orig,9,2e_K500_static,281.44
YE,orig,9,2f_slru_static,37.76
YE,orig,10,baseline,552.79
YE,orig,10,layers_5_static,423.31
YE,orig,10,layers_92_static,256.05
YE,orig,10,2d_static,256.12
YE,orig,10,2e_K10_static,254.09
YE,orig,10,2e_K500_static,271.84
YE,orig,10,2f_slru_static,37.51
YD,vacuum,0,baseline,543.64
YD,vacuum,0,layers_5_static,435.80
YD,vacuum,0,layers_92_static,258.54
YD,vacuum,0,2d_static,261.61
YD,vacuum,0,2e_K10_static,432.19
YD,vacuum,0,2e_K500_static,266.93
YD,vacuum,0,2f_slru_static,37.48
YD,vacuum,1,baseline,560.80
YD,vacuum,1,layers_5_static,458.85
YD,vacuum,1,layers_92_static,295.96
YD,vacuum,1,2d_static,295.34
YD,vacuum,1,2e_K10_static,478.60
YD,vacuum,1,2e_K500_static,297.40
YD,vacuum,1,2f_slru_static,243.20
YD,vacuum,2,baseline,569.30
YD,vacuum,2,layers_5_static,413.98
YD,vacuum,2,layers_92_static,250.80
YD,vacuum,2,2d_static,250.80
YD,vacuum,2,2e_K10_static,432.42
YD,vacuum,2,2e_K500_static,95.55
YD,vacuum,2,2f_slru_static,37.72
YD,vacuum,3,baseline,548.32
YD,vacuum,3,layers_5_static,413.58
YD,vacuum,3,layers_92_static,253.12
YD,vacuum,3,2d_static,250.59
YD,vacuum,3,2e_K10_static,434.45
YD,vacuum,3,2e_K500_static,247.87
YD,vacuum,3,2f_slru_static,36.66
YD,vacuum,4,baseline,584.43
YD,vacuum,4,layers_5_static,457.50
YD,vacuum,4,layers_92_static,261.99
YD,vacuum,4,2d_static,260.21
YD,vacuum,4,2e_K10_static,419.16
YD,vacuum,4,2e_K500_static,94.82
YD,vacuum,4,2f_slru_static,36.77
YD,vacuum,5,baseline,549.28
YD,vacuum,5,layers_5_static,418.12
YD,vacuum,5,layers_92_static,256.97
YD,vacuum,5,2d_static,251.76
YD,vacuum,5,2e_K10_static,432.08
YD,vacuum,5,2e_K500_static,273.36
YD,vacuum,5,2f_slru_static,36.87
YD,vacuum,6,baseline,547.97
YD,vacuum,6,layers_5_static,424.14
YD,vacuum,6,layers_92_static,259.50
YD,vacuum,6,2d_static,257.46
YD,vacuum,6,2e_K10_static,437.78
YD,vacuum,6,2e_K500_static,260.75
YD,vacuum,6,2f_slru_static,37.48
YD,vacuum,7,baseline,543.55
YD,vacuum,7,layers_5_static,416.34
YD,vacuum,7,layers_92_static,253.39
YD,vacuum,7,2d_static,253.97
YD,vacuum,7,2e_K10_static,439.10
YD,vacuum,7,2e_K500_static,254.58
YD,vacuum,7,2f_slru_static,36.96
YD,vacuum,8,baseline,551.29
YD,vacuum,8,layers_5_static,431.23
YD,vacuum,8,layers_92_static,255.86
YD,vacuum,8,2d_static,250.71
YD,vacuum,8,2e_K10_static,250.25
YD,vacuum,8,2e_K500_static,254.99
YD,vacuum,8,2f_slru_static,36.89
YD,vacuum,9,baseline,528.88
YD,vacuum,9,layers_5_static,485.08
YD,vacuum,9,layers_92_static,286.60
YD,vacuum,9,2d_static,287.36
YD,vacuum,9,2e_K10_static,288.83
YD,vacuum,9,2e_K500_static,287.19
YD,vacuum,9,2f_slru_static,235.49
YD,vacuum,10,baseline,602.79
YD,vacuum,10,layers_5_static,493.97
YD,vacuum,10,layers_92_static,308.35
YD,vacuum,10,2d_static,305.15
YD,vacuum,10,2e_K10_static,497.52
YD,vacuum,10,2e_K500_static,314.27
YD,vacuum,10,2f_slru_static,265.96
YE,vacuum,0,baseline,361.76
YE,vacuum,0,layers_5_static,256.60
YE,vacuum,0,layers_92_static,264.98
YE,vacuum,0,2d_static,253.47
YE,vacuum,0,2e_K10_static,252.94
YE,vacuum,0,2e_K500_static,94.22
YE,vacuum,0,2f_slru_static,37.18
YE,vacuum,1,baseline,552.50
YE,vacuum,1,layers_5_static,425.93
YE,vacuum,1,layers_92_static,256.24
YE,vacuum,1,2d_static,258.07
YE,vacuum,1,2e_K10_static,259.04
YE,vacuum,1,2e_K500_static,99.61
YE,vacuum,1,2f_slru_static,37.27
YE,vacuum,2,baseline,544.04
YE,vacuum,2,layers_5_static,411.86
YE,vacuum,2,layers_92_static,254.08
YE,vacuum,2,2d_static,252.75
YE,vacuum,2,2e_K10_static,250.68
YE,vacuum,2,2e_K500_static,252.08
YE,vacuum,2,2f_slru_static,38.66
YE,vacuum,3,baseline,543.44
YE,vacuum,3,layers_5_static,419.17
YE,vacuum,3,layers_92_static,255.49
YE,vacuum,3,2d_static,254.49
YE,vacuum,3,2e_K10_static,256.04
YE,vacuum,3,2e_K500_static,258.59
YE,vacuum,3,2f_slru_static,36.58
YE,vacuum,4,baseline,550.43
YE,vacuum,4,layers_5_static,428.79
YE,vacuum,4,layers_92_static,261.04
YE,vacuum,4,2d_static,260.95
YE,vacuum,4,2e_K10_static,259.85
YE,vacuum,4,2e_K500_static,246.28
YE,vacuum,4,2f_slru_static,37.36
YE,vacuum,5,baseline,545.64
YE,vacuum,5,layers_5_static,427.41
YE,vacuum,5,layers_92_static,251.48
YE,vacuum,5,2d_static,259.29
YE,vacuum,5,2e_K10_static,252.76
YE,vacuum,5,2e_K500_static,257.95
YE,vacuum,5,2f_slru_static,36.28
YE,vacuum,6,baseline,551.98
YE,vacuum,6,layers_5_static,440.75
YE,vacuum,6,layers_92_static,259.76
YE,vacuum,6,2d_static,262.84
YE,vacuum,6,2e_K10_static,254.02
YE,vacuum,6,2e_K500_static,251.14
YE,vacuum,6,2f_slru_static,37.28
YE,vacuum,7,baseline,536.13
YE,vacuum,7,layers_5_static,408.22
YE,vacuum,7,layers_92_static,252.96
YE,vacuum,7,2d_static,250.30
YE,vacuum,7,2e_K10_static,251.03
YE,vacuum,7,2e_K500_static,249.71
