cadence,round,first_q_us,delivery_pct
1.0,0,13.93,100.0
1.0,1,14.63,100.0
1.0,2,14.58,100.0
1.0,3,14.47,100.0
1.0,4,14.44,100.0
1.0,5,14.65,100.0
1.0,6,14.41,100.0
1.0,7,14.49,100.0
5.0,0,625.67,0.1
5.0,1,585.93,0.1
5.0,2,15.57,100.0
5.0,3,14.50,100.0
5.0,4,619.39,0.1
5.0,5,592.61,0.1
5.0,6,16.25,100.0
5.0,7,14.37,100.0
30.0,0,655.91,0.1
30.0,1,586.39,0.1
30.0,2,639.82,0.1
30.0,3,660.55,0.1
30.0,4,626.37,0.1
30.0,5,621.76,0.1
30.0,6,630.32,0.1
30.0,7,14.21,100.0
never,0,636.01,0.1
never,1,555.61,0.1
never,2,591.42,0.1
never,3,574.61,0.1
never,4,622.56,0.1
never,5,629.27,0.1
never,6,658.81,0.1
never,7,599.83,0.1
