read 360718
scan 385777 71
scan 385777 50
scan 120659 96
scan 81676 38
scan 333462 98
scan 375548 19
scan 115180 41
scan 591725 28
scan 482268 39
scan 420147 74
scan 108264 62
scan 72790 57
scan 564365 12
scan 565578 26
scan 100824 99
scan 87809 33
scan 70553 64
scan 482268 2
scan 273392 86
scan 61368 71
scan 506791 18
scan 215992 42
scan 72790 63
scan 97547 6
insert 600001
scan 10451 6
scan 35767 6
scan 462573 79
scan 72790 89
scan 517419 45
scan 319475 60
scan 145969 15
scan 306884 48
scan 385777 57
scan 215992 66
scan 505097 22
scan 52770 86
scan 449087 85
scan 392806 39
scan 196730 94
scan 72156 13
scan 195101 3
scan 7282 40
scan 370704 53
scan 358686 15
scan 427336 96
scan 388218 31
scan 458350 50
scan 588627 53
scan 444409 73
scan 183416 65
scan 374626 43
scan 385777 75
scan 561971 69
scan 235706 89
scan 224656 23
scan 570364 36
scan 401584 28
scan 252805 49
scan 435730 30
scan 68068 44
scan 126530 56
scan 40824 7
scan 319616 45
scan 42257 90
scan 19787 85
scan 467029 6
scan 473567 92
scan 443982 93
scan 513603 30
scan 461257 66
scan 221157 66
scan 94911 93
scan 397505 26
scan 556601 67
scan 189090 65
scan 504313 100
scan 330980 78
scan 98830 98
scan 278059 80
scan 440657 16
scan 264611 95
scan 385777 10
scan 214391 60
scan 355941 37
scan 172060 4
scan 136995 40
insert 600002
scan 144525 65
scan 283267 86
scan 89376 62
scan 71268 89
scan 143845 89
scan 390537 83
scan 412539 75
scan 338090 8
scan 68068 45
scan 141411 85
scan 104632 85
scan 136864 92
scan 474240 74
scan 385777 41
scan 145444 28
scan 239527 11
scan 472116 56
scan 385777 14
scan 449680 35
scan 189465 16
scan 484006 32
scan 43067 77
scan 270950 76
scan 374626 80
scan 499689 11
scan 385777 60
scan 385777 47
scan 35639 24
scan 73560 82
scan 421533 74
scan 482268 9
scan 291294 49
scan 538113 29
scan 312037 98
scan 561971 1
scan 311217 70
scan 512622 15
scan 462573 49
scan 182054 43
scan 305796 94
scan 239672 84
scan 444409 27
scan 409621 93
scan 104016 91
scan 206596 94
scan 101364 37
scan 385777 30
scan 561381 3
scan 423759 57
scan 60999 43
scan 565584 54
scan 374920 86
scan 57620 79
scan 98830 6
scan 263193 94
scan 560373 94
scan 583845 92
scan 432074 52
scan 505097 68
scan 35767 73
scan 258497 78
scan 398129 100
scan 347547 5
scan 360103 78
scan 216778 95
scan 478264 1
scan 11819 37
scan 316970 58
scan 179315 9
scan 72790 41
insert 600003
scan 119799 73
scan 13376 54
scan 579302 40
insert 600004
scan 466649 16
scan 242200 62
scan 374626 33
scan 40321 95
scan 299180 81
scan 313029 24
scan 385777 91
scan 289812 78
scan 73989 46
scan 374626 49
scan 385777 8
scan 478629 91
scan 561971 63
scan 250516 73
scan 561971 70
scan 84746 80
scan 553546 68
scan 373672 34
scan 479016 96
scan 150168 46
scan 455835 89
scan 561971 82
scan 570103 8
scan 188811 38
scan 476289 36
scan 500486 48
scan 474286 27
scan 35767 81
scan 476027 6
scan 375587 81
scan 55986 76
scan 70286 13
scan 91895 47
scan 559229 84
scan 287449 88
scan 374626 58
scan 161483 62
scan 319616 80
scan 507150 55
scan 135366 40
scan 214790 96
scan 152760 57
scan 422565 74
scan 561971 51
scan 354872 48
scan 561971 49
scan 472116 28
scan 472116 90
scan 96140 58
scan 72790 97
scan 44065 9
scan 316661 66
scan 177437 17
scan 319616 94
scan 266356 42
scan 69488 22
scan 384775 54
scan 303040 19
scan 215992 99
scan 385777 57
scan 476656 91
scan 123776 33
scan 243251 77
scan 180215 36
scan 151271 48
scan 570214 76
scan 482268 25
scan 325340 100
scan 503932 58
scan 352281 83
scan 450291 44
scan 492556 94
scan 5357 48
scan 589301 94
scan 84773 29
scan 593856 31
scan 505097 9
scan 373435 29
scan 201472 31
scan 101364 15
scan 35639 100
scan 596797 34
scan 304603 30
scan 35639 93
scan 409621 69
scan 72790 30
scan 112140 1
scan 10861 51
scan 515737 21
scan 107637 27
insert 600005
scan 207255 90
scan 231362 38
scan 167058 6
scan 82617 33
scan 401584 95
insert 600006
scan 16379 6
insert 600007
scan 269570 35
scan 254043 11
scan 120467 73
scan 39913 31
scan 74843 67
scan 35639 60
scan 243095 96
scan 147120 54
scan 452058 20
scan 279593 88
scan 330877 20
scan 326940 89
scan 462573 95
scan 334550 33
insert 600008
scan 535666 63
scan 289346 83
scan 591141 28
scan 561971 51
scan 570655 74
scan 36916 86
scan 196047 84
scan 482897 54
scan 575523 38
scan 374626 17
scan 497676 88
insert 600009
scan 482268 39
insert 600010
scan 108829 2
scan 260905 28
scan 385777 18
scan 126530 16
scan 465601 21
scan 137697 13
insert 600011
scan 394082 1
scan 142949 66
scan 385777 23
scan 560801 13
scan 101364 76
scan 385777 37
scan 517084 46
scan 178081 77
scan 481498 99
scan 83440 93
scan 280609 24
scan 9514 38
scan 189525 87
scan 72790 62
scan 121367 11
scan 529243 10
scan 357439 19
scan 573297 45
scan 214231 59
scan 120949 8
scan 596797 88
scan 68068 87
scan 72790 28
scan 561971 60
scan 526585 13
scan 472116 35
scan 462573 32
scan 18592 21
scan 447466 48
scan 310526 97
scan 496748 90
scan 230485 92
scan 95662 92
scan 255463 14
scan 573297 75
scan 161842 77
scan 38141 67
scan 137089 62
